,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0,0,0,0,0,0
1,08/08/2022,0,0,0,0,0,0
2,08/09/2022,0,0,0,0,0,0
3,08/10/2022,0,0,0,0,0,0
4,08/11/2022,0,0,0,0,0,0
5,08/12/2022,0,0,0,0,0,0
6,08/13/2022,0,0,0,0,0,0
7,08/14/2022,108252.69422773964,173085.69830352857,82654.90968596832,355341.2925734938,87414.5865604626,0
8,08/15/2022,108252.69422773964,173085.69830352857,82654.90968596832,355341.2925734938,87414.5865604626,0
9,08/16/2022,108252.69422773964,173085.69830352857,82654.90968596832,355341.2925734938,87414.5865604626,0
10,08/17/2022,108252.69422773964,173085.69830352857,82654.90968596832,355341.2925734938,87414.5865604626,0
11,08/18/2022,108252.69422773964,173085.69830352857,82654.90968596832,355341.2925734938,87414.5865604626,0
12,08/19/2022,108252.69422773964,173085.69830352857,82654.90968596832,355341.2925734938,87414.5865604626,0
13,08/20/2022,108252.69422773964,173085.69830352857,82654.90968596832,355341.2925734938,87414.5865604626,0
14,08/21/2022,52788.70893849553,31548.715713318372,17343.34194020478,0,0,5861.440276473908
15,08/22/2022,52788.70893849553,31548.715713318372,17343.34194020478,0,0,5861.440276473908
16,08/23/2022,52788.70893849553,31548.715713318372,17343.34194020478,0,0,5861.440276473908
17,08/24/2022,52788.70893849553,31548.715713318372,17343.34194020478,0,0,5861.440276473908
18,08/25/2022,52788.70893849553,31548.715713318372,17343.34194020478,0,0,5861.440276473908
19,08/26/2022,52788.70893849553,31548.715713318372,17343.34194020478,0,0,5861.440276473908
20,08/27/2022,52788.70893849553,31548.715713318372,17343.34194020478,0,0,5861.440276473908
21,08/28/2022,73351.91392415171,75878.97330024891,43793.42233017143,156918.28356520704,93162.15509290589,173557.285510941
22,08/29/2022,73351.91392415171,75878.97330024891,43793.42233017143,156918.28356520704,93162.15509290589,173557.285510941
