,state,0_4,5_12,13_17,18_49,50_64,65+
0,AL,45.04393099047054,48.81818181818182,40.090909090909086,28.36363636363636,46.72727272727272,66.18181818181817
1,AK,52.88646195906381,44.210513622449,37.272727272727266,36.72727272727272,53.84297886096727,60.53737187401827
2,AZ,56.07324852174954,48.36189988150327,34.36363636363636,26.727272727272723,42.99999999999999,59.27272727272727
3,AR,57.17398866043054,56.19619124006054,46.54545454545455,30.454545454545453,45.23994854595636,67.42724198417072
4,CA,63.38805253755291,53.31190207394763,48.10023572576817,28.999999999999996,36.90909090909091,58.81818181818181
5,CO,69.00641119788536,60.39621059895899,55.18181818181818,41.13924290420572,51.70683064746817,72.80604595594436
6,CT,78.99390578006408,70.29469276796253,56.272727272727266,42.0,55.63636363636363,78.45454545454544
7,DE,60.557782380833444,51.90909090909091,49.99999999999999,33.671686793122724,49.18181818181818,71.07653525679471
8,FL,47.41760225097009,42.94877307572318,38.67724751686627,23.26930708506327,35.36052725325918,62.12064500182626
9,GA,53.94426493095627,47.272727272727266,39.63636363636363,30.783805025011997,45.36715790776845,64.9648990483099
10,HI,58.81818181818181,58.24689417318345,41.0,38.357883747637175,47.18181818181818,68.4176153111898
11,ID,54.51739483028336,45.45454545454545,33.36363636363637,28.467369619876905,37.090909090909086,57.44466944387072
12,IL,60.45926329963754,52.090909090909086,47.630828006742995,33.17916869612382,50.81818181818181,70.26284016465627
13,IN,54.99999999999999,45.4607093722349,41.272727272727266,34.87157566502717,48.555156862242086,67.46373633159291
14,IA,62.67824179895572,60.18181818181818,45.72727272727272,34.72727272727273,52.90909090909091,73.02451937936372
15,KS,64.57098906527436,52.18854812721373,38.63636363636363,35.90909090909091,52.6946935389359,68.350163212264
16,KY,54.72465322458545,44.27272727272727,37.63636363636363,35.45454545454545,42.90909090909091,64.54545454545455
17,LA,57.042589817184265,45.92496218439027,44.560514924822726,24.636363636363637,39.18181818181818,62.34851429323254
18,ME,66.0909090909091,57.18181818181817,51.72727272727272,39.18181818181818,53.090909090909086,70.52534976113044
19,MD,69.7170699759909,68.26196324022554,61.72727272727273,42.99999999999999,56.99489862435909,73.76637766520517
20,MA,73.63636363636363,72.43172014152954,64.36363636363636,43.411970176932996,61.432055685687274,70.0637602737319
21,MI,58.80741778568008,52.36363636363636,48.18181818181818,38.44159092594327,51.851167613523536,71.20122281539318
22,MN,65.36363636363636,57.36363636363636,51.72727272727272,41.09090909090909,53.5223785959729,70.626647739912
23,MS,43.04311917472709,37.63636363636363,27.545454545454543,21.497664629272542,41.36363636363636,56.72727272727272
24,MO,60.17473544026263,56.08064852791699,41.63636363636363,29.81516976137509,47.36363636363636,67.55121308113881
25,MT,48.81818181818182,45.33862375843309,43.59979831674827,30.181818181818183,41.98704547139781,61.41174303492754
26,NE,63.63636363636363,58.74009689260418,48.72727272727273,37.0,50.272727272727266,69.45454545454545
27,NV,44.18181818181818,36.81287573401863,34.862112808652356,24.818181818181817,40.0,61.57147617742408
28,NH,64.08371870444344,60.436675347088176,53.18181818181818,47.49782755207636,54.1056270601819,77.55964014871637
29,NJ,73.48711968986808,63.63636363636363,50.81818181818181,39.90275316303182,56.02934311360272,72.1941027241819
30,NM,63.568434043098996,55.63383572226754,47.45454545454545,31.909090909090907,46.54545454545455,68.86254357980346
31,NY,64.35470130990772,58.61789856468582,51.63636363636363,35.99405576917463,50.81818181818181,71.061012497329
32,NC,55.27005431237509,52.41174303492754,44.54545454545454,36.36363636363636,44.83525185340236,64.06273500479554
33,ND,67.13806407586726,52.36363636363636,39.63636363636363,36.45454545454545,50.90909090909091,66.81818181818181
34,OH,61.07779677733927,51.45454545454545,42.36363636363636,33.354701309907725,44.981953423059,61.8229689559459
35,OK,46.18181818181817,48.35399141366899,32.27272727272727,24.363636363636363,46.0,63.09090909090909
36,OR,59.72727272727273,54.191143682407265,37.45454545454545,33.27272727272727,45.63636363636363,65.98688768643017
37,PA,65.72018998571718,57.74199069654554,54.454545454545446,37.0,48.81818181818182,67.27272727272727
38,RI,70.63636363636364,69.56742004068981,60.63636363636363,47.99999999999999,62.36363636363635,76.149227738655
39,SC,53.72727272727273,46.542578237454904,36.63636363636363,30.53806851678345,43.81813126554981,67.74306639916509
40,SD,59.13179297141172,53.54545454545454,46.63636363636363,38.44790320492418,50.53881229583327,69.68600587606562
41,TN,54.454545454545446,55.50825350037954,37.63636363636363,27.727272727272727,47.148175892162996,64.63636363636363
42,TX,62.66472009043327,49.99291725844445,46.51065155828145,29.204623998979635,43.05749223296945,65.20122281539317
43,UT,59.45149834457754,54.99999999999999,44.90909090909091,34.724163616895545,47.36363636363636,66.60818955025009
44,VT,67.63061102036446,57.68820659801863,52.45454545454545,42.090909090909086,58.72990653408427,73.76867742932717
45,VA,67.4673696198769,59.63041940553827,47.493793372606355,38.81818181818182,51.98621845627054,69.45647428172472
46,WA,68.52641074575727,58.771358936368635,44.81818181818181,39.17534091751709,52.627710444971996,69.42787684324372
47,WV,44.57990614240081,45.17572396188227,37.90909090909091,30.636363636363637,46.90615419952654,63.09090909090909
48,WI,64.63636363636363,54.429541582454725,48.454545454545446,35.30829486032773,47.45454545454545,70.04415390781854
49,WY,46.71988669860163,35.18181818181818,26.454545454545453,28.268056531272453,36.81818181818181,62.10564298302926
50,US,60.52050044791591,53.15576625144273,45.70305293129691,32.894712286357546,46.30057221634845,66.1613090516068
