,date,school,work
1,8/8/22,0,1
2,8/9/22,0,1
3,8/10/22,0,1
4,8/11/22,0,1
5,8/12/22,0,1
6,8/13/22,0,0
7,8/14/22,0,0
8,8/15/22,0,1
9,8/16/22,0,1
10,8/17/22,0,1
11,8/18/22,0,1
12,8/19/22,0,1
13,8/20/22,0,0
14,8/21/22,0,0
15,8/22/22,0,1
16,8/23/22,0,1
17,8/24/22,0,1
18,8/25/22,0,1
19,8/26/22,0,1
20,8/27/22,0,0
21,8/28/22,0,0
22,8/29/22,0,1
23,8/30/22,0,1
24,8/31/22,0,1
25,9/1/22,1,1
26,9/2/22,1,1
27,9/3/22,0,0
28,9/4/22,0,0
29,9/5/22,1,1
30,9/6/22,1,1
31,9/7/22,1,1
32,9/8/22,1,1
33,9/9/22,1,1
34,9/10/22,0,0
35,9/11/22,0,0
36,9/12/22,1,1
37,9/13/22,1,1
38,9/14/22,1,1
39,9/15/22,1,1
40,9/16/22,1,1
41,9/17/22,0,0
42,9/18/22,0,0
43,9/19/22,1,1
44,9/20/22,1,1
45,9/21/22,1,1
46,9/22/22,1,1
47,9/23/22,1,1
48,9/24/22,0,0
49,9/25/22,0,0
50,9/26/22,1,1
51,9/27/22,1,1
52,9/28/22,1,1
53,9/29/22,1,1
54,9/30/22,1,1
55,10/1/22,0,0
56,10/2/22,0,0
57,10/3/22,1,1
58,10/4/22,1,1
59,10/5/22,1,1
60,10/6/22,1,1
61,10/7/22,1,1
62,10/8/22,0,0
63,10/9/22,0,0
64,10/10/22,1,1
65,10/11/22,1,1
66,10/12/22,1,1
67,10/13/22,1,1
68,10/14/22,1,1
69,10/15/22,0,0
70,10/16/22,0,0
71,10/17/22,1,1
72,10/18/22,1,1
73,10/19/22,1,1
74,10/20/22,1,1
75,10/21/22,1,1
76,10/22/22,0,0
77,10/23/22,0,0
78,10/24/22,1,1
79,10/25/22,1,1
80,10/26/22,1,1
81,10/27/22,1,1
82,10/28/22,1,1
83,10/29/22,0,0
84,10/30/22,0,0
85,10/31/22,1,1
86,11/1/22,1,1
87,11/2/22,1,1
88,11/3/22,1,1
89,11/4/22,1,1
90,11/5/22,0,0
91,11/6/22,0,0
92,11/7/22,1,1
93,11/8/22,1,1
94,11/9/22,1,1
95,11/10/22,1,1
96,11/11/22,1,1
97,11/12/22,0,0
98,11/13/22,0,0
99,11/14/22,1,1
100,11/15/22,1,1
101,11/16/22,1,1
102,11/17/22,1,1
103,11/18/22,1,1
104,11/19/22,0,0
105,11/20/22,0,0
106,11/21/22,1,1
107,11/22/22,1,1
108,11/23/22,1,1
109,11/24/22,1,1
110,11/25/22,1,1
111,11/26/22,0,0
112,11/27/22,0,0
113,11/28/22,1,1
114,11/29/22,1,1
115,11/30/22,1,1
116,12/1/22,1,1
117,12/2/22,1,1
118,12/3/22,0,0
119,12/4/22,0,0
120,12/5/22,1,1
121,12/6/22,1,1
122,12/7/22,1,1
123,12/8/22,1,1
124,12/9/22,1,1
125,12/10/22,0,0
126,12/11/22,0,0
127,12/12/22,1,1
128,12/13/22,1,1
129,12/14/22,1,1
130,12/15/22,1,1
131,12/16/22,1,1
132,12/17/22,0,0
133,12/18/22,0,0
134,12/19/22,0,1
135,12/20/22,0,1
136,12/21/22,0,1
137,12/22/22,0,1
138,12/23/22,0,1
139,12/24/22,0,0
140,12/25/22,0,0
141,12/26/22,0,1
142,12/27/22,0,1
143,12/28/22,0,1
144,12/29/22,0,1
145,12/30/22,0,1
146,12/31/22,0,0
147,1/1/23,0,0
148,1/2/23,0,1
149,1/3/23,1,1
150,1/4/23,1,1
151,1/5/23,1,1
152,1/6/23,1,1
153,1/7/23,0,0
154,1/8/23,0,0
155,1/9/23,1,1
156,1/10/23,1,1
157,1/11/23,1,1
158,1/12/23,1,1
159,1/13/23,1,1
160,1/14/23,0,0
161,1/15/23,0,0
162,1/16/23,1,1
163,1/17/23,1,1
164,1/18/23,1,1
165,1/19/23,1,1
166,1/20/23,1,1
167,1/21/23,0,0
168,1/22/23,0,0
169,1/23/23,1,1
170,1/24/23,1,1
171,1/25/23,1,1
172,1/26/23,1,1
173,1/27/23,1,1
174,1/28/23,0,0
175,1/29/23,0,0
176,1/30/23,1,1
177,1/31/23,1,1
178,2/1/23,1,1
179,2/2/23,1,1
180,2/3/23,1,1
181,2/4/23,0,0
182,2/5/23,0,0
183,2/6/23,1,1
184,2/7/23,1,1
185,2/8/23,1,1
186,2/9/23,1,1
187,2/10/23,1,1
188,2/11/23,0,0
189,2/12/23,0,0
190,2/13/23,1,1
191,2/14/23,1,1
192,2/15/23,1,1
193,2/16/23,1,1
194,2/17/23,1,1
195,2/18/23,0,0
196,2/19/23,0,0
197,2/20/23,1,1
198,2/21/23,1,1
199,2/22/23,1,1
200,2/23/23,1,1
201,2/24/23,1,1
202,2/25/23,0,0
203,2/26/23,0,0
204,2/27/23,1,1
205,2/28/23,1,1
206,3/1/23,1,1
207,3/2/23,1,1
208,3/3/23,1,1
209,3/4/23,0,0
210,3/5/23,0,0
211,3/6/23,1,1
212,3/7/23,1,1
213,3/8/23,1,1
214,3/9/23,1,1
215,3/10/23,1,1
216,3/11/23,0,0
217,3/12/23,0,0
218,3/13/23,0,1
219,3/14/23,0,1
220,3/15/23,0,1
221,3/16/23,0,1
222,3/17/23,0,1
223,3/18/23,0,0
224,3/19/23,0,0
225,3/20/23,1,1
226,3/21/23,1,1
227,3/22/23,1,1
228,3/23/23,1,1
229,3/24/23,1,1
230,3/25/23,0,0
231,3/26/23,0,0
232,3/27/23,1,1
233,3/28/23,1,1
234,3/29/23,1,1
235,3/30/23,1,1
236,3/31/23,1,1
237,4/1/23,0,0
238,4/2/23,0,0
239,4/3/23,1,1
240,4/4/23,1,1
241,4/5/23,1,1
242,4/6/23,1,1
243,4/7/23,1,1
244,4/8/23,0,0
245,4/9/23,0,0
246,4/10/23,1,1
247,4/11/23,1,1
248,4/12/23,1,1
249,4/13/23,1,1
250,4/14/23,1,1
251,4/15/23,0,0
252,4/16/23,0,0
253,4/17/23,1,1
254,4/18/23,1,1
255,4/19/23,1,1
256,4/20/23,1,1
257,4/21/23,1,1
258,4/22/23,0,0
259,4/23/23,0,0
260,4/24/23,1,1
261,4/25/23,1,1
262,4/26/23,1,1
263,4/27/23,1,1
264,4/28/23,1,1
265,4/29/23,0,0
266,4/30/23,0,0
267,5/1/23,1,1
268,5/2/23,1,1
269,5/3/23,1,1
270,5/4/23,1,1
271,5/5/23,1,1
272,5/6/23,0,0
273,5/7/23,0,0
274,5/8/23,1,1
275,5/9/23,1,1
276,5/10/23,1,1
277,5/11/23,1,1
278,5/12/23,1,1
279,5/13/23,0,0
280,5/14/23,0,0
281,5/15/23,1,1
282,5/16/23,1,1
283,5/17/23,1,1
284,5/18/23,1,1
285,5/19/23,1,1
286,5/20/23,0,0
287,5/21/23,0,0
288,5/22/23,1,1
289,5/23/23,1,1
290,5/24/23,1,1
291,5/25/23,1,1
292,5/26/23,1,1
293,5/27/23,0,0
294,5/28/23,0,0
295,5/29/23,1,1
296,5/30/23,1,1
297,5/31/23,1,1
298,6/1/23,0,1
299,6/2/23,0,1
300,6/3/23,0,0
301,6/4/23,0,0
302,6/5/23,0,1
303,6/6/23,0,1
304,6/7/23,0,1
305,6/8/23,0,1
306,6/9/23,0,1
307,6/10/23,0,0
308,6/11/23,0,0
309,6/12/23,0,1
310,6/13/23,0,1
311,6/14/23,0,1
312,6/15/23,0,1
313,6/16/23,0,1
314,6/17/23,0,0
315,6/18/23,0,0
316,6/19/23,0,1
317,6/20/23,0,1
318,6/21/23,0,1
319,6/22/23,0,1
320,6/23/23,0,1
321,6/24/23,0,0
322,6/25/23,0,0
323,6/26/23,0,1
324,6/27/23,0,1
325,6/28/23,0,1
326,6/29/23,0,1
327,6/30/23,0,1
328,7/1/23,0,0
329,7/2/23,0,0
330,7/3/23,0,1
331,7/4/23,0,1
332,7/5/23,0,1
