,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,1551.1118787148648,1428.5019990254339,1804.0382198243983,8510.338166878093,0.0,0.0
5,08/12/2022,3102.2237574297296,2857.0039980508677,3608.0764396487966,17020.676333756186,0.0,0.0
6,08/13/2022,4653.335636144594,4285.505997076302,5412.114659473195,25531.014500634283,0.0,0.0
7,08/14/2022,6204.447514859459,5714.007996101735,7216.152879297593,34041.35266751237,0.0,0.0
8,08/15/2022,7755.559393574324,7142.5099951271695,9020.19109912199,42551.690834390465,0.0,0.0
9,08/16/2022,9306.671272289188,8571.011994152605,10824.22931894639,51062.029001268565,0.0,0.0
10,08/17/2022,10857.783151004052,9999.513993178038,12628.267538770788,59572.36716814666,0.0,0.0
11,08/18/2022,10671.782533816906,10214.90432964751,11428.400574650293,51167.332609097386,0.0,0.0
12,08/19/2022,10485.781916629756,10430.294666116979,10228.5336105298,42762.298050048106,0.0,0.0
13,08/20/2022,10299.78129944261,10645.68500258645,9028.666646409301,34357.26349099883,0.0,0.0
14,08/21/2022,10113.780682255461,10861.07533905592,7828.799682288806,25952.228931949554,0.0,0.0
15,08/22/2022,9927.780065068313,11076.46567552539,6628.932718168311,17547.194372900274,0.0,0.0
16,08/23/2022,9741.779447881167,11291.856011994863,5429.065754047815,9142.159813850998,0.0,0.0
17,08/24/2022,9555.778830694018,11507.246348464332,4229.19878992732,737.1252548017223,0.0,0.0
18,08/25/2022,9779.2518022056,11872.222791106642,4573.982654621197,3743.7083196356984,1955.6141978229518,3232.8571188529772
19,08/26/2022,10002.724773717178,12237.19923374895,4918.766519315075,6750.291384469675,3911.2283956459037,6465.7142377059545
20,08/27/2022,10226.19774522876,12602.175676391258,5263.550384008953,9756.87444930365,5866.842593468856,9698.57135655893
21,08/28/2022,10449.67071674034,12967.152119033568,5608.33424870283,12763.457514137626,7822.456791291807,12931.428475411909
22,08/29/2022,10673.143688251921,13332.128561675878,5953.118113396709,15770.040578971602,9778.07098911476,16164.285594264886
23,08/30/2022,10896.616659763502,13697.105004318184,6297.901978090586,18776.62364380558,11733.685186937711,19397.14271311786
24,08/31/2022,11120.089631275083,14062.081446960494,6642.685842784464,21783.206708639555,13689.299384760663,22629.99983197084
25,09/01/2022,11325.452958402882,14393.9438616304,6947.851765784487,24369.033111115892,15536.014784752708,23417.89162468701
26,09/02/2022,11530.816285530684,14725.806276300302,7253.017688784509,26954.859513592237,17382.730184744752,24205.78341740318
27,09/03/2022,11736.179612658483,15057.66869097021,7558.183611784533,29540.685916068574,19229.445584736797,24993.675210119352
28,09/04/2022,11941.54293978628,15389.531105640111,7863.3495347845555,32126.51231854491,21076.160984728842,25781.567002835527
29,09/05/2022,12146.906266914084,15721.393520310017,8168.515457784581,34712.33872102125,22922.876384720883,26569.4587955517
30,09/06/2022,12352.269594041885,16053.255934979925,8473.681380784603,37298.16512349759,24769.591784712935,27357.350588267873
31,09/07/2022,12557.632921169685,16385.118349649827,8778.847303784627,39883.99152597393,26616.307184704976,28145.242380984044
32,09/08/2022,12744.886603913714,16683.8667363473,9044.39528509084,42049.061266092634,27559.272102980787,28548.618553984463
33,09/09/2022,12932.140286657743,16982.615123044776,9309.943266397055,44214.13100621133,28502.2370212566,28951.99472698488
34,09/10/2022,13119.39396940177,17281.36350974225,9575.491247703269,46379.20074633004,29445.20193953241,29355.3708999853
35,09/11/2022,13306.6476521458,17580.11189643972,9841.039229009484,48544.270486448746,30388.16685780822,29758.747072985716
36,09/12/2022,13493.90133488983,17878.860283137194,10106.587210315698,50709.340226567445,31331.131776084036,30162.12324598613
37,09/13/2022,13681.155017633855,18177.608669834666,10372.135191621912,52874.409966686144,32274.096694359843,30565.49941898655
38,09/14/2022,13868.408700377886,18476.35705653214,10637.683172928126,55039.47970680485,33217.061612635654,30968.87559198697
39,09/15/2022,14037.55273873816,18741.9914152572,10863.61321254049,56783.79278456605,34007.6967361734,31334.322669874462
40,09/16/2022,14206.696777098434,19007.62577398226,11089.543252152855,58528.10586232725,34798.33185971114,31699.769747761944
41,09/17/2022,14375.840815458709,19273.260132707317,11315.473291765218,60272.41894008846,35588.96698324889,32065.216825649433
42,09/18/2022,14544.984853818982,19538.89449143238,11541.403331377584,62016.732017849645,36379.60210678663,32430.663903536923
43,09/19/2022,14714.128892179257,19804.528850157443,11767.333370989947,63761.045095610854,37170.237230324376,32796.11098142441
44,09/20/2022,14883.272930539531,20070.163208882503,11993.263410602314,65505.35817337205,37960.87235386212,33161.5580593119
45,09/21/2022,15052.416968899804,20335.797567607562,12219.193450214678,67249.67125113324,38751.507477399864,33527.00513719939
46,09/22/2022,15203.451362876332,20568.317898360223,12405.505548133277,68573.2276665368,39389.81280619954,33854.523119973965
47,09/23/2022,15354.485756852862,20800.838229112884,12591.817646051875,69896.78408194038,40028.1181349992,34182.04110274853
48,09/24/2022,15505.520150829392,21033.35855986554,12778.129743970476,71220.34049734392,40666.42346379888,34509.55908552311
49,09/25/2022,15656.554544805922,21265.878890618205,12964.441841889075,72543.8969127475,41304.72879259854,34837.07706829767
50,09/26/2022,15807.58893878245,21498.399221370863,13150.753939807673,73867.45332815104,41943.03412139822,35164.595051072254
51,09/27/2022,15958.62333275898,21730.919552123523,13337.06603772627,75191.00974355462,42581.33945019788,35492.11303384682
52,09/28/2022,16109.65772673551,21963.439882876184,13523.37813564487,76514.56615895817,43219.64477899755,35819.631016621395
53,09/29/2022,16329.546013606949,22297.364146610948,13813.685180049279,78350.54472908426,44161.06478455786,36384.997457016485
54,09/30/2022,16549.434300478384,22631.288410345707,14103.992224453688,80186.52329921033,45102.48479011817,36950.363897411575
55,10/01/2022,16769.322587349823,22965.21267408047,14394.299268858096,82022.50186933643,46043.90479567847,37515.730337806664
56,10/02/2022,16989.21087422126,23299.136937815227,14684.606313262502,83858.48043946248,46985.324801238785,38081.096778201754
57,10/03/2022,17209.099161092698,23633.061201549986,14974.913357666914,85694.45900958858,47926.74480679909,38646.46321859684
58,10/04/2022,17428.987447964137,23966.98546528475,15265.220402071322,87530.43757971465,48868.16481235941,39211.829658991934
59,10/05/2022,17648.875734835572,24300.90972901951,15555.52744647573,89366.41614984073,49809.58481791971,39777.196099387016
60,10/06/2022,18110.055251557347,25012.303442265336,16252.363681611072,93979.47601984881,52062.3869951412,41091.563426055814
61,10/07/2022,18571.234768279126,25723.697155511163,16949.199916746413,98592.53588985687,54315.18917236267,42405.93075272462
62,10/08/2022,19032.414285000905,26435.090868756994,17646.03615188176,103205.59575986493,56567.99134958415,43720.29807939342
63,10/09/2022,19493.593801722684,27146.484582002824,18342.8723870171,107818.65562987301,58820.79352680563,45034.665406062224
64,10/10/2022,19954.77331844446,27857.878295248654,19039.708622152444,112431.71549988107,61073.5957040271,46349.03273273103
65,10/11/2022,20415.952835166237,28569.27200849448,19736.544857287787,117044.77536988916,63326.39788124857,47663.40005939983
66,10/12/2022,20877.132351888013,29280.665721740308,20433.38109242313,121657.83523989722,65579.20005847006,48977.767386068634
67,10/13/2022,21045.56115269697,29556.106842521953,20678.90476835667,123878.85102516269,66489.06467582729,49299.23169480765
68,10/14/2022,21213.98995350593,29831.547963303597,20924.428444290214,126099.86681042815,67398.92929318453,49620.69600354667
69,10/15/2022,21382.41875431489,30106.989084085242,21169.95212022376,128320.88259569365,68308.79391054176,49942.16031228568
70,10/16/2022,21550.847555123848,30382.430204866887,21415.4757961573,130541.89838095912,69218.658527899,50263.6246210247
71,10/17/2022,21719.27635593281,30657.87132564853,21660.999472090847,132762.91416622457,70128.52314525623,50585.08892976371
72,10/18/2022,21887.705156741766,30933.312446430176,21906.52314802439,134983.92995149002,71038.38776261346,50906.55323850274
73,10/19/2022,22056.133957550726,31208.75356721182,22152.04682395793,137204.9457367555,71948.2523799707,51228.01754724175
74,10/20/2022,21872.677429740776,30957.46506088614,21849.923790022167,136430.17696823887,71213.30365023424,50366.3982131788
75,10/21/2022,21689.220901930825,30706.17655456046,21547.8007560864,135655.40819972224,70478.35492049778,49504.778879115845
76,10/22/2022,21505.76437412087,30454.88804823478,21245.677722150635,134880.6394312056,69743.40619076132,48643.159545052906
77,10/23/2022,21322.30784631092,30203.5995419091,20943.55468821487,134105.87066268898,69008.45746102485,47781.54021098996
78,10/24/2022,21138.85131850097,29952.311035583418,20641.431654279102,133331.10189417235,68273.5087312884,46919.92087692701
79,10/25/2022,20955.394790691014,29701.02252925774,20339.308620343338,132556.3331256557,67538.56000155193,46058.301542864065
80,10/26/2022,20771.938262881064,29449.73402293206,20037.185586407573,131781.56435713908,66803.61127181548,45196.68220880112
81,10/27/2022,20244.521400332873,28683.159096621173,19198.7855043555,128079.05006114031,64460.20287702645,43175.82239898686
82,10/28/2022,19717.10453778469,27916.584170310285,18360.385422303425,124376.53576514154,62116.79448223744,41154.9625891726
83,10/29/2022,19189.687675236502,27150.009243999393,17521.985340251355,120674.02146914274,59773.386087448416,39134.10277935835
84,10/30/2022,18662.270812688315,26383.434317688498,16683.58525819928,116971.50717314394,57429.9776926594,37113.242969544095
85,10/31/2022,18134.85395014013,25616.859391377617,15845.185176147208,113268.99287714517,55086.569297870374,35092.38315972984
86,11/01/2022,17607.43708759194,24850.28446506672,15006.785094095134,109566.4785811464,52743.16090308136,33071.52334991559
87,11/02/2022,17080.020225043754,24083.709538755833,14168.385012043062,105863.9642851476,50399.75250829234,31050.66354010133
88,11/03/2022,16741.78156749249,23580.056526555632,13597.328240104864,103750.9459750184,48925.71692347375,29602.46219347555
89,11/04/2022,16403.54290994123,23076.40351435543,13026.271468166668,101637.92766488921,47451.68133865517,28154.260846849764
90,11/05/2022,16065.304252389966,22572.750502155228,12455.214696228471,99524.90935476004,45977.64575383657,26706.059500223986
91,11/06/2022,15727.065594838705,22069.097489955027,11884.157924290272,97411.89104463084,44503.61016901799,25257.858153598205
92,11/07/2022,15388.82693728744,21565.444477754823,11313.101152352074,95298.87273450164,43029.57458419941,23809.656806972424
93,11/08/2022,15050.58827973618,21061.791465554623,10742.044380413878,93185.85442437246,41555.53899938082,22361.455460346642
94,11/09/2022,14712.349622184916,20558.138453354422,10170.98760847568,91072.83611424327,40081.503414562234,20913.25411372086
95,11/10/2022,14539.88225914592,20309.037894612087,9951.149582353773,90166.6285614234,39467.10235743278,20354.974705342633
96,11/11/2022,14367.414896106919,20059.937335869756,9731.31155623187,89260.42100860352,38852.70130030333,19796.695296964404
97,11/12/2022,14194.947533067922,19810.836777127413,9511.473530109966,88354.21345578363,38238.30024317388,19238.415888586176
98,11/13/2022,14022.480170028923,19561.736218385082,9291.63550398806,87448.00590296375,37623.89918604442,18680.136480207948
99,11/14/2022,13850.012806989926,19312.635659642747,9071.797477866156,86541.79835014386,37009.498128914965,18121.85707182972
100,11/15/2022,13677.545443950925,19063.535100900415,8851.959451744251,85635.59079732397,36395.097071785516,17563.57766345149
101,11/16/2022,13505.078080911928,18814.434542158077,8632.121425622347,84729.38324450409,35780.69601465606,17005.298255073263
102,11/17/2022,13245.504117811839,18459.464928037392,8422.504689539239,82825.2127157958,34884.04093006938,16648.073036313035
103,11/18/2022,12985.93015471175,18104.49531391671,8212.887953456131,80921.0421870875,33987.3858454827,16290.847817552809
104,11/19/2022,12726.35619161166,17749.52569979602,8003.271217373024,79016.87165837921,33090.73076089601,15933.62259879258
105,11/20/2022,12466.78222851157,17394.556085675336,7793.6544812899165,77112.70112967092,32194.07567630933,15576.397380032353
