,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,125.893225799169,114.92279614358735,147.27030341549013,726.7577667667977,647.5225606379403,454.31987169572363
5,08/12/2022,251.786451598338,229.8455922871747,294.54060683098027,1453.5155335335953,1295.0451212758805,908.6397433914473
6,08/13/2022,377.679677397507,344.768388430762,441.8109102464704,2180.273300300393,1942.567681913821,1362.959615087171
7,08/14/2022,503.572903196676,459.6911845743494,589.0812136619605,2907.0310670671906,2590.090242551761,1817.2794867828945
8,08/15/2022,629.466128995845,574.6139807179368,736.3515170774507,3633.7888338339885,3237.6128031897015,2271.5993584786183
9,08/16/2022,755.359354795014,689.536776861524,883.6218204929409,4360.546600600786,3885.135363827642,2725.919230174342
10,08/17/2022,881.2525805941831,804.4595730051115,1030.892123908431,5087.304367367584,4532.657924465582,3180.2391018700655
11,08/18/2022,786.8235439685753,771.3665206286098,894.7320209227705,4360.546600600786,3885.1353638276423,2725.919230174342
12,08/19/2022,692.3945073429677,738.2734682521079,758.5719179371099,3633.7888338339885,3237.6128031897015,2271.5993584786183
13,08/20/2022,597.96547071736,705.1804158756065,622.4118149514494,2907.0310670671906,2590.090242551761,1817.2794867828945
14,08/21/2022,503.5364340917523,672.0873634991048,486.2517119657888,2180.273300300393,1942.567681913821,1362.959615087171
15,08/22/2022,409.1073974661447,638.9943111226031,350.0916089801283,1453.5155335335955,1295.0451212758805,908.6397433914473
16,08/23/2022,314.6783608405369,605.9012587461015,213.9315059944677,726.7577667667977,647.5225606379403,454.31987169572363
17,08/24/2022,220.24932421492932,572.8082063695998,77.77140300880714,0.0,0.0,0.0
18,08/25/2022,267.47145614605364,627.3152608127336,117.57436247039195,117.20279919011165,0.0,7.405397364885539
19,08/26/2022,314.693588077178,681.8223152558674,157.37732193197672,234.4055983802233,0.0,14.810794729771079
20,08/27/2022,361.9157200083023,736.3293696990012,197.1802813935615,351.60839757033494,0.0,22.216192094656616
21,08/28/2022,409.1378519394267,790.836424142135,236.98324085514633,468.8111967604466,0.0,29.621589459542157
22,08/29/2022,456.35998387055105,845.3434785852688,276.7862003167311,586.0139959505582,0.0,37.026986824427695
23,08/30/2022,503.58211580167534,899.8505330284024,316.5891597783159,703.2167951406699,0.0,44.43238418931323
24,08/31/2022,550.8042477327997,954.3575874715362,356.3921192399007,820.4195943307816,0.0,51.83778155419878
25,09/01/2022,591.9222954732957,1002.4394619629703,390.79978600944406,1081.8537718254906,123.90340258635175,231.94547764464477
26,09/02/2022,633.0403432137916,1050.5213364544043,425.2074527789874,1343.2879493201997,247.8068051727035,412.05317373509075
27,09/03/2022,674.1583909542874,1098.6032109458383,459.6151195485308,1604.722126814909,371.71020775905527,592.1608698255368
28,09/04/2022,715.2764386947833,1146.6850854372724,494.02278631807417,1866.156304309618,495.613610345407,772.2685659159828
29,09/05/2022,756.3944864352793,1194.7669599287065,528.4304530876175,2127.590481804327,619.5170129317587,952.3762620064288
30,09/06/2022,797.5125341757753,1242.848834420141,562.8381198571607,2389.024659299036,743.4204155181105,1132.4839580968746
31,09/07/2022,838.6305819162712,1290.9307089115748,597.2457866267041,2650.458836793745,867.3238181044622,1312.5916541873207
32,09/08/2022,873.6445454661365,1332.5874034513067,626.2581607042058,2864.3083012486286,1044.93387536215,1457.5678678075476
33,09/09/2022,908.658509016002,1374.2440979910386,655.2705347817077,3078.157765703513,1222.543932619838,1602.544081427775
34,09/10/2022,943.6724725658673,1415.9007925307703,684.2829088592094,3292.0072301583973,1400.1539898775259,1747.520295048002
35,09/11/2022,978.6864361157326,1457.5574870705022,713.2952829367113,3505.8566946132814,1577.7640471352138,1892.496508668229
36,09/12/2022,1013.700399665598,1499.214181610234,742.3076570142129,3719.7061590681656,1755.3741043929017,2037.472722288456
37,09/13/2022,1048.7143632154634,1540.870876149966,771.3200310917147,3933.5556235230492,1932.9841616505896,2182.448935908683
38,09/14/2022,1083.7283267653288,1582.527570689698,800.3324051692165,4147.405087977933,2110.5942189082775,2327.42514952891
39,09/15/2022,1112.638206124572,1617.7590852777384,823.9494865546786,4313.669839392992,2239.6385350721957,2437.269880678915
40,09/16/2022,1141.548085483815,1652.9905998657794,847.5665679401408,4479.93459080805,2368.682851236114,2547.1146118289194
41,09/17/2022,1170.4579648430579,1688.22211445382,871.1836493256029,4646.199342223109,2497.727167400032,2656.9593429789243
42,09/18/2022,1199.3678442023008,1723.4536290418607,894.800730711065,4812.4640936381675,2626.7714835639504,2766.804074128929
43,09/19/2022,1228.2777235615438,1758.6851436299012,918.4178120965271,4978.728845053227,2755.815799727869,2876.648805278934
44,09/20/2022,1257.187602920787,1793.916658217942,942.0348934819892,5144.993596468284,2884.8601158917872,2986.493536428938
45,09/21/2022,1286.09748228003,1829.1481728059825,965.6519748674514,5311.258347883343,3013.9044320557055,3096.338267578943
46,09/22/2022,1308.9032774486382,1857.9545074423093,983.8737635608666,5429.938386258568,3094.3830071258526,3171.05151625873
47,09/23/2022,1331.7090726172466,1886.7608420786357,1002.0955522542816,5548.6184246337925,3174.861582196,3245.764764938517
48,09/24/2022,1354.514867785855,1915.5671767149624,1020.3173409476968,5667.298463009017,3255.340157266147,3320.4780136183035
49,09/25/2022,1377.3206629544634,1944.373511351289,1038.539129641112,5785.978501384241,3335.8187323362945,3395.1912622980904
50,09/26/2022,1400.1264581230714,1973.1798459876159,1056.760918334527,5904.658539759466,3416.2973074064416,3469.9045109778776
51,09/27/2022,1422.93225329168,2001.9861806239426,1074.9827070279423,6023.338578134691,3496.775882476589,3544.6177596576645
52,09/28/2022,1445.7380484602882,2030.792515260269,1093.2044957213575,6142.018616509915,3577.2544575467364,3619.3310083374513
53,09/29/2022,1482.5551562361268,2075.185491056365,1119.582825947517,6323.457503271304,3702.2452215205644,3742.912500456828
54,09/30/2022,1519.3722640119654,2119.5784668524616,1145.9611561736767,6504.89639003269,3827.235985494393,3866.493992576205
55,10/01/2022,1556.189371787804,2163.971442648558,1172.3394863998365,6686.335276794077,3952.2267494682205,3990.0754846955824
56,10/02/2022,1593.0064795636426,2208.3644184446543,1198.7178166259962,6867.774163555465,4077.217513442049,4113.656976814959
57,10/03/2022,1629.8235873394813,2252.7573942407503,1225.096146852156,7049.213050316852,4202.208277415877,4237.238468934336
58,10/04/2022,1666.6406951153197,2297.1503700368467,1251.4744770783157,7230.651937078241,4327.199041389706,4360.819961053714
59,10/05/2022,1703.4578028911583,2341.543345832943,1277.8528073044752,7412.090823839627,4452.189805363533,4484.401453173091
60,10/06/2022,1797.6765553541213,2448.5385842513138,1343.9673032784349,7920.106815793712,4859.64898683991,4855.68524849308
61,10/07/2022,1891.8953078170841,2555.5338226696845,1410.0817992523946,8428.122807747797,5267.108168316287,5226.969043813068
62,10/08/2022,1986.1140602800476,2662.5290610880547,1476.1962952263543,8936.138799701881,5674.567349792665,5598.252839133056
63,10/09/2022,2080.3328127430104,2769.5242995064255,1542.3107912003138,9444.154791655968,6082.026531269041,5969.536634453044
64,10/10/2022,2174.5515652059735,2876.519537924796,1608.4252871742738,9952.170783610054,6489.485712745419,6340.820429773033
65,10/11/2022,2268.7703176689365,2983.514776343167,1674.5397831482333,10460.18677556414,6896.944894221796,6712.10422509302
66,10/12/2022,2362.9890701318996,3090.5100147615376,1740.654279122193,10968.202767518223,7304.404075698173,7083.388020413009
67,10/13/2022,2395.8304741562106,3129.499532476116,1769.6645396923498,11186.198216920913,7495.111201705614,7230.2755949471675
68,10/14/2022,2428.6718781805216,3168.4890501906953,1798.6748002625059,11404.193666323603,7685.818327713054,7377.163169481325
69,10/15/2022,2461.5132822048326,3207.4785679052743,1827.6850608326624,11622.18911572629,7876.5254537204955,7524.050744015483
70,10/16/2022,2494.3546862291437,3246.4680856198534,1856.695321402819,11840.184565128982,8067.232579727935,7670.938318549641
71,10/17/2022,2527.1960902534547,3285.457603334432,1885.7055819729753,12058.180014531672,8257.939705735376,7817.825893083798
72,10/18/2022,2560.0374942777653,3324.4471210490105,1914.7158425431319,12276.175463934362,8448.646831742817,7964.713467617956
73,10/19/2022,2592.8788983020763,3363.43663876359,1943.7261031132884,12494.170913337053,8639.353957750258,8111.601042152114
74,10/20/2022,2550.925258716956,3319.703138289901,1926.7671631241026,12350.46164848159,8553.988187928424,7979.373668471793
75,10/21/2022,2508.971619131835,3275.9696378162116,1909.8082231349167,12206.752383626124,8468.622418106588,7847.1462947914715
76,10/22/2022,2467.0179795467147,3232.2361373425224,1892.8492831457309,12063.04311877066,8383.256648284752,7714.918921111151
77,10/23/2022,2425.0643399615938,3188.5026368688327,1875.8903431565448,11919.333853915194,8297.890878462918,7582.691547430829
78,10/24/2022,2383.1107003764732,3144.7691363951435,1858.9314031673593,11775.624589059733,8212.525108641083,7450.464173750509
79,10/25/2022,2341.1570607913523,3101.0356359214543,1841.9724631781733,11631.915324204268,8127.159338819248,7318.236800070188
80,10/26/2022,2299.2034212062317,3057.3021354477646,1825.0135231889874,11488.206059348804,8041.793568997413,7186.009426389866
81,10/27/2022,2183.9839649346013,2932.596394609275,1763.0240958901977,10989.886711760199,7685.872318126045,6781.05684780494
82,10/28/2022,2068.7645086629714,2807.890653770786,1701.0346685914085,10491.567364171595,7329.951067254679,6376.1042692200135
83,10/29/2022,1953.5450523913412,2683.184912932296,1639.045241292619,9993.24801658299,6974.029816383312,5971.151690635088
84,10/30/2022,1838.325596119711,2558.479172093806,1577.0558139938298,9494.928668994384,6618.108565511944,5566.1991120501625
85,10/31/2022,1723.1061398480808,2433.7734312553166,1515.0663866950401,8996.60932140578,6262.187314640577,5161.246533465236
86,11/01/2022,1607.8866835764509,2309.067690416827,1453.0769593962507,8498.289973817173,5906.26606376921,4756.29395488031
87,11/02/2022,1492.6672273048205,2184.3619495783378,1391.0875320974615,7999.970626228568,5550.3448128978425,4351.341376295383
88,11/03/2022,1413.883557933032,2101.2285617028524,1349.4702206751645,7654.254930789513,5313.291439275961,4112.915614205281
89,11/04/2022,1335.0998885612441,2018.095173827367,1307.852909252868,7308.539235350459,5076.238065654079,3874.489852115177
90,11/05/2022,1256.3162191894555,1934.961785951882,1266.2355978305711,6962.8235399114055,4839.184692032197,3636.064090025074
91,11/06/2022,1177.5325498176671,1851.828398076396,1224.6182864082743,6617.107844472351,4602.1313184103155,3397.6383279349716
92,11/07/2022,1098.748880445879,1768.6950102009107,1183.0009749859776,6271.392149033296,4365.077944788433,3159.2125658448676
93,11/08/2022,1019.9652110740909,1685.5616223254256,1141.3836635636806,5925.676453594242,4128.024571166551,2920.7868037547646
94,11/09/2022,941.1815417023025,1602.42823444994,1099.7663521413838,5579.960758155187,3890.9711975446694,2682.361041664662
95,11/10/2022,915.007825418857,1570.1383358339085,1082.5764939638475,5456.638451993456,3811.8100734457585,2620.066638700007
96,11/11/2022,888.8341091354116,1537.8484372178773,1065.3866357863112,5333.316145831723,3732.6489493468475,2557.772235735352
97,11/12/2022,862.6603928519661,1505.5585386018454,1048.196777608775,5209.993839669991,3653.4878252479366,2495.4778327706977
98,11/13/2022,836.4866765685205,1473.2686399858142,1031.0069194312384,5086.671533508258,3574.3267011490257,2433.183429806042
99,11/14/2022,810.3129602850752,1440.9787413697827,1013.8170612537024,4963.349227346526,3495.165577050115,2370.8890268413875
100,11/15/2022,784.1392440016297,1408.688842753751,996.6272030761661,4840.026921184794,3416.0044529512047,2308.5946238767324
101,11/16/2022,757.965527718184,1376.3989441377198,979.4373448986297,4716.704615023063,3336.8433288522933,2246.3002209120773
