,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,1987.048140401026,2724.1132636043326,1661.8831118266073,0.0,1292.2284012689558,862.655432163069
5,08/12/2022,3974.096280802052,5448.226527208665,3323.7662236532146,0.0,2584.4568025379117,1725.310864326138
6,08/13/2022,5961.144421203077,8172.339790812997,4985.649335479822,0.0,3876.685203806868,2587.9662964892073
7,08/14/2022,7948.192561604104,10896.45305441733,6647.532447306429,0.0,5168.913605075823,3450.621728652276
8,08/15/2022,9935.24070200513,13620.566318021663,8309.415559133036,0.0,6461.1420063447795,4313.277160815344
9,08/16/2022,11922.288842406155,16344.679581625995,9971.298670959644,0.0,7753.370407613736,5175.9325929784145
10,08/17/2022,13909.336982807183,19068.792845230328,11633.18178278625,0.0,9045.59880888269,6038.588025141483
11,08/18/2022,12366.732750418514,16962.810061397842,10125.717935215349,210.7530095898607,7753.370407613736,6138.967558722287
12,08/19/2022,10824.128518029842,14856.827277565359,8618.254087644451,421.5060191797214,6461.1420063447795,6239.347092303093
13,08/20/2022,9281.524285641173,12750.844493732873,7110.79024007355,632.2590287695821,5168.913605075823,6339.726625883898
14,08/21/2022,7738.920053252503,10644.861709900388,5603.3263925026495,843.0120383594428,3876.685203806868,6440.1061594647035
15,08/22/2022,6196.315820863834,8538.878926067902,4095.86254493175,1053.7650479493036,2584.4568025379117,6540.485693045508
16,08/23/2022,4653.711588475164,6432.896142235418,2588.3986973608494,1264.5180575391641,1292.2284012689558,6640.865226626313
17,08/24/2022,3111.1073560864947,4326.913358402932,1080.9348497899493,1475.271067129025,0.0,6741.244760207118
18,08/25/2022,3244.0295262858544,4551.329235061442,1240.9510947438075,5519.560235674486,788.2456244677835,7757.4572013548095
19,08/26/2022,3376.951696485214,4775.745111719953,1400.967339697666,9563.849404219945,1576.491248935567,8773.669642502502
20,08/27/2022,3509.8738666845748,5000.160988378462,1560.9835846515243,13608.138572765407,2364.7368734033507,9789.882083650193
21,08/28/2022,3642.7960368839344,5224.576865036973,1720.9998296053827,17652.42774131087,3152.982497871134,10806.094524797883
22,08/29/2022,3775.7182070832946,5448.992741695482,1881.0160745592414,21696.716909856328,3941.2281223389177,11822.306965945576
23,08/30/2022,3908.6403772826543,5673.408618353992,2041.0323195130995,25741.006078401788,4729.4737468067015,12838.519407093267
24,08/31/2022,4041.5625474820145,5897.824495012503,2201.048564466958,29785.295246947248,5517.719371274485,13854.73184824096
25,09/01/2022,4161.2685754107315,6098.769931138125,2341.080450670107,30992.858970272722,6484.946910516229,14743.781980753614
26,09/02/2022,4280.974603339449,6299.71536726375,2481.1123368732565,32200.422693598182,7452.174449757975,15632.832113266273
27,09/03/2022,4400.680631268166,6500.660803389373,2621.1442230764055,33407.98641692365,8419.401988999718,16521.882245778932
28,09/04/2022,4520.386659196883,6701.606239514995,2761.176109279555,34615.55014024913,9386.629528241463,17410.93237829159
29,09/05/2022,4640.0926871256,6902.551675640619,2901.207995482704,35823.113863574596,10353.857067483208,18299.982510804246
30,09/06/2022,4759.798715054318,7103.497111766242,3041.239881685853,37030.67758690007,11321.084606724953,19189.032643316903
31,09/07/2022,4879.504742983034,7304.442547891865,3181.271767889003,38238.24131022554,12288.312145966698,20078.08277582956
32,09/08/2022,4985.994628641131,7481.91754348456,3301.3192953414577,39295.46634336229,13089.1876780783,20839.970599707165
33,09/09/2022,5092.484514299229,7659.392539077256,3421.366822793911,40352.69137649905,13890.063210189903,21601.85842358478
34,09/10/2022,5198.974399957327,7836.867534669952,3541.414350246366,41409.9164096358,14690.938742301503,22363.746247462386
35,09/11/2022,5305.464285615424,8014.342530262647,3661.4618776988195,42467.14144277257,15491.814274413106,23125.634071339995
36,09/12/2022,5411.954171273522,8191.817525855344,3781.5094051512747,43524.366475909315,16292.689806524708,23887.521895217604
37,09/13/2022,5518.444056931619,8369.292521448038,3901.556932603728,44581.59150904608,17093.56533863631,24649.409719095216
38,09/14/2022,5624.933942589717,8546.767517040735,4021.6044600561827,45638.81654218283,17894.44087074791,25411.297542972825
39,09/15/2022,5718.207685977159,8700.772072100579,4121.667628757919,46545.70288513078,18528.964395729414,26046.023058215378
40,09/16/2022,5811.481429364601,8854.776627160425,4221.730797459657,47452.58922807872,19163.487920710922,26680.74857345793
41,09/17/2022,5904.755172752043,9008.78118222027,4321.793966161394,48359.475571026676,19798.011445692424,27315.474088700477
42,09/18/2022,5998.028916139486,9162.785737280115,4421.85713486313,49266.361913974615,20432.53497067393,27950.19960394303
43,09/19/2022,6091.302659526928,9316.79029233996,4521.920303564867,50173.24825692256,21067.05849565543,28584.92511918558
44,09/20/2022,6184.576402914371,9470.794847399806,4621.983472266605,51080.134599870515,21701.58202063694,29219.65063442813
45,09/21/2022,6277.850146301814,9624.79940245965,4722.046640968341,51987.02094281845,22336.105545618444,29854.37614967068
46,09/22/2022,6357.907747418636,9755.333516986508,4802.125450919364,52743.56859557772,22804.27706346978,30361.93935627823
47,09/23/2022,6437.965348535459,9885.867631513367,4882.204260870387,53500.11624833699,23272.44858132112,30869.50256288579
48,09/24/2022,6518.0229496522825,10016.401746040225,4962.283070821411,54256.66390109626,23740.620099172458,31377.065769493347
49,09/25/2022,6598.080550769106,10146.935860567084,5042.361880772433,55013.21155385553,24208.79161702379,31884.628976100903
50,09/26/2022,6678.138151885929,10277.469975093942,5122.440690723457,55769.759206614806,24676.963134875135,32392.192182708455
51,09/27/2022,6758.195753002752,10408.0040896208,5202.519500674479,56526.30685937407,25145.134652726472,32899.755389316015
52,09/28/2022,6838.253354119575,10538.538204147659,5282.598310625503,57282.854512133345,25613.30617057781,33407.31859592357
53,09/29/2022,6967.010238082318,10740.622348966304,5398.37156565158,58372.12366821015,26222.871900652382,34222.454560778475
54,09/30/2022,7095.767122045061,10942.706493784948,5514.144820677658,59461.392824286944,26832.43763072695,35037.590525633386
55,10/01/2022,7224.524006007804,11144.790638603592,5629.918075703736,60550.66198036375,27442.003360801515,35852.72649048829
56,10/02/2022,7353.280889970546,11346.874783422236,5745.691330729813,61639.931136440544,28051.569090876088,36667.8624553432
57,10/03/2022,7482.03777393329,11548.958928240882,5861.464585755892,62729.20029251735,28661.134820950654,37482.998420198106
58,10/04/2022,7610.794657896033,11751.043073059525,5977.237840781967,63818.46944859414,29270.700551025224,38298.13438505302
59,10/05/2022,7739.551541858775,11953.12721787817,6093.011095808046,64907.73860467094,29880.266281099794,39113.27034990792
60,10/06/2022,8040.368197383307,12421.91322011598,6370.232729213617,67378.58999446675,31428.55899048795,41165.0250301186
61,10/07/2022,8341.18485290784,12890.69922235379,6647.454362619185,69849.44138426255,32976.851699876104,43216.77971032929
62,10/08/2022,8642.001508432371,13359.485224591599,6924.6759960247555,72320.29277405837,34525.14440926426,45268.53439053998
63,10/09/2022,8942.818163956905,13828.27122682941,7201.897629430326,74791.14416385417,36073.43711865242,47320.28907075066
64,10/10/2022,9243.634819481436,14297.057229067217,7479.119262835895,77261.99555364998,37621.729828040574,49372.04375096135
65,10/11/2022,9544.451475005968,14765.843231305029,7756.340896241466,79732.84694344578,39170.022537428726,51423.79843117203
66,10/12/2022,9845.268130530501,15234.629233542839,8033.562529647035,82203.6983332416,40718.31524681689,53475.55311138271
67,10/13/2022,9938.722799506475,15395.730991468217,8151.114879242935,83213.02541190259,41569.07605104473,54185.065364542206
68,10/14/2022,10032.177468482449,15556.832749393598,8268.667228838836,84222.35249056357,42419.83685527256,54894.57761770171
69,10/15/2022,10125.632137458422,15717.934507318978,8386.219578434735,85231.67956922457,43270.59765950039,55604.0898708612
70,10/16/2022,10219.086806434396,15879.036265244358,8503.771928030636,86241.00664788554,44121.358463728226,56313.60212402069
71,10/17/2022,10312.54147541037,16040.138023169739,8621.324277626536,87250.33372654652,44972.11926795606,57023.11437718019
72,10/18/2022,10405.996144386343,16201.239781095119,8738.876627222435,88259.66080520752,45822.8800721839,57732.62663033969
73,10/19/2022,10499.450813362317,16362.341539020497,8856.428976818335,89268.98788386851,46673.64087641173,58442.13888349919
74,10/20/2022,10343.485334291056,16151.64700141735,8777.592581172146,88495.08275634216,46631.52188036392,57518.777015742926
75,10/21/2022,10187.519855219796,15940.952463814201,8698.756185525957,87721.17762881587,46589.40288431612,56595.41514798667
76,10/22/2022,10031.554376148535,15730.257926211052,8619.91978987977,86947.27250128951,46547.28388826832,55672.053280230415
77,10/23/2022,9875.588897077276,15519.563388607903,8541.08339423358,86173.3673737632,46505.16489222051,54748.69141247416
78,10/24/2022,9719.623418006015,15308.868851004756,8462.246998587392,85399.46224623687,46463.045896172705,53825.32954471791
79,10/25/2022,9563.657938934753,15098.174313401609,8383.410602941203,84625.55711871055,46420.926900124905,52901.967676961656
80,10/26/2022,9407.692459863494,14887.47977579846,8304.574207295014,83851.65199118422,46378.807904077104,51978.60580920539
81,10/27/2022,9007.148972068939,14314.298095011967,8032.992491303824,81349.6867198516,45476.60089618702,49463.7920498262
82,10/28/2022,8606.605484274382,13741.116414225475,7761.410775312636,78847.72144851896,44574.39388829694,46948.97829044702
83,10/29/2022,8206.061996479826,13167.934733438986,7489.829059321445,76345.75617718634,43672.18688040685,44434.16453106782
84,10/30/2022,7805.518508685269,12594.753052652493,7218.247343330256,73843.79090585372,42769.979872516764,41919.35077168864
85,10/31/2022,7404.975020890713,12021.571371866,6946.665627339066,71341.8256345211,41867.77286462668,39404.537012309454
86,11/01/2022,7004.431533096156,11448.38969107951,6675.083911347877,68839.86036318846,40965.5658567366,36889.723252930264
87,11/02/2022,6603.8880453016,10875.208010293018,6403.5021953566875,66337.89509185584,40063.3588488465,34374.90949355107
88,11/03/2022,6311.999779353439,10554.604901232493,6202.438721767209,65480.34172952528,40184.6204930753,33018.78740744952
89,11/04/2022,6020.11151340528,10234.001792171968,6001.37524817773,64622.78836719471,40305.88213730411,31662.665321347955
90,11/05/2022,5728.223247457119,9913.398683111443,5800.311774588251,63765.23500486415,40427.14378153291,30306.5432352464
91,11/06/2022,5436.33498150896,9592.795574050917,5599.248300998774,62907.68164253358,40548.40542576171,28950.421149144844
92,11/07/2022,5144.4467155608,9272.192464990392,5398.1848274092945,62050.12828020302,40669.66706999052,27594.299063043287
93,11/08/2022,4852.55844961264,8951.589355929867,5197.121353819817,61192.57491787245,40790.92871421932,26238.17697694173
94,11/09/2022,4560.67018366448,8630.986246869343,4996.057880230339,60335.02155554189,40912.190358448126,24882.05489084017
95,11/10/2022,4446.457797058177,8501.548766414036,4909.796798052542,59930.96560750777,40982.6505602708,24451.773474144476
96,11/11/2022,4332.245410451873,8372.111285958734,4823.535715874744,59526.90965947365,41053.110762093456,24021.492057448784
97,11/12/2022,4218.033023845571,8242.67380550343,4737.274633696946,59122.85371143953,41123.57096391613,23591.210640753092
98,11/13/2022,4103.820637239267,8113.236325048124,4651.013551519148,58718.79776340542,41194.0311657388,23160.929224057403
99,11/14/2022,3989.608250632964,7983.7988445928195,4564.75246934135,58314.74181537131,41264.491367561466,22730.647807361707
100,11/15/2022,3875.395864026661,7854.361364137515,4478.491387163553,57910.68586733718,41334.95156938413,22300.36639066602
101,11/16/2022,3761.1834774203576,7724.9238836822105,4392.230304985755,57506.629919303065,41405.411771206804,21870.084973970326
102,11/17/2022,3685.601444496772,7483.3131203822495,4314.728481699271,55604.83556429234,40197.34391087187,21023.399488754156
103,11/18/2022,3610.0194115731865,7241.702357082287,4237.2266584127865,53703.04120928162,38989.27605053692,20176.71400353798
