,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,470.88261161724864,1622.540392594627,173.55484417171505,1620.1676476366722,1099.8254886203981,0.0
5,08/12/2022,941.7652232344973,3245.080785189254,347.1096883434301,3240.3352952733444,2199.6509772407962,0.0
6,08/13/2022,1412.6478348517462,4867.621177783882,520.6645325151451,4860.502942910017,3299.4764658611944,0.0
7,08/14/2022,1883.5304464689946,6490.161570378508,694.2193766868602,6480.670590546689,4399.3019544815925,0.0
8,08/15/2022,2354.4130580862434,8112.701962973136,867.7742208585752,8100.838238183361,5499.127443101991,0.0
9,08/16/2022,2825.2956697034924,9735.242355567763,1041.3290650302902,9721.005885820034,6598.952931722389,0.0
10,08/17/2022,3296.1782813207406,11357.78274816239,1214.8839092020053,11341.173533456706,7698.778420342787,0.0
11,08/18/2022,3093.2944438473005,9924.837044655904,1511.128406917916,9721.005885820034,6598.952931722389,0.0
12,08/19/2022,2890.410606373862,8491.89134114942,1807.3729046338265,8100.838238183361,5499.127443101991,0.0
13,08/20/2022,2687.5267689004218,7058.945637642936,2103.617402349737,6480.670590546689,4399.3019544815925,0.0
14,08/21/2022,2484.6429314269817,5625.999934136452,2399.8619000656477,4860.502942910017,3299.4764658611944,0.0
15,08/22/2022,2281.759093953542,4193.054230629967,2696.106397781558,3240.3352952733444,2199.6509772407962,0.0
16,08/23/2022,2078.8752564801025,2760.108527123482,2992.350895497468,1620.1676476366722,1099.8254886203981,0.0
17,08/24/2022,1875.9914190066627,1327.1628236169972,3288.5953932133793,0.0,0.0,0.0
18,08/25/2022,1974.935666122983,1517.1435343182395,3342.396991821761,683.9984625976134,193.5659230331308,764.0667116131547
19,08/26/2022,2073.8799132393037,1707.1242450194818,3396.198590430142,1367.9969251952268,387.1318460662616,1528.1334232263093
20,08/27/2022,2172.8241603556244,1897.1049557207239,3450.0001890385233,2051.9953877928406,580.6977690993924,2292.200134839464
21,08/28/2022,2271.7684074719446,2087.085666421966,3503.801787646905,2735.9938503904536,774.2636921325231,3056.2668464526187
22,08/29/2022,2370.7126545882657,2277.066377123208,3557.603386255286,3419.992312988067,967.829615165654,3820.333558065773
23,08/30/2022,2469.6569017045863,2467.04708782445,3611.404984863667,4103.990775585681,1161.3955381987848,4584.400269678928
24,08/31/2022,2568.6011488209065,2657.0277985256926,3665.2065834720484,4787.989238183294,1354.9614612319156,5348.466981292083
25,09/01/2022,2657.1551948984375,2823.3693169874628,3715.29434539462,5620.899005589138,1824.1498784542175,5706.002287145032
26,09/02/2022,2745.7092409759684,2989.7108354492334,3765.382107317192,6453.808772994981,2293.3382956765195,6063.53759299798
27,09/03/2022,2834.2632870535,3156.052353911003,3815.4698692397637,7286.718540400824,2762.526712898821,6421.072898850928
28,09/04/2022,2922.8173331310313,3322.393872372774,3865.557631162336,8119.628307806667,3231.7151301211234,6778.608204703877
29,09/05/2022,3011.3713792085623,3488.7353908345435,3915.6453930849075,8952.53807521251,3700.9035473434255,7136.143510556826
30,09/06/2022,3099.9254252860933,3655.0769092963137,3965.7331550074787,9785.447842618352,4170.091964565728,7493.678816409774
31,09/07/2022,3188.4794713636243,3821.418427758084,4015.8209169300508,10618.357610024195,4639.280381788029,7851.214122262723
32,09/08/2022,3266.6433164023656,3964.120753980387,4062.1948421668117,11308.149395339215,5022.574137557189,7958.064468837391
33,09/09/2022,3344.8071614411074,4106.823080202689,4108.568767403572,11997.941180654232,5405.867893326349,8064.914815412059
34,09/10/2022,3422.9710064798483,4249.525406424991,4154.942692640332,12687.732965969251,5789.1616490955075,8171.765161986726
35,09/11/2022,3501.1348515185896,4392.227732647294,4201.3166178770925,13377.52475128427,6172.455404864668,8278.615508561394
36,09/12/2022,3579.2986965573314,4534.930058869597,4247.690543113853,14067.31653659929,6555.749160633828,8385.465855136063
37,09/13/2022,3657.4625415960722,4677.632385091899,4294.064468350614,14757.108321914307,6939.042916402986,8492.316201710728
38,09/14/2022,3735.626386634814,4820.334711314202,4340.438393587375,15446.900107229327,7322.336672172146,8599.166548285397
39,09/15/2022,3803.400030634762,4939.397845297052,4383.098482138343,15993.573910453593,7619.735766488156,8696.3379639578
40,09/16/2022,3871.1736746347106,5058.460979279902,4425.758570689309,16540.247713677858,7917.134860804165,8793.509379630203
41,09/17/2022,3938.9473186346586,5177.524113262751,4468.418659240277,17086.921516902126,8214.533955120174,8890.680795302607
42,09/18/2022,4006.720962634607,5296.587247245601,4511.078747791244,17633.59532012639,8511.933049436184,8987.852210975008
43,09/19/2022,4074.494606634555,5415.650381228451,4553.7388363422115,18180.269123350656,8809.332143752195,9085.023626647411
44,09/20/2022,4142.268250634504,5534.7135152113,4596.3989248931775,18726.942926574924,9106.731238068205,9182.195042319816
45,09/21/2022,4210.041894634452,5653.77664919415,4639.059013444145,19273.61672979919,9404.130332384215,9279.366457992219
46,09/22/2022,4267.425337595625,5749.200590937464,4678.005265309265,19677.17255093266,9615.634765247083,9366.85894276234
47,09/23/2022,4324.8087805567975,5844.624532680777,4716.951517174385,20080.728372066133,9827.139198109948,9454.35142753246
48,09/24/2022,4382.19222351797,5940.04847442409,4755.897769039506,20484.2841931996,10038.643630972814,9541.843912302584
49,09/25/2022,4439.5756664791425,6035.472416167403,4794.844020904626,20887.840014333076,10250.148063835682,9629.336397072706
50,09/26/2022,4496.959109440316,6130.896357910716,4833.790272769746,21291.395835466545,10461.652496698547,9716.828881842826
51,09/27/2022,4554.342552401488,6226.32029965403,4872.736524634865,21694.951656600017,10673.156929561414,9804.321366612947
52,09/28/2022,4611.725995362661,6321.744241397343,4911.682776499986,22098.50747773349,10884.66136242428,9891.813851383069
53,09/29/2022,4694.476518486537,6467.587550913765,4986.125888415173,22720.15389187465,11227.72668612997,10046.56993277333
54,09/30/2022,4777.227041610414,6613.430860430187,5060.56900033036,23341.800306015804,11570.792009835664,10201.326014163586
55,10/01/2022,4859.977564734289,6759.274169946609,5135.012112245546,23963.446720156964,11913.857333541353,10356.082095553847
56,10/02/2022,4942.728087858166,6905.117479463031,5209.4552241607325,24585.093134298117,12256.922657247045,10510.838176944104
57,10/03/2022,5025.4786109820425,7050.960788979452,5283.898336075919,25206.739548439276,12599.987980952736,10665.594258334366
58,10/04/2022,5108.229134105918,7196.804098495874,5358.341447991106,25828.385962580436,12943.053304658428,10820.350339724622
59,10/05/2022,5190.9796572297955,7342.647408012297,5432.784559906293,26450.032376721592,13286.118628364118,10975.106421114882
60,10/06/2022,5375.385744202798,7700.792796344839,5612.329346556097,28130.230376365264,14266.23512078835,11338.085857813348
61,10/07/2022,5559.7918311758,8058.938184677382,5791.8741332059,29810.42837600893,15246.35161321258,11701.065294511816
62,10/08/2022,5744.197918148804,8417.083573009922,5971.418919855704,31490.6263756526,16226.468105636812,12064.04473121028
63,10/09/2022,5928.604005121806,8775.228961342465,6150.963706505508,33170.824375296266,17206.584598061043,12427.024167908745
64,10/10/2022,6113.010092094808,9133.374349675008,6330.508493155312,34851.02237493994,18186.701090485272,12790.003604607213
65,10/11/2022,6297.416179067809,9491.519738007551,6510.053279805115,36531.22037458361,19166.817582909505,13152.983041305679
66,10/12/2022,6481.822266040812,9849.665126340093,6689.598066454919,38211.41837422727,20146.934075333735,13515.962478004145
67,10/13/2022,6555.599583648156,9985.696956114984,6722.412815609415,38900.37078929256,20529.420016075666,13598.930108018943
68,10/14/2022,6629.376901255502,10121.728785889873,6755.227564763911,39589.32320435786,20911.905956817605,13681.897738033744
69,10/15/2022,6703.154218862847,10257.760615664763,6788.042313918406,40278.27561942314,21294.391897559537,13764.865368048542
70,10/16/2022,6776.931536470191,10393.792445439653,6820.857063072901,40967.228034488435,21676.877838301472,13847.83299806334
71,10/17/2022,6850.708854077535,10529.824275214543,6853.671812227397,41656.18044955372,22059.363779043404,13930.800628078141
72,10/18/2022,6924.48617168488,10665.856104989432,6886.486561381892,42345.132864619016,22441.84971978534,14013.76825809294
73,10/19/2022,6998.263489292225,10801.887934764321,6919.301310536388,43034.0852796843,22824.335660527275,14096.73588810774
74,10/20/2022,6937.497976152806,10666.565140511608,6778.117198406247,42495.413104805186,22466.84952336572,13846.50796978616
75,10/21/2022,6876.732463013385,10531.242346258892,6636.933086276105,41956.74092992607,22109.363386204157,13596.280051464577
76,10/22/2022,6815.966949873966,10395.919552006178,6495.748974145963,41418.06875504695,21751.8772490426,13346.052133142997
77,10/23/2022,6755.201436734546,10260.596757753463,6354.564862015822,40879.39658016785,21394.391111881043,13095.824214821416
78,10/24/2022,6694.435923595126,10125.27396350075,6213.38074988568,40340.72440528873,21036.904974719488,12845.596296499834
79,10/25/2022,6633.670410455706,9989.951169248036,6072.196637755538,39802.052230409616,20679.41883755793,12595.368378178255
80,10/26/2022,6572.904897316286,9854.628374995322,5931.012525625397,39263.3800555305,20321.932700396374,12345.140459856673
81,10/27/2022,6380.356550068078,9453.16529465432,5620.051414487917,37523.301416929186,19239.62192082738,11769.055848832331
82,10/28/2022,6187.8082028198705,9051.702214313318,5309.090303350437,35783.22277832787,18157.31114125839,11192.971237807993
83,10/29/2022,5995.259855571662,8650.239133972316,4998.129192212958,34043.14413972655,17075.000361689396,10616.886626783651
84,10/30/2022,5802.711508323455,8248.776053631316,4687.168081075478,32303.06550112524,15992.689582120403,10040.802015759307
85,10/31/2022,5610.163161075248,7847.312973290315,4376.206969937998,30562.986862523925,14910.37880255141,9464.717404734965
86,11/01/2022,5417.61481382704,7445.8498929493135,4065.2458588005184,28822.908223922608,13828.068022982417,8888.632793710623
87,11/02/2022,5225.066466578832,7044.3868126083125,3754.284747663039,27082.829585321295,12745.757243413424,8312.548182686282
88,11/03/2022,5092.723165878028,6754.334099324855,3564.1134392028252,25965.16713561699,12021.148459307422,7928.157881285198
89,11/04/2022,4960.379865177225,6464.281386041397,3373.9421307426123,24847.504685912685,11296.539675201417,7543.767579884113
90,11/05/2022,4828.036564476422,6174.2286727579385,3183.770822282399,23729.84223620838,10571.930891095413,7159.377278483028
91,11/06/2022,4695.693263775619,5884.175959474481,2993.599513822185,22612.179786504075,9847.322106989408,6774.986977081941
92,11/07/2022,4563.3499630748165,5594.123246191024,2803.428205361972,21494.517336799767,9122.713322883405,6390.596675680857
93,11/08/2022,4431.006662374013,5304.070532907565,2613.256896901759,20376.854887095466,8398.104538777403,6006.206374279774
94,11/09/2022,4298.66336167321,5014.017819624108,2423.085588441545,19259.19243739116,7673.495754671398,5621.816072878689
95,11/10/2022,4237.514066262072,4901.109729539699,2361.086941655344,18868.53373008851,7454.372118800388,5479.720797667883
96,11/11/2022,4176.364770850935,4788.20163945529,2299.0882948691437,18477.87502278586,7235.248482929378,5337.625522457076
97,11/12/2022,4115.215475439797,4675.293549370882,2237.0896480829433,18087.216315483212,7016.12484705837,5195.53024724627
98,11/13/2022,4054.06618002866,4562.385459286474,2175.0910012967424,17696.557608180567,6797.00121118736,5053.434972035463
99,11/14/2022,3992.9168846175226,4449.477369202065,2113.092354510542,17305.898900877914,6577.877575316351,4911.339696824656
100,11/15/2022,3931.767589206385,4336.569279117656,2051.0937077243416,16915.240193575268,6358.753939445342,4769.24442161385
101,11/16/2022,3870.6182937952476,4223.661189033248,1989.0950609381414,16524.58148627262,6139.630303574332,4627.149146403043
102,11/17/2022,3796.146421038847,4136.569893271318,1924.2380079340628,16058.112459462294,5978.379423881631,4506.586155736392
103,11/18/2022,3721.6745482824476,4049.478597509387,1859.3809549299838,15591.64343265197,5817.128544188929,4386.0231650697415
