,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,218.69752228404482,177.1577692019288,83.73700419748806,0.0,0.0,0.0
6,2022-08-12,437.39504456808965,354.3155384038576,167.47400839497612,0.0,0.0,0.0
7,2022-08-13,656.0925668521344,531.4733076057863,251.21101259246416,0.0,0.0,0.0
8,2022-08-14,874.7900891361793,708.6310768077152,334.94801678995225,0.0,0.0,0.0
9,2022-08-15,1093.487611420224,885.788846009644,418.6850209874402,0.0,0.0,0.0
10,2022-08-16,1312.1851337042688,1062.9466152115726,502.4220251849283,0.0,0.0,0.0
11,2022-08-17,1530.8826559883137,1240.1043844135017,586.1590293824164,0.0,0.0,0.0
12,2022-08-18,1312.185133704269,1106.6700344351623,520.2082444025532,35.127468973463166,31.19506932479703,0.0
13,2022-08-19,1093.487611420224,973.2356844568228,454.2574594226901,70.25493794692633,62.39013864959406,0.0
14,2022-08-20,874.7900891361793,839.8013344784837,388.30667444282705,105.38240692038951,93.58520797439107,0.0
15,2022-08-21,656.0925668521344,706.3669845001442,322.355889462964,140.50987589385267,124.78027729918811,0.0
16,2022-08-22,437.39504456808976,572.9326345218049,256.4051044831009,175.63734486731582,155.97534662398513,0.0
17,2022-08-23,218.69752228404488,439.49828454346545,190.45431950323774,210.76481384077903,187.17041594878214,0.0
18,2022-08-24,0.0,306.063934565126,124.50353452337465,245.8922828142422,218.3654852735792,0.0
19,2022-08-25,0.0,313.78883734267004,129.5721814772125,352.753680029122,346.83617005324663,262.1211227615569
20,2022-08-26,0.0,321.51374012021415,134.64082843105027,459.61507724400195,475.3068548329142,524.2422455231138
21,2022-08-27,0.0,329.2386428977584,139.70947538488818,566.4764744588817,603.7775396125816,786.3633682846705
22,2022-08-28,0.0,336.9635456753023,144.778122338726,673.3378716737616,732.248224392249,1048.4844910462275
23,2022-08-29,0.0,344.6884484528463,149.84676929256378,780.1992688886414,860.7189091719166,1310.6056138077843
24,2022-08-30,0.0,352.41335123039056,154.91541624640155,887.0606661035213,989.189593951584,1572.726736569341
25,2022-08-31,0.0,360.13825400793445,159.98406320023946,993.9220633184012,1117.6602787312515,1834.8478593308982
26,2022-09-01,19.189822964220337,367.21793667705913,164.55558388884577,1013.333156640551,1125.5695904154018,1832.8939177569896
27,2022-09-02,38.379645928440475,374.2976193461838,169.12710457745217,1032.7442499627011,1133.478902099552,1830.9399761830819
28,2022-09-03,57.569468892660815,381.3773020153082,173.6986252660584,1052.155343284851,1141.3882137837018,1828.9860346091732
29,2022-09-04,76.75929185688095,388.4569846844329,178.2701459546648,1071.5664366070012,1149.297525467852,1827.0320930352648
30,2022-09-05,95.94911482110129,395.53666735355756,182.84166664327117,1090.977529929151,1157.2068371520022,1825.078151461357
31,2022-09-06,115.13893778532163,402.6163500226822,187.41318733187757,1110.388623251301,1165.1161488361524,1823.1242098874484
