,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,326.1951549300698,1035.5994496617727,1177.1171403849205,2501.9284864269816,0.0,0.0
5,08/12/2022,652.3903098601396,2071.1988993235454,2354.234280769841,5003.856972853963,0.0,0.0
6,08/13/2022,978.5854647902095,3106.798348985318,3531.3514211547617,7505.785459280944,0.0,0.0
7,08/14/2022,1304.7806197202792,4142.397798647091,4708.468561539682,10007.713945707927,0.0,0.0
8,08/15/2022,1630.9757746503492,5177.997248308864,5885.585701924603,12509.642432134906,0.0,0.0
9,08/16/2022,1957.170929580419,6213.596697970636,7062.7028423095235,15011.570918561889,0.0,0.0
10,08/17/2022,2283.3660845104887,7249.1961476324095,8239.819982694444,17513.49940498887,0.0,0.0
11,08/18/2022,2330.2863425826777,6353.165912358896,7062.702842309523,15011.57091856189,0.0,99.80064781130375
12,08/19/2022,2377.2066006548666,5457.135677085381,5885.585701924603,12509.642432134906,0.0,199.6012956226075
13,08/20/2022,2424.1268587270556,4561.105441811867,4708.468561539682,10007.713945707927,0.0,299.40194343391124
14,08/21/2022,2471.0471167992446,3665.0752065383535,3531.3514211547617,7505.785459280944,0.0,399.202591245215
15,08/22/2022,2517.9673748714335,2769.044971264839,2354.234280769841,5003.856972853963,0.0,499.0032390565188
16,08/23/2022,2564.887632943622,1873.0147359913256,1177.1171403849205,2501.9284864269816,0.0,598.8038868678225
17,08/24/2022,2611.8078910158115,976.9845007178113,0.0,0.0,0.0,698.6045346791263
18,08/25/2022,2716.051535518615,1228.116856744968,21.332242398421524,861.0626665798214,459.29637688109085,1659.6238193527342
19,08/26/2022,2820.295180021418,1479.2492127721246,42.66448479684305,1722.1253331596429,918.5927537621817,2620.643104026342
20,08/27/2022,2924.5388245242216,1730.381568799281,63.99672719526457,2583.1879997394644,1377.8891306432724,3581.6623886999496
21,08/28/2022,3028.7824690270254,1981.513924826438,85.3289695936861,3444.2506663192858,1837.1855075243634,4542.681673373558
22,08/29/2022,3133.0261135298288,2232.6462808535944,106.66121199210761,4305.313332899107,2296.4818844054544,5503.700958047165
23,08/30/2022,3237.2697580326317,2483.778636880751,127.99345439052914,5166.375999478929,2755.778261286545,6464.720242720772
24,08/31/2022,3341.5134025354355,2734.9109929079077,149.32569678895067,6027.43866605875,3215.074638167636,7425.73952739438
25,09/01/2022,3435.591389703038,2953.1496821059322,346.7706444343668,6816.588668295582,4048.3857506381255,7689.987435310252
26,09/02/2022,3529.669376870642,3171.3883713039563,544.2155920797829,7605.7386705324125,4881.696863108616,7954.235343226123
27,09/03/2022,3623.747364038245,3389.627060501981,741.660539725199,8394.888672769244,5715.007975579106,8218.483251141995
28,09/04/2022,3717.8253512058477,3607.865749700005,939.1054873706152,9184.038675006075,6548.319088049595,8482.731159057868
29,09/05/2022,3811.903338373451,3826.1044388980295,1136.5504350160313,9973.188677242908,7381.630200520085,8746.979066973738
30,09/06/2022,3905.9813255410545,4044.3431280960535,1333.9953826614474,10762.338679479739,8214.941312990575,9011.226974889609
31,09/07/2022,4000.0593127086577,4262.581817294078,1531.4403303068634,11551.48868171657,9048.252425461065,9275.474882805482
32,09/08/2022,4083.971642541051,4447.926839662975,1690.8279478071283,12210.213482034287,9395.400525422821,9508.342586163144
33,09/09/2022,4167.8839723734445,4633.271862031871,1850.215565307393,12868.938282352003,9742.548625384577,9741.210289520806
34,09/10/2022,4251.7963022058375,4818.616884400768,2009.6031828076577,13527.66308266972,10089.696725346335,9974.07799287847
35,09/11/2022,4335.7086320382305,5003.961906769664,2168.9908003079227,14186.38788298744,10436.844825308091,10206.945696236131
36,09/12/2022,4419.620961870624,5189.306929138561,2328.3784178081874,14845.112683305155,10783.99292526985,10439.813399593795
37,09/13/2022,4503.533291703017,5374.651951507457,2487.7660353084525,15503.837483622874,11131.141025231607,10672.68110295146
38,09/14/2022,4587.44562153541,5559.996973876354,2647.153652808717,16162.56228394059,11478.289125193362,10905.548806309122
39,09/15/2022,4661.192294032618,5712.4483294161355,2768.483940163831,16690.86188233915,11767.198840068686,11107.036305108553
40,09/16/2022,4734.938966529824,5864.899684955918,2889.814227518945,17219.16148073772,12056.108554944005,11308.523803907985
41,09/17/2022,4808.685639027031,6017.3510404957,3011.144514874058,17747.461079136287,12345.018269819333,11510.011302707415
42,09/18/2022,4882.432311524238,6169.802396035483,3132.474802229172,18275.76067753485,12633.92798469465,11711.498801506848
43,09/19/2022,4956.178984021445,6322.253751575265,3253.8050895842857,18804.060275933414,12922.837699569978,11912.98630030628
44,09/20/2022,5029.9256565186515,6474.705107115047,3375.1353769393995,19332.35987433198,13211.747414445297,12114.473799105712
45,09/21/2022,5103.672329015859,6627.156462654829,3496.465664294513,19860.659472730546,13500.657129320622,12315.961297905142
46,09/22/2022,5167.253344177841,6746.714151365432,3579.7386215044708,20258.53386920998,13731.32845910949,12486.068592146401
47,09/23/2022,5230.834359339825,6866.271840076034,3663.011578714428,20656.408265689406,13961.999788898365,12656.17588638766
48,09/24/2022,5294.4153745018075,6985.829528786637,3746.2845359243865,21054.282662168836,14192.671118687238,12826.28318062892
49,09/25/2022,5357.996389663791,7105.387217497239,3829.5574931343435,21452.157058648267,14423.342448476107,12996.39047487018
50,09/26/2022,5421.577404825774,7224.944906207842,3912.830450344302,21850.031455127697,14654.013778264978,13166.49776911144
51,09/27/2022,5485.158419987756,7344.502594918444,3996.10340755426,22247.905851607127,14884.685108053849,13336.6050633527
52,09/28/2022,5548.73943514974,7464.060283629047,4079.376364764217,22645.780248086558,15115.356437842722,13506.712357593959
53,09/29/2022,5646.889003941197,7655.830506189435,4210.402259410219,23222.80463144053,15482.383327772151,13790.284198161238
54,09/30/2022,5745.038572732655,7847.600728749823,4341.428154056221,23799.829014794494,15849.41021770158,14073.856038728518
55,10/01/2022,5843.1881415241105,8039.370951310212,4472.454048702222,24376.853398148465,16216.437107631009,14357.427879295798
56,10/02/2022,5941.33771031557,8231.1411738706,4603.479943348224,24953.877781502437,16583.46399756044,14640.999719863075
57,10/03/2022,6039.487279107026,8422.911396430985,4734.505837994226,25530.90216485641,16950.49088748987,14924.571560430353
58,10/04/2022,6137.636847898482,8614.681618991375,4865.531732640227,26107.926548210376,17317.517777419296,15208.143400997633
59,10/05/2022,6235.786416689941,8806.451841551763,4996.557627286229,26684.950931564348,17684.544667348728,15491.715241564913
60,10/06/2022,6458.761893971628,9298.983644132082,5382.424068021442,28175.65368727854,18606.19468853954,16178.186811637714
61,10/07/2022,6681.737371253316,9791.515446712403,5768.290508756654,29666.356442992732,19527.844709730354,16864.658381710517
62,10/08/2022,6904.712848535005,10284.04724929272,6154.156949491866,31157.059198706927,20449.494730921168,17551.129951783314
63,10/09/2022,7127.688325816693,10776.57905187304,6540.023390227079,32647.76195442112,21371.14475211198,18237.601521856115
64,10/10/2022,7350.66380309838,11269.11085445336,6925.889830962291,34138.46471013531,22292.794773302794,18924.07309192892
65,10/11/2022,7573.639280380069,11761.642657033677,7311.7562716975035,35629.1674658495,23214.444794493607,19610.54466200172
66,10/12/2022,7796.614757661757,12254.174459613998,7697.622712432716,37119.870221563695,24136.09481568442,20297.016232074522
67,10/13/2022,7871.811889996827,12429.30540169175,7861.433413931031,37786.722091711104,24461.301023302338,20499.9161672669
68,10/14/2022,7947.009022331898,12604.436343769505,8025.244115429346,38453.573961858514,24786.50723092025,20702.816102459274
69,10/15/2022,8022.206154666967,12779.567285847259,8189.054816927661,39120.42583200592,25111.71343853817,20905.716037651648
70,10/16/2022,8097.403287002038,12954.698227925013,8352.865518425975,39787.277702153326,25436.919646156082,21108.61597284403
71,10/17/2022,8172.600419337109,13129.829170002768,8516.676219924291,40454.12957230075,25762.125853773996,21311.515908036406
72,10/18/2022,8247.79755167218,13304.960112080522,8680.486921422604,41120.98144244815,26087.332061391913,21514.41584322878
73,10/19/2022,8322.99468400725,13480.091054158276,8844.29762292092,41787.83331259556,26412.53826900983,21717.315778421158
74,10/20/2022,8220.110193056129,13267.84744211838,8730.44957225927,41429.3015673531,26011.38900499058,21338.316276802034
75,10/21/2022,8117.225702105007,13055.603830078482,8616.601521597619,41070.76982211065,25610.23974097133,20959.31677518291
76,10/22/2022,8014.3412111538855,12843.360218038588,8502.75347093597,40712.23807686818,25209.09047695208,20580.317273563785
77,10/23/2022,7911.456720202763,12631.11660599869,8388.90542027432,40353.70633162572,24807.94121293283,20201.31777194466
78,10/24/2022,7808.572229251642,12418.872993958794,8275.057369612668,39995.17458638327,24406.791948913575,19822.318270325537
79,10/25/2022,7705.687738300519,12206.629381918898,8161.209318951018,39636.642841140805,24005.642684894327,19443.318768706413
80,10/26/2022,7602.803247349399,11994.385769879002,8047.361268289367,39278.11109589835,23604.49342087508,19064.31926708729
81,10/27/2022,7325.786218044568,11402.465354220707,7661.7225999096345,37914.35815450543,22493.045690816805,18117.088757186466
82,10/28/2022,7048.769188739739,10810.54493856241,7276.083931529902,36550.60521311251,21381.59796075853,17169.858247285643
83,10/29/2022,6771.752159434908,10218.624522904114,6890.445263150169,35186.852271719596,20270.15023070026,16222.62773738482
84,10/30/2022,6494.735130130079,9626.70410724582,6504.806594770435,33823.09933032668,19158.702500641986,15275.397227483998
85,10/31/2022,6217.718100825247,9034.783691587525,6119.1679263907035,32459.346388933765,18047.25477058371,14328.166717583174
86,11/01/2022,5940.701071520418,8442.863275929229,5733.52925801097,31095.593447540847,16935.807040525437,13380.936207682353
87,11/02/2022,5663.684042215587,7850.942860270933,5347.890589631237,29731.84050614793,15824.359310467162,12433.705697781528
88,11/03/2022,5483.976492124146,7436.590262876106,5100.643416757716,28786.383292447845,15117.860856906802,11856.402177551872
89,11/04/2022,5304.268942032703,7022.237665481278,4853.3962438841945,27840.926078747758,14411.362403346442,11279.098657322216
90,11/05/2022,5124.561391941263,6607.885068086451,4606.149071010675,26895.468865047675,13704.863949786082,10701.795137092558
91,11/06/2022,4944.853841849821,6193.5324706916235,4358.901898137153,25950.01165134759,12998.365496225722,10124.4916168629
92,11/07/2022,4765.1462917583785,5779.179873296796,4111.654725263632,25004.554437647505,12291.86704266536,9547.188096633243
93,11/08/2022,4585.438741666937,5364.827275901969,3864.407552390111,24059.097223947418,11585.368589105,8969.884576403587
94,11/09/2022,4405.731191575496,4950.474678507142,3617.1603795165897,23113.64001024733,10878.870135544641,8392.581056173929
95,11/10/2022,4329.174791036727,4810.365524888196,3537.6989201987058,22730.4137194591,10636.122644947904,8201.339804770489
96,11/11/2022,4252.618390497957,4670.256371269249,3458.237460880822,22347.18742867087,10393.37515435117,8010.098553367047
97,11/12/2022,4176.0619899591875,4530.147217650304,3378.7760015629383,21963.961137882638,10150.627663754434,7818.857301963608
98,11/13/2022,4099.505589420419,4390.038064031357,3299.314542245054,21580.734847094405,9907.880173157697,7627.6160505601665
99,11/14/2022,4022.9491888816488,4249.928910412412,3219.85308292717,21197.50855630618,9665.132682560961,7436.374799156727
100,11/15/2022,3946.3927883428796,4109.819756793465,3140.3916236092855,20814.282265517944,9422.385191964227,7245.133547753286
101,11/16/2022,3869.8363878041096,3969.710603174519,3060.930164291402,20431.055974729716,9179.63770136749,7053.892296349846
102,11/17/2022,3773.668597657543,3880.376895805567,2970.6794798974756,20004.46013455748,8907.99188844656,6823.054297654912
103,11/18/2022,3677.5008075109768,3791.0431884366158,2880.4287955035493,19577.864294385246,8636.34607552563,6592.216298959979
