,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,754.0930269631737,1131.0121462430766,665.2254575633559,2166.260515875333,1036.74533893462,0.0
5,08/12/2022,1508.1860539263473,2262.024292486153,1330.4509151267118,4332.521031750666,2073.49067786924,0.0
6,08/13/2022,2262.279080889521,3393.03643872923,1995.6763726900676,6498.781547625999,3110.23601680386,0.0
7,08/14/2022,3016.3721078526946,4524.048584972306,2660.9018302534237,8665.042063501332,4146.98135573848,0.0
8,08/15/2022,3770.4651348158686,5655.0607312153825,3326.1272878167797,10831.302579376666,5183.726694673101,0.0
9,08/16/2022,4524.558161779042,6786.07287745846,3991.3527453801353,12997.563095251999,6220.47203360772,0.0
10,08/17/2022,5278.651188742216,7917.085023701537,4656.578202943491,15163.82361112733,7257.21737254234,0.0
11,08/18/2022,4524.558161779042,6786.072877458459,3991.3527453801353,12997.563095251999,6220.47203360772,46.41987105734698
12,08/19/2022,3770.465134815868,5655.0607312153825,3326.1272878167792,10831.302579376666,5183.726694673101,92.83974211469396
13,08/20/2022,3016.3721078526946,4524.048584972306,2660.9018302534237,8665.042063501332,4146.98135573848,139.25961317204093
14,08/21/2022,2262.279080889521,3393.03643872923,1995.6763726900676,6498.781547625999,3110.23601680386,185.67948422938792
15,08/22/2022,1508.186053926347,2262.024292486153,1330.4509151267116,4332.521031750666,2073.49067786924,232.0993552867349
16,08/23/2022,754.0930269631737,1131.0121462430766,665.2254575633559,2166.260515875333,1036.74533893462,278.51922634408186
17,08/24/2022,0.0,0.0,0.0,0.0,0.0,324.93909740142885
18,08/25/2022,74.92113877333432,0.0,0.0,0.0,64.26162732411935,635.596617997537
19,08/26/2022,149.84227754666864,0.0,0.0,0.0,128.5232546482387,946.2541385936453
20,08/27/2022,224.76341632000296,0.0,0.0,0.0,192.78488197235805,1256.9116591897534
21,08/28/2022,299.6845550933373,0.0,0.0,0.0,257.0465092964774,1567.5691797858615
22,08/29/2022,374.60569386667163,0.0,0.0,0.0,321.3081366205967,1878.22670038197
23,08/30/2022,449.5268326400059,0.0,0.0,0.0,385.5697639447161,2188.884220978078
24,08/31/2022,524.4479714133403,0.0,0.0,0.0,449.83139126883543,2499.541741574186
25,09/01/2022,611.7529297211253,171.95078532448724,38.52309070216274,630.6850106814494,764.3675444445396,2667.377766312431
26,09/02/2022,699.0578880289104,343.9015706489745,77.04618140432548,1261.3700213628988,1078.9036976202435,2835.2137910506763
27,09/03/2022,786.3628463366955,515.8523559734617,115.56927210648823,1892.0550320443483,1393.4398507959475,3003.049815788921
28,09/04/2022,873.6678046444806,687.803141297949,154.09236280865096,2522.7400427257976,1707.9760039716516,3170.885840527167
29,09/05/2022,960.9727629522657,859.7539266224363,192.6154535108137,3153.4250534072476,2022.5121571473558,3338.721865265412
30,09/06/2022,1048.2777212600508,1031.7047119469235,231.13854421297646,3784.1100640886966,2337.0483103230595,3506.557890003657
31,09/07/2022,1135.5826795678358,1203.6554972714107,269.6616349151392,4414.795074770146,2651.584463498764,3674.3939147419023
32,09/08/2022,1207.9676730801025,1361.0025249141434,364.8479428376032,4946.094804964821,2906.500492073087,3817.9448811207444
33,09/09/2022,1280.3526665923691,1518.349552556876,460.0342507600672,5477.394535159497,3161.4165206474104,3961.4958474995865
34,09/10/2022,1352.7376601046358,1675.6965801996087,555.2205586825312,6008.694265354171,3416.3325492217336,4105.046813878428
35,09/11/2022,1425.1226536169027,1833.043607842341,650.4068666049952,6539.993995548847,3671.248577796057,4248.59778025727
36,09/12/2022,1497.5076471291688,1990.3906354850742,745.5931745274593,7071.293725743523,3926.16460637038,4392.148746636112
37,09/13/2022,1569.8926406414357,2147.7376631278066,840.7794824499233,7602.5934559381985,4181.080634944703,4535.699713014955
38,09/14/2022,1642.2776341537021,2305.084690770539,935.9657903723872,8133.893186132873,4435.996663519027,4679.250679393796
39,09/15/2022,1699.7426628704332,2422.799685946611,1008.5889400816687,8533.809718315382,4631.292567491976,4798.516587413235
40,09/16/2022,1757.207691587165,2540.514681122683,1081.2120897909501,8933.72625049789,4826.588471464926,4917.7824954326725
41,09/17/2022,1814.672720303896,2658.2296762987557,1153.8352395002316,9333.642782680397,5021.884375437875,5037.048403452112
42,09/18/2022,1872.1377490206273,2775.9446714748283,1226.4583892095131,9733.559314862907,5217.180279410824,5156.31431147155
43,09/19/2022,1929.6027777373588,2893.6596666509,1299.0815389187944,10133.475847045414,5412.476183383775,5275.580219490989
44,09/20/2022,1987.06780645409,3011.374661826972,1371.7046886280762,10533.392379227922,5607.772087356723,5394.846127510426
45,09/21/2022,2044.5328351708215,3129.0896570030445,1444.3278383373577,10933.308911410431,5803.0679913296735,5514.112035529865
46,09/22/2022,2087.077899092033,3207.1726197124462,1494.3878298334623,11201.842245580749,5938.743770701246,5609.092885189893
47,09/23/2022,2129.6229630132448,3285.2555824218475,1544.4478213295677,11470.375579751064,6074.419550072819,5704.0737348499215
48,09/24/2022,2172.168026934457,3363.3385451312492,1594.5078128256723,11738.908913921381,6210.095329444391,5799.05458450995
49,09/25/2022,2214.7130908556687,3441.421507840651,1644.5678043217772,12007.442248091698,6345.771108815964,5894.035434169977
50,09/26/2022,2257.2581547768805,3519.5044705500522,1694.627795817882,12275.975582262015,6481.446888187536,5989.016283830005
51,09/27/2022,2299.803218698092,3597.587433259454,1744.6877873139872,12544.508916432333,6617.12266755911,6083.997133490033
52,09/28/2022,2342.348282619304,3675.6703959688557,1794.747778810092,12813.042250602648,6752.798446930682,6178.977983150061
53,09/29/2022,2403.1910268839924,3798.7331284897987,1912.121472880483,13201.976660686938,6969.02039510296,6331.978069934347
54,09/30/2022,2464.0337711486814,3921.795861010741,2029.4951669508737,13590.911070771228,7185.242343275238,6484.978156718634
55,10/01/2022,2524.8765154133694,4044.8585935316837,2146.8688610212644,13979.845480855516,7401.464291447516,6637.978243502918
56,10/02/2022,2585.7192596780583,4167.921326052627,2264.2425550916555,14368.779890939808,7617.686239619793,6790.978330287205
57,10/03/2022,2646.5620039427463,4290.984058573569,2381.616249162046,14757.714301024096,7833.908187792071,6943.97841707149
58,10/04/2022,2707.404748207435,4414.046791094512,2498.9899432324373,15146.648711108386,8050.1301359643485,7096.978503855776
59,10/05/2022,2768.2474924721237,4537.109523615454,2616.363637302828,15535.583121192676,8266.352084136626,7249.978590640062
60,10/06/2022,2927.8962430550496,4913.201052913848,3015.469415549053,16688.627323307588,8896.730861701055,7637.270792687528
61,10/07/2022,3087.544993637975,5289.292582212241,3414.575193795277,17841.671525422506,9527.109639265484,8024.5629947349935
62,10/08/2022,3247.193744220901,5665.384111510634,3813.6809720415013,18994.715727537423,10157.488416829912,8411.855196782459
63,10/09/2022,3406.842494803827,6041.475640809027,4212.786750287726,20147.759929652333,10787.86719439434,8799.147398829924
64,10/10/2022,3566.4912453867523,6417.567170107422,4611.89252853395,21300.804131767247,11418.24597195877,9186.439600877391
65,10/11/2022,3726.1399959696782,6793.658699405814,5010.998306780174,22453.848333882164,12048.624749523198,9573.731802924856
66,10/12/2022,3885.788746552604,7169.750228704207,5410.104085026399,23606.892535997078,12679.003527087627,9961.024004972322
67,10/13/2022,3960.0998343638535,7333.858014604586,5588.079617253775,24173.63065263437,12938.24579032717,10094.899135211917
68,10/14/2022,4034.4109221751037,7497.965800504965,5766.055149481151,24740.368769271656,13197.488053566714,10228.774265451515
69,10/15/2022,4108.722009986353,7662.073586405346,5944.0306817085275,25307.106885908954,13456.730316806255,10362.64939569111
70,10/16/2022,4183.033097797604,7826.181372305725,6122.006213935904,25873.84500254624,13715.972580045798,10496.524525930708
71,10/17/2022,4257.344185608853,7990.289158206104,6299.981746163279,26440.583119183528,13975.214843285341,10630.399656170304
72,10/18/2022,4331.655273420103,8154.396944106483,6477.957278390656,27007.321235820822,14234.457106524884,10764.274786409902
73,10/19/2022,4405.9663612313525,8318.504730006862,6655.932810618032,27574.059352458113,14493.699369764427,10898.149916649498
74,10/20/2022,4373.441093826555,8216.088975315755,6554.355326149417,27394.024259801496,14290.634422963567,10723.614076882499
75,10/21/2022,4340.915826421756,8113.673220624649,6452.777841680802,27213.98916714488,14087.569476162706,10549.078237115496
76,10/22/2022,4308.390559016958,8011.257465933542,6351.2003572121885,27033.95407448826,13884.504529361846,10374.5423973485
77,10/23/2022,4275.865291612159,7908.841711242434,6249.622872743573,26853.918981831637,13681.439582560984,10200.006557581497
78,10/24/2022,4243.340024207361,7806.425956551327,6148.045388274958,26673.88388917502,13478.374635760123,10025.4707178145
79,10/25/2022,4210.814756802564,7704.01020186022,6046.467903806342,26493.848796518403,13275.309688959265,9850.934878047497
80,10/26/2022,4178.2894893977655,7601.594447169113,5944.890419337728,26313.813703861786,13072.244742158404,9676.399038280499
81,10/27/2022,4041.2165180243433,7238.197864997837,5569.7462637304625,25402.985573963382,12416.999619626169,9200.538647211619
82,10/28/2022,3904.1435466509215,6874.801282826562,5194.602108123197,24492.15744406497,11761.754497093936,8724.67825614274
83,10/29/2022,3767.0705752774998,6511.4047006552855,4819.457952515931,23581.329314166567,11106.509374561703,8248.817865073861
84,10/30/2022,3629.997603904078,6148.008118484011,4444.313796908666,22670.501184268163,10451.26425202947,7772.957474004981
85,10/31/2022,3492.924632530656,5784.6115363127365,4069.169641301399,21759.67305436976,9796.019129497236,7297.097082936102
86,11/01/2022,3355.851661157234,5421.21495414146,3694.0254856941333,20848.844924471352,9140.774006965003,6821.236691867222
87,11/02/2022,3218.7786897838123,5057.818371970185,3318.881330086868,19938.016794572948,8485.52888443277,6345.376300798344
88,11/03/2022,3133.1539145129814,4822.3485050336685,3089.9201301413705,19383.486230648698,8079.788966566804,6055.120652958503
89,11/04/2022,3047.5291392421495,4586.878638097151,2860.958930195873,18828.955666724443,7674.04904870084,5764.865005118663
90,11/05/2022,2961.9043639713177,4351.408771160635,2631.9977302503758,18274.42510280019,7268.309130834875,5474.609357278823
91,11/06/2022,2876.279588700487,4115.93890422412,2403.0365303048784,17719.89453887594,6862.5692129689105,5184.353709438983
92,11/07/2022,2790.654813429655,3880.4690372876034,2174.0753303593806,17165.363974951684,6456.829295102945,4894.098061599143
93,11/08/2022,2705.030038158824,3644.999170351087,1945.1141304138835,16610.833411027434,6051.089377236981,4603.842413759302
94,11/09/2022,2619.405262887992,3409.5293034145707,1716.152930468386,16056.30284710318,5645.349459371017,4313.586765919462
95,11/10/2022,2584.626529000154,3334.2133656578067,1667.3155052495765,15847.415146800866,5521.068332846232,4218.937415809444
96,11/11/2022,2549.8477951123155,3258.897427901043,1618.4780800307672,15638.527446498554,5396.787206321447,4124.288065699427
97,11/12/2022,2515.069061224477,3183.5814901442786,1569.6406548119576,15429.639746196239,5272.5060797966635,4029.638715589409
98,11/13/2022,2480.2903273366387,3108.2655523875146,1520.8032295931482,15220.752045893927,5148.224953271879,3934.9893654793914
99,11/14/2022,2445.511593448801,3032.9496146307506,1471.9658043743386,15011.864345591615,5023.943826747095,3840.3400153693738
100,11/15/2022,2410.732859560962,2957.6336768739866,1423.1283791555293,14802.9766452893,4899.66270022231,3745.6906652593566
101,11/16/2022,2375.9541256731236,2882.317739117223,1374.2909539367197,14594.088944986988,4775.381573697526,3651.041315149339
102,11/17/2022,2320.135702450613,2799.3119838009557,1324.1388658956723,14227.715571957378,4620.896621941197,3531.618286286135
103,11/18/2022,2264.3172792281016,2716.3062284846883,1273.9867778546247,13861.34219892777,4466.411670184867,3412.1952574229304
