,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,86.83896361784637,47.7641764070256,0.0,1886.1862489008938,617.2246609143531,0.0
5,08/12/2022,173.67792723569275,95.5283528140512,0.0,3772.3724978017876,1234.4493218287062,0.0
6,08/13/2022,260.5168908535391,143.2925292210768,0.0,5658.558746702681,1851.6739827430595,0.0
7,08/14/2022,347.3558544713855,191.0567056281024,0.0,7544.744995603575,2468.8986436574123,0.0
8,08/15/2022,434.1948180892319,238.820882035128,0.0,9430.931244504467,3086.1233045717654,0.0
9,08/16/2022,521.0337817070782,286.5850584421536,0.0,11317.117493405362,3703.347965486119,0.0
10,08/17/2022,607.8727453249246,334.3492348491792,0.0,13203.303742306256,4320.572626400472,0.0
11,08/18/2022,732.60519962961,519.7224177697245,64.25573457512176,11317.117493405365,3703.347965486119,202.12064339777334
12,08/19/2022,857.3376539342953,705.0956006902696,128.51146915024353,9430.931244504467,3086.123304571766,404.24128679554667
13,08/20/2022,982.0701082389807,890.468783610815,192.7672037253653,7544.744995603575,2468.8986436574123,606.3619301933201
14,08/21/2022,1106.802562543666,1075.8419665313602,257.02293830048706,5658.558746702681,1851.6739827430595,808.4825735910933
15,08/22/2022,1231.5350168483512,1261.2151494519055,321.2786728756088,3772.3724978017876,1234.4493218287064,1010.6032169888666
16,08/23/2022,1356.2674711530365,1446.5883323724506,385.5344074507306,1886.1862489008938,617.2246609143531,1212.7238603866401
17,08/24/2022,1480.999925457722,1631.961515292996,449.79014202585233,0.0,0.0,1414.8445037844133
18,08/25/2022,1517.2788820473986,1699.072055273405,650.5461686859542,179.0328028977658,213.81057450141483,1717.071438313138
19,08/26/2022,1553.5578386370755,1766.182595253814,851.3021953460558,358.0656057955316,427.62114900282967,2019.2983728418635
20,08/27/2022,1589.8367952267524,1833.2931352342232,1052.0582220061574,537.0984086932974,641.4317235042445,2321.5253073705885
21,08/28/2022,1626.1157518164289,1900.4036752146324,1252.8142486662593,716.1312115910632,855.2422980056593,2623.7522418993135
22,08/29/2022,1662.3947084061058,1967.514215195041,1453.570275326361,895.164014488829,1069.0528725070742,2925.979176428038
23,08/30/2022,1698.6736649957825,2034.62475517545,1654.3263019864626,1074.1968173865948,1282.863447008489,3228.2061109567635
24,08/31/2022,1734.9526215854594,2101.735295155859,1855.0823286465643,1253.2296202843606,1496.6740215099037,3530.4330454854885
25,09/01/2022,1768.2366011937324,2162.2447175939765,1866.5773023414513,1835.0581129396066,1800.4485098648952,3682.7605419682795
26,09/02/2022,1801.520580802006,2222.754140032094,1878.0722760363385,2416.886605594853,2104.222998219886,3835.0880384510706
27,09/03/2022,1834.804560410279,2283.263562470211,1889.5672497312257,2998.7150982500993,2407.9974865748773,3987.415534933861
28,09/04/2022,1868.0885400185525,2343.7729849083275,1901.062223426113,3580.5435909053454,2711.7719749298685,4139.743031416651
29,09/05/2022,1901.3725196268256,2404.282407346445,1912.5571971209997,4162.372083560591,3015.5464632848593,4292.070527899444
30,09/06/2022,1934.656499235099,2464.791829784562,1924.052170815887,4744.200576215837,3319.320951639851,4444.398024382234
31,09/07/2022,1967.9404788433721,2525.3012522226795,1935.547144510774,5326.029068871084,3623.0954399948423,4596.725520865025
32,09/08/2022,1998.2294814702468,2579.2095571185105,1946.5646623813336,5799.48572255087,3873.7454759155203,4729.680820667985
33,09/09/2022,2028.5184840971215,2633.1178620143423,1957.582180251893,6272.942376230659,4124.395511836198,4862.6361204709465
34,09/10/2022,2058.807486723996,2687.0261669101737,1968.5996981224525,6746.3990299104435,4375.045547756876,4995.591420273908
35,09/11/2022,2089.096489350871,2740.934471806005,1979.6172159930122,7219.855683590232,4625.695583677554,5128.546720076869
36,09/12/2022,2119.3854919777455,2794.8427767018366,1990.6347338635717,7693.3123372700165,4876.345619598233,5261.502019879829
37,09/13/2022,2149.67449460462,2848.751081597668,2001.6522517341314,8166.768990949805,5126.995655518911,5394.4573196827905
38,09/14/2022,2179.963497231495,2902.6593864934994,2012.669769604691,8640.22564462959,5377.6456914395885,5527.412619485751
39,09/15/2022,2207.257522876959,2949.9665738470244,2023.2098316509296,9005.310459333892,5575.17127492597,5640.9957226088745
40,09/16/2022,2234.551548522422,2997.273761200549,2033.7498936971683,9370.395274038196,5772.69685841235,5754.578825731999
41,09/17/2022,2261.845574167886,3044.580948554074,2044.2899557434068,9735.480088742497,5970.222441898731,5868.161928855124
42,09/18/2022,2289.13959981335,3091.8881359075995,2054.8300177896454,10100.564903446797,6167.748025385114,5981.745031978248
43,09/19/2022,2316.4336254588134,3139.1953232611236,2065.370079835884,10465.649718151102,6365.273608871495,6095.328135101372
44,09/20/2022,2343.727651104277,3186.502510614649,2075.9101418821224,10830.734532855404,6562.799192357875,6208.911238224496
45,09/21/2022,2371.021676749741,3233.809697968174,2086.450203928361,11195.819347559705,6760.324775844256,6322.49434134762
46,09/22/2022,2395.320725413806,3274.5157677794277,2096.512810150264,11452.532323288548,6904.725906896328,6416.705247790943
47,09/23/2022,2419.6197740778703,3315.2218375906805,2106.575416372167,11709.245299017392,7049.127037948399,6510.9161542342645
48,09/24/2022,2443.9188227419354,3355.9279074019337,2116.6380225940707,11965.958274746232,7193.528169000471,6605.127060677586
49,09/25/2022,2468.2178714059996,3396.6339772131873,2126.7006288159737,12222.671250475076,7337.929300052542,6699.337967120909
50,09/26/2022,2492.5169200700648,3437.340047024441,2136.7632350378767,12479.384226203916,7482.330431104613,6793.54887356423
51,09/27/2022,2516.8159687341295,3478.0461168356933,2146.82584125978,12736.09720193276,7626.731562156685,6887.759780007552
52,09/28/2022,2541.115017398194,3518.752186646947,2156.888447481683,12992.810177661602,7771.132693208757,6981.970686450874
53,09/29/2022,2577.116821165285,3577.5402100074502,2175.843460052001,13353.989014835819,7983.5604338967905,7129.947009421799
54,09/30/2022,2613.1186249323755,3636.328233367953,2194.798472622319,13715.167852010034,8195.988174584825,7277.923332392723
55,10/01/2022,2649.1204286994657,3695.116256728457,2213.7534851926366,14076.34668918425,8408.415915272859,7425.899655363648
56,10/02/2022,2685.122232466557,3753.9042800889597,2232.7084977629547,14437.525526358466,8620.843655960893,7573.875978334572
57,10/03/2022,2721.124036233647,3812.692303449464,2251.6635103332724,14798.70436353268,8833.271396648928,7721.8523013054955
58,10/04/2022,2757.1258400007378,3871.4803268099668,2270.6185229035905,15159.883200706896,9045.699137336962,7869.828624276421
59,10/05/2022,2793.1276437678284,3930.26835017047,2289.573535473908,15521.062037881113,9258.126878024996,8017.804947247345
60,10/06/2022,2869.855605026572,4058.7548026195414,2333.3036710271053,16525.925668395892,9829.847383027049,8372.146992942562
61,10/07/2022,2946.583566285316,4187.241255068612,2377.033806580303,17530.789298910673,10401.567888029098,8726.489038637781
62,10/08/2022,3023.31152754406,4315.7277075176835,2420.7639421335,18535.652929425454,10973.288393031151,9080.831084332998
63,10/09/2022,3100.0394888028036,4444.214159966755,2464.4940776866974,19540.51655994024,11545.0088980332,9435.173130028215
64,10/10/2022,3176.7674500615476,4572.700612415826,2508.2242132398947,20545.380190455016,12116.729403035255,9789.515175723433
65,10/11/2022,3253.4954113202916,4701.187064864897,2551.9543487930923,21550.2438209698,12688.449908037308,10143.857221418652
66,10/12/2022,3330.223372579035,4829.673517313969,2595.6844843462895,22555.107451484582,13260.17041303936,10498.199267113869
67,10/13/2022,3357.255885482707,4879.903120297037,2602.994786370256,23055.457787374788,13516.373990707783,10620.040877742935
68,10/14/2022,3384.2883983863785,4930.132723280106,2610.305088394223,23555.808123264997,13772.577568376208,10741.882488371997
69,10/15/2022,3411.32091129005,4980.3623262631745,2617.615390418189,24056.158459155202,14028.78114604463,10863.724099001063
70,10/16/2022,3438.353424193722,5030.591929246242,2624.9256924421557,24556.50879504541,14284.984723713054,10985.565709630127
71,10/17/2022,3465.385937097393,5080.821532229311,2632.235994466122,25056.859130935616,14541.188301381479,11107.407320259192
72,10/18/2022,3492.4184500010642,5131.051135212379,2639.5462964900885,25557.209466825825,14797.391879049903,11229.24893088826
73,10/19/2022,3519.450962904736,5181.280738195448,2646.8565985140553,26057.55980271603,15053.595456718327,11351.090541517322
74,10/20/2022,3486.7847232925474,5136.6680023473355,2611.175058741546,25917.385237638224,14915.696531039146,11191.262289256889
75,10/21/2022,3454.118483680358,5092.055266499221,2575.493518969037,25777.21067256041,14777.797605359965,11031.434036996452
76,10/22/2022,3421.452244068169,5047.442530651107,2539.811979196527,25637.036107482603,14639.898679680786,10871.60578473602
77,10/23/2022,3388.7860044559793,5002.829794802993,2504.130439424018,25496.861542404793,14501.999754001605,10711.777532475588
78,10/24/2022,3356.119764843791,4958.217058954879,2468.448899651509,25356.686977326986,14364.100828322424,10551.949280215154
79,10/25/2022,3323.453525231602,4913.604323106766,2432.7673598789993,25216.512412249172,14226.201902643243,10392.121027954721
80,10/26/2022,3290.7872856194126,4868.991587258652,2397.08582010649,25076.337847171366,14088.30297696406,10232.292775694286
81,10/27/2022,3199.81019805539,4731.34606667028,2319.121236992112,24308.368828955026,13564.839344658732,9796.984631462603
82,10/28/2022,3108.8331104913677,4593.700546081908,2241.1566538777342,23540.39981073869,13041.375712353405,9361.67648723092
83,10/29/2022,3017.8560229273457,4456.055025493537,2163.192070763356,22772.430792522355,12517.91208004808,8926.368342999236
84,10/30/2022,2926.8789353633233,4318.409504905166,2085.2274876489782,22004.46177430602,11994.44844774275,8491.060198767553
85,10/31/2022,2835.901847799301,4180.7639843167935,2007.2629045346002,21236.492756089683,11470.984815437423,8055.752054535871
86,11/01/2022,2744.9247602352784,4043.118463728422,1929.2983214202225,20468.523737873347,10947.521183132098,7620.443910304188
87,11/02/2022,2653.9476726712564,3905.47294314005,1851.3337383058445,19700.554719657008,10424.057550826772,7185.135766072504
88,11/03/2022,2597.4129675720674,3804.048544833303,1786.3832166157692,19189.540283268867,10098.594519211967,6903.707503724955
89,11/04/2022,2540.878262472878,3702.6241465265553,1721.432694925694,18678.525846880726,9773.13148759716,6622.279241377407
90,11/05/2022,2484.343557373689,3601.199748219808,1656.482173235619,18167.511410492585,9447.668455982353,6340.850979029858
91,11/06/2022,2427.8088522744993,3499.7753499130604,1591.5316515455438,17656.496974104444,9122.205424367548,6059.42271668231
92,11/07/2022,2371.27414717531,3398.3509516063127,1526.5811298554686,17145.482537716303,8796.742392752742,5777.994454334761
93,11/08/2022,2314.7394420761207,3296.926553299566,1461.6306081653931,16634.468101328162,8471.279361137935,5496.566191987213
94,11/09/2022,2258.2047369769316,3195.5021549928183,1396.6800864753181,16123.453664940023,8145.81632952313,5215.137929639664
95,11/10/2022,2230.1478873578894,3147.748282070298,1365.730294734376,15917.67792784156,8021.0295396528045,5108.536129966223
96,11/11/2022,2202.0910377388473,3099.9944091477782,1334.7805029934336,15711.902190743096,7896.242749782482,5001.934330292782
97,11/12/2022,2174.034188119805,3052.2405362252575,1303.8307112524913,15506.12645364463,7771.455959912158,4895.332530619339
98,11/13/2022,2145.9773385007625,3004.4866633027377,1272.8809195115493,15300.350716546167,7646.669170041832,4788.730730945898
99,11/14/2022,2117.9204888817208,2956.732790380218,1241.931127770607,15094.574979447701,7521.882380171507,4682.128931272457
100,11/15/2022,2089.863639262678,2908.9789174576977,1210.9813360296648,14888.799242349238,7397.095590301183,4575.527131599015
101,11/16/2022,2061.806789643636,2861.2250445351774,1180.0315442887224,14683.023505250774,7272.308800430859,4468.925331925573
