,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,296.0340221918771,26.339445453428958,229.65097295251866,180.90232064626923,0.0,0.0
5,08/12/2022,592.0680443837542,52.678890906857916,459.3019459050373,361.80464129253846,0.0,0.0
6,08/13/2022,888.1020665756313,79.01833636028687,688.9529188575559,542.7069619388078,0.0,0.0
7,08/14/2022,1184.1360887675085,105.35778181371583,918.6038918100746,723.6092825850769,0.0,0.0
8,08/15/2022,1480.1701109593855,131.69722726714477,1148.2548647625933,904.5116032313464,0.0,0.0
9,08/16/2022,1776.2041331512626,158.03667272057373,1377.9058377151118,1085.4139238776156,0.0,0.0
10,08/17/2022,2072.2381553431396,184.3761181740027,1607.5568106676305,1266.3162445238847,0.0,0.0
11,08/18/2022,1810.446067850357,351.10913414423965,1450.5928584692397,1268.394309654296,209.21529923605192,79.93368402508447
12,08/19/2022,1548.6539803575747,517.8421501144767,1293.628906270849,1270.4723747847074,418.43059847210384,159.86736805016895
13,08/20/2022,1286.8618928647923,684.5751660847136,1136.6649540724582,1272.5504399151184,627.6458977081558,239.8010520752534
14,08/21/2022,1025.0698053720098,851.3081820549506,979.7010018740675,1274.62850504553,836.8611969442077,319.7347361003379
15,08/22/2022,763.2777178792273,1018.0411980251876,822.7370496756766,1276.7065701759411,1046.0764961802595,399.66842012542236
16,08/23/2022,501.4856303864448,1184.7742139954244,665.7730974772859,1278.7846353063526,1255.2917954163115,479.6021041505068
17,08/24/2022,239.69354289366237,1351.5072299656615,508.8091452788952,1280.8627004367638,1464.5070946523633,559.5357881755913
18,08/25/2022,328.07427377498135,1450.2710041253945,568.4300285930674,1706.2666951513131,1770.7139769614375,987.4926051586548
19,08/26/2022,416.45500465630033,1549.0347782851275,628.0509119072397,2131.670689865862,2076.9208592705118,1415.4494221417183
20,08/27/2022,504.83573553761926,1647.7985524448604,687.6717952214119,2557.074684580411,2383.1277415795853,1843.406239124782
21,08/28/2022,593.2164664189384,1746.5623266045932,747.2926785355842,2982.47867929496,2689.3346238886593,2271.3630561078453
22,08/29/2022,681.5971973002572,1845.3261007643262,806.9135618497563,3407.8826740095087,2995.5415061977333,2699.319873090909
23,08/30/2022,769.9779281815762,1944.089874924059,866.5344451639286,3833.286668724058,3301.7483885068077,3127.2766900739725
24,08/31/2022,858.3586590628952,2042.853649083792,926.1553284781008,4258.690663438607,3607.9552708158817,3555.2335070570357
25,09/01/2022,934.9217405283094,2130.4932922142607,978.535594815508,4627.513252826139,3773.241941425466,3659.10232220094
26,09/02/2022,1011.4848219937236,2218.1329353447295,1030.9158611529153,4996.335842213672,3938.52861203505,3762.9711373448445
27,09/03/2022,1088.0479034591376,2305.7725784751983,1083.2961274903225,5365.158431601204,4103.815282644634,3866.8399524887486
28,09/04/2022,1164.6109849245518,2393.412221605667,1135.6763938277295,5733.981020988736,4269.101953254219,3970.708767632653
29,09/05/2022,1241.174066389966,2481.051864736136,1188.056660165137,6102.803610376268,4434.388623863802,4074.577582776557
30,09/06/2022,1317.73714785538,2568.691507866605,1240.436926502544,6471.626199763802,4599.675294473385,4178.446397920462
31,09/07/2022,1394.3002293207942,2656.331150997074,1292.8171928399513,6840.4487891513345,4764.96196508297,4282.315213064366
32,09/08/2022,1459.0456613703066,2732.8466630982807,1337.9568422005955,7152.689973211852,4908.809783760021,4374.782159965884
33,09/09/2022,1523.7910934198192,2809.362175199488,1383.0964915612396,7464.931157272371,5052.65760243707,4467.249106867401
34,09/10/2022,1588.5365254693318,2885.877687300694,1428.2361409218836,7777.17234133289,5196.5054211141205,4559.716053768919
35,09/11/2022,1653.2819575188441,2962.3931994019013,1473.3757902825278,8089.413525393408,5340.35323979117,4652.183000670436
36,09/12/2022,1718.0273895683567,3038.908711503109,1518.515439643172,8401.654709453926,5484.201058468221,4744.649947571954
37,09/13/2022,1782.7728216178693,3115.4242236043156,1563.655089003816,8713.895893514446,5628.048877145272,4837.116894473472
38,09/14/2022,1847.5182536673817,3191.9397357055223,1608.7947383644605,9026.137077574964,5771.896695822322,4929.583841374989
39,09/15/2022,1900.4460363009796,3257.3311167774636,1646.6937707483428,9281.796856308492,5894.305662566838,5010.648920034108
40,09/16/2022,1953.373818934577,3322.722497849405,1684.5928031322248,9537.456635042021,6016.714629311353,5091.713998693228
41,09/17/2022,2006.3016015681749,3388.113878921347,1722.4918355161067,9793.116413775548,6139.123596055869,5172.779077352347
42,09/18/2022,2059.2293842017725,3453.5052599932883,1760.3908678999887,10048.776192509076,6261.532562800385,5253.844156011466
43,09/19/2022,2112.1571668353704,3518.89664106523,1798.289900283871,10304.435971242605,6383.941529544901,5334.909234670587
44,09/20/2022,2165.084949468968,3584.2880221371715,1836.188932667753,10560.095749976132,6506.350496289416,5415.974313329706
45,09/21/2022,2218.0127321025657,3649.679403209113,1874.087965051635,10815.75552870966,6628.759463033931,5497.039391988825
46,09/22/2022,2259.1228653202666,3703.946653251801,1904.7463804587492,11014.83390211615,6729.729577845931,5566.702602405582
47,09/23/2022,2300.232998537968,3758.213903294488,1935.4047958658637,11213.91227552264,6830.699692657932,5636.36581282234
48,09/24/2022,2341.3431317556688,3812.481153337176,1966.0632112729782,11412.990648929128,6931.669807469932,5706.029023239098
49,09/25/2022,2382.4532649733706,3866.7484033798637,1996.7216266800926,11612.06902233562,7032.639922281933,5775.692233655856
50,09/26/2022,2423.5633981910714,3921.0156534225516,2027.3800420872067,11811.147395742108,7133.610037093932,5845.355444072613
51,09/27/2022,2464.6735314087723,3975.2829034652386,2058.0384574943214,12010.225769148597,7234.580151905933,5915.018654489371
52,09/28/2022,2505.7836646264736,4029.5501535079266,2088.6968729014357,12209.304142555085,7335.5502667179335,5984.681864906129
53,09/29/2022,2572.3481512127514,4117.344399844405,2135.328320527952,12501.665931234113,7486.632756690896,6098.977175656007
54,09/30/2022,2638.912637799029,4205.138646180884,2181.9597681544687,12794.027719913138,7637.7152466638545,6213.2724864058855
55,10/01/2022,2705.4771243853065,4292.932892517363,2228.5912157809857,13086.389508592163,7788.797736636818,6327.5677971557625
56,10/02/2022,2772.0416109715843,4380.727138853843,2275.2226634075023,13378.751297271188,7939.880226609777,6441.863107905641
57,10/03/2022,2838.606097557862,4468.521385190322,2321.854111034019,13671.113085950214,8090.9627165827405,6556.15841865552
58,10/04/2022,2905.17058414414,4556.315631526801,2368.485558660535,13963.474874629237,8242.0452065557,6670.453729405397
59,10/05/2022,2971.7350707304176,4644.1098778632795,2415.117006287052,14255.836663308264,8393.127696528662,6784.749040155276
60,10/06/2022,3145.080510317336,4857.309076151997,2528.1542370298275,14985.068284705378,8748.163004954275,7054.296199080107
61,10/07/2022,3318.425949904254,5070.508274440714,2641.191467772603,15714.299906102493,9103.19831337989,7323.843358004938
62,10/08/2022,3491.771389491172,5283.707472729431,2754.2286985153783,16443.531527499606,9458.2336218055,7593.39051692977
63,10/09/2022,3665.1168290780906,5496.906671018148,2867.2659292581543,17172.763148896724,9813.268930231116,7862.9376758546005
64,10/10/2022,3838.4622686650087,5710.105869306864,2980.30316000093,17901.994770293837,10168.304238656727,8132.484834779431
65,10/11/2022,4011.807708251927,5923.305067595582,3093.3403907437055,18631.226391690954,10523.339547082343,8402.031993704262
66,10/12/2022,4185.153147838845,6136.5042658842995,3206.3776214864806,19360.458013088068,10878.374855507955,8671.579152629094
67,10/13/2022,4246.450989724986,6205.434184432024,3249.233779091751,19669.16341642332,11014.18310104011,8751.612471425005
68,10/14/2022,4307.748831611128,6274.364102979749,3292.089936697021,19977.868819758565,11149.991346572262,8831.645790220917
69,10/15/2022,4369.04667349727,6343.294021527474,3334.9460943022905,20286.574223093816,11285.799592104417,8911.679109016826
70,10/16/2022,4430.34451538341,6412.2239400752,3377.8022519075603,20595.279626429066,11421.60783763657,8991.71242781274
71,10/17/2022,4491.642357269551,6481.153858622925,3420.6584095128305,20903.985029764313,11557.416083168724,9071.745746608649
72,10/18/2022,4552.940199155692,6550.083777170649,3463.514567118101,21212.690433099568,11693.224328700877,9151.779065404562
73,10/19/2022,4614.238041041834,6619.013695718374,3506.3707247233706,21521.395836434815,11829.032574233031,9231.812384200472
74,10/20/2022,4538.69555892879,6513.560346737526,3463.5881904498447,21311.120993563418,11697.84927238329,9084.192826726563
75,10/21/2022,4463.153076815746,6408.1069977566785,3420.805656176319,21100.84615069202,11566.665970533546,8936.573269252654
76,10/22/2022,4387.610594702703,6302.653648775829,3378.023121902793,20890.571307820624,11435.482668683802,8788.953711778746
77,10/23/2022,4312.068112589659,6197.200299794982,3335.2405876292673,20680.296464949228,11304.299366834057,8641.33415430484
78,10/24/2022,4236.525630476614,6091.746950814134,3292.458053355741,20470.02162207783,11173.116064984313,8493.71459683093
79,10/25/2022,4160.983148363571,5986.293601833286,3249.675519082215,20259.746779206434,11041.932763134571,8346.095039357024
80,10/26/2022,4085.440666250527,5880.840252852438,3206.892984808689,20049.471936335038,10910.749461284828,8198.475481883115
81,10/27/2022,3875.8189419340697,5604.826240443456,3080.4227376500035,19330.920461206144,10518.858368786592,7828.492595307742
82,10/28/2022,3666.197217617611,5328.812228034474,2953.9524904913173,18612.368986077254,10126.967276288357,7458.509708732369
83,10/29/2022,3456.575493301153,5052.798215625493,2827.4822433326326,17893.817510948356,9735.076183790121,7088.526822156998
84,10/30/2022,3246.9537689846957,4776.784203216512,2701.011996173947,17175.266035819466,9343.185091291885,6718.543935581624
85,10/31/2022,3037.332044668238,4500.77019080753,2574.5417490152613,16456.714560690576,8951.29399879365,6348.561049006252
86,11/01/2022,2827.7103203517795,4224.7561783985475,2448.0715018565757,15738.16308556168,8559.402906295414,5978.578162430879
87,11/02/2022,2618.0885960353216,3948.742165989566,2321.60125469789,15019.611610432788,8167.511813797179,5608.595275855507
88,11/03/2022,2473.5441809163817,3769.4529541161874,2244.0524489687605,14538.976188785226,7935.64491590012,5378.974263923536
89,11/04/2022,2328.9997657974413,3590.16374224281,2166.5036432396314,14058.34076713766,7703.778018003063,5149.353251991563
90,11/05/2022,2184.455350678502,3410.8745303694313,2088.954837510502,13577.705345490094,7471.911120106004,4919.732240059592
91,11/06/2022,2039.9109355595615,3231.5853184960533,2011.406031781373,13097.069923842533,7240.044222208948,4690.111228127621
92,11/07/2022,1895.3665204406213,3052.296106622675,1933.8572260522435,12616.434502194968,7008.177324311889,4460.490216195649
93,11/08/2022,1750.8221053216816,2873.006894749297,1856.3084203231144,12135.799080547404,6776.310426414831,4230.869204263678
94,11/09/2022,1606.2776902027415,2693.717682875919,1778.7596145939851,11655.163658899839,6544.443528517773,4001.2481923317055
95,11/10/2022,1559.3050842133612,2630.561110901396,1748.4949700021787,11460.030733675834,6447.992481266133,3917.2247584446673
96,11/11/2022,1512.3324782239808,2567.404538926874,1718.2303254103722,11264.897808451831,6351.541434014493,3833.2013245576286
97,11/12/2022,1465.3598722346007,2504.2479669523514,1687.965680818566,11069.764883227826,6255.090386762852,3749.17789067059
98,11/13/2022,1418.3872662452206,2441.0913949778283,1657.7010362267595,10874.631958003823,6158.639339511211,3665.1544567835517
99,11/14/2022,1371.41466025584,2377.9348230033056,1627.4363916349532,10679.49903277982,6062.18829225957,3581.131022896513
100,11/15/2022,1324.4420542664598,2314.778251028783,1597.1717470431468,10484.366107555818,5965.737245007928,3497.107589009475
101,11/16/2022,1277.4694482770794,2251.6216790542603,1566.9071024513405,10289.233182331813,5869.286197756288,3413.084155122436
