,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,0.0,1143.2198819361695,0.0,2031.5685657369443,699.347289166691,0.0
5,08/12/2022,0.0,2286.439763872339,0.0,4063.1371314738885,1398.694578333382,0.0
6,08/13/2022,0.0,3429.6596458085082,0.0,6094.705697210832,2098.0418675000733,0.0
7,08/14/2022,0.0,4572.879527744678,0.0,8126.274262947777,2797.389156666764,0.0
8,08/15/2022,0.0,5716.099409680847,0.0,10157.842828684721,3496.7364458334555,0.0
9,08/16/2022,0.0,6859.3192916170165,0.0,12189.411394421664,4196.083735000147,0.0
10,08/17/2022,0.0,8002.539173553186,0.0,14220.97996015861,4895.431024166837,0.0
11,08/18/2022,361.2176602344176,6859.319291617016,0.0,12189.411394421664,4196.083735000147,0.0
12,08/19/2022,722.4353204688352,5716.099409680847,0.0,10157.84282868472,3496.736445833456,0.0
13,08/20/2022,1083.652980703253,4572.879527744678,0.0,8126.274262947777,2797.389156666764,0.0
14,08/21/2022,1444.8706409376705,3429.6596458085082,0.0,6094.705697210832,2098.0418675000733,0.0
15,08/22/2022,1806.0883011720882,2286.439763872339,0.0,4063.1371314738885,1398.6945783333822,0.0
16,08/23/2022,2167.305961406506,1143.2198819361695,0.0,2031.5685657369443,699.347289166691,0.0
17,08/24/2022,2528.5236216409235,0.0,0.0,0.0,0.0,0.0
18,08/25/2022,2611.5908680930597,0.0,122.72974726096763,348.95539112413655,250.58723486530977,586.0059311067763
19,08/26/2022,2694.658114545196,0.0,245.45949452193526,697.9107822482731,501.17446973061953,1172.0118622135526
20,08/27/2022,2777.7253609973327,0.0,368.1892417829029,1046.8661733724098,751.7617045959294,1758.0177933203288
21,08/28/2022,2860.792607449469,0.0,490.9189890438705,1395.8215644965462,1002.3489394612391,2344.023724427105
22,08/29/2022,2943.859853901605,0.0,613.648736304838,1744.7769556206829,1252.9361743265488,2930.029655533882
23,08/30/2022,3026.927100353741,0.0,736.3784835658058,2093.7323467448196,1503.5234091918587,3516.0355866406576
24,08/31/2022,3109.9943468058777,0.0,859.1082308267734,2442.687737868956,1754.1106440571684,4102.041517747434
25,09/01/2022,3154.807947724672,233.18990306445355,1092.0522869912054,3348.7933707299135,2152.462264441122,4844.369315618536
26,09/02/2022,3199.6215486434667,466.3798061289071,1324.9963431556373,4254.899003590871,2550.8138848250755,5586.697113489638
27,09/03/2022,3244.4351495622614,699.5697091933606,1557.94039932007,5161.004636451828,2949.1655052090287,6329.02491136074
28,09/04/2022,3289.248750481056,932.7596122578142,1790.8844554845018,6067.110269312788,3347.5171255929827,7071.352709231841
29,09/05/2022,3334.0623513998507,1165.9495153222676,2023.8285116489337,6973.215902173744,3745.868745976936,7813.680507102943
30,09/06/2022,3378.8759523186454,1399.1394183867212,2256.7725678133656,7879.321535034702,4144.22036636089,8556.008304974046
31,09/07/2022,3423.6895532374397,1632.3293214511748,2489.716623977798,8785.42716789566,4542.571986744843,9298.336102845147
32,09/08/2022,3465.0713033248867,1865.5338637968255,2537.834007923959,9524.90705657235,4870.456596673635,9433.29617764219
33,09/09/2022,3506.4530534123337,2098.7384061424755,2585.951391870119,10264.386945249043,5198.3412066024275,9568.256252439234
34,09/10/2022,3547.8348034997807,2331.942948488126,2634.0687758162794,11003.866833925737,5526.22581653122,9703.216327236278
35,09/11/2022,3589.2165535872277,2565.147490833777,2682.18615976244,11743.346722602426,5854.110426460011,9838.17640203332
36,09/12/2022,3630.598303674675,2798.3520331794275,2730.3035437086005,12482.826611279117,6181.995036388805,9973.136476830363
37,09/13/2022,3671.9800537621227,3031.5565755250777,2778.4209276547613,13222.30649995581,6509.879646317597,10108.096551627408
38,09/14/2022,3713.3618038495692,3264.7611178707284,2826.5383116009216,13961.786388632501,6837.764256246388,10243.05662642445
39,09/15/2022,3751.3117031056927,3438.127338072532,2869.118236437208,14534.64053312496,7095.181855719996,10365.211510313413
40,09/16/2022,3789.261602361815,3611.493558274336,2911.698161273495,15107.494677617418,7352.599455193604,10487.366394202374
41,09/17/2022,3827.211501617938,3784.8597784761396,2954.2780861097804,15680.348822109876,7610.017054667212,10609.521278091339
42,09/18/2022,3865.161400874061,3958.2259986779436,2996.8580109460668,16253.202966602334,7867.434654140822,10731.6761619803
43,09/19/2022,3903.111300130184,4131.592218879747,3039.437935782353,16826.057111094793,8124.85225361443,10853.831045869261
44,09/20/2022,3941.0611993863067,4304.958439081552,3082.01786061864,17398.911255587253,8382.269853088037,10975.985929758224
45,09/21/2022,3979.01109864243,4478.324659283355,3124.597785454926,17971.76540007971,8639.687452561646,11098.140813647187
46,09/22/2022,4013.5291470671777,4591.85255734131,3161.6402511813367,18377.99380038792,8826.638041580089,11207.490506628123
47,09/23/2022,4048.0471954919267,4705.380455399265,3198.682716907748,18784.22220069613,9013.588630598533,11316.840199609062
48,09/24/2022,4082.5652439166747,4818.908353457219,3235.7251826341594,19190.450601004348,9200.539219616976,11426.189892589999
49,09/25/2022,4117.083292341423,4932.436251515174,3272.7676483605705,19596.679001312557,9387.489808635419,11535.539585570936
50,09/26/2022,4151.601340766172,5045.964149573128,3309.8101140869812,20002.907401620767,9574.44039765386,11644.889278551871
51,09/27/2022,4186.11938919092,5159.4920476310845,3346.8525798133924,20409.135801928984,9761.390986672302,11754.23897153281
52,09/28/2022,4220.637437615668,5273.019945689039,3383.895045539804,20815.364202237193,9948.341575690747,11863.588664513745
53,09/29/2022,4270.436656798715,5443.756905836691,3440.43190989767,21453.211744810564,10222.567623498331,12052.248730426201
54,09/30/2022,4320.235875981761,5614.493865984342,3496.9687742555357,22091.05928738393,10496.793671305917,12240.908796338656
55,10/01/2022,4370.035095164808,5785.230826131994,3553.505638613401,22728.9068299573,10771.019719113501,12429.568862251108
56,10/02/2022,4419.834314347854,5955.967786279646,3610.042502971267,23366.754372530668,11045.245766921087,12618.228928163566
57,10/03/2022,4469.6335335309,6126.704746427297,3666.5793673291323,24004.601915104035,11319.47181472867,12806.88899407602
58,10/04/2022,4519.432752713948,6297.441706574949,3723.116231686998,24642.449457677405,11593.697862536257,12995.549059988474
59,10/05/2022,4569.231971896994,6468.1786667226015,3779.6530960448636,25280.297000250775,11867.923910343841,13184.209125900928
60,10/06/2022,4670.566997185106,6993.101511110754,3905.9133974995384,27092.562757539323,12611.03670544377,13623.164297113415
61,10/07/2022,4771.9020224732185,7518.024355498906,4032.1736989542133,28904.828514827874,13354.149500543701,14062.119468325904
62,10/08/2022,4873.23704776133,8042.947199887059,4158.434000408888,30717.09427211642,14097.262295643626,14501.07463953839
63,10/09/2022,4974.572073049443,8567.87004427521,4284.694301863562,32529.360029404972,14840.375090743555,14940.029810750879
64,10/10/2022,5075.907098337555,9092.792888663362,4410.954603318238,34341.62578669352,15583.487885843482,15378.984981963365
65,10/11/2022,5177.242123625668,9617.715733051517,4537.214904772912,36153.89154398207,16326.600680943407,15817.940153175854
66,10/12/2022,5278.57714891378,10142.638577439668,4663.475206227587,37966.157301270614,17069.713476043336,16256.89532438834
67,10/13/2022,5315.3783512470645,10390.907063302015,4706.543905739169,38714.774727259144,17406.30689070267,16364.650105336166
68,10/14/2022,5352.1795535803485,10639.175549164358,4749.61260525075,39463.39215324768,17742.900305362007,16472.40488628399
69,10/15/2022,5388.980755913633,10887.444035026705,4792.681304762331,40212.00957923622,18079.493720021343,16580.159667231816
70,10/16/2022,5425.781958246918,11135.71252088905,4835.750004273912,40960.627005224764,18416.087134680678,16687.914448179643
71,10/17/2022,5462.583160580203,11383.981006751394,4878.818703785494,41709.244431213294,18752.680549340013,16795.66922912747
72,10/18/2022,5499.384362913488,11632.24949261374,4921.887403297076,42457.86185720183,19089.27396399935,16903.424010075294
73,10/19/2022,5536.185565246773,11880.517978476086,4964.956102808657,43206.47928319037,19425.867378658684,17011.17879102312
74,10/20/2022,5495.664931662074,11777.366998812251,4907.855899466745,42632.03451338596,19253.797089434705,16724.22732849872
75,10/21/2022,5455.1442980773745,11674.216019148414,4850.755696124832,42057.58974358155,19081.726800210727,16437.275865974316
76,10/22/2022,5414.623664492676,11571.065039484578,4793.655492782918,41483.14497377713,18909.656510986748,16150.324403449915
77,10/23/2022,5374.103030907977,11467.914059820745,4736.555289441006,40908.70020397273,18737.58622176277,15863.37294092551
78,10/24/2022,5333.582397323277,11364.763080156908,4679.455086099093,40334.25543416832,18565.51593253879,15576.421478401107
79,10/25/2022,5293.0617637385785,11261.612100493076,4622.354882757179,39759.81066436391,18393.44564331481,15289.470015876705
80,10/26/2022,5252.541130153879,11158.461120829239,4565.254679415267,39185.3658945595,18221.375354090833,15002.518553352302
81,10/27/2022,5136.5329760344885,10711.181457298404,4410.048243846235,37314.523873159495,17551.899535661483,14330.290682146702
82,10/28/2022,5020.524821915097,10263.901793767573,4254.841808277201,35443.68185175948,16882.423717232134,13658.062810941105
83,10/29/2022,4904.516667795707,9816.62213023674,4099.63537270817,33572.839830359466,16212.947898802784,12985.834939735505
84,10/30/2022,4788.5085136763155,9369.342466705906,3944.428937139138,31701.997808959455,15543.472080373436,12313.607068529907
85,10/31/2022,4672.500359556924,8922.062803175073,3789.222501570105,29831.15578755944,14873.996261944085,11641.379197324313
86,11/01/2022,4556.492205437534,8474.78313964424,3634.016066001073,27960.313766159434,14204.520443514733,10969.151326118714
87,11/02/2022,4440.4840513181425,8027.5034761134075,3478.8096304320406,26089.471744759423,13535.044625085386,10296.923454913114
88,11/03/2022,4369.80648991339,7741.438146900408,3370.609931089357,24822.210677626896,13131.162709695267,9883.023245754563
89,11/04/2022,4299.128928508637,7455.372817687411,3262.410231746673,23554.949610494365,12727.280794305148,9469.12303659601
90,11/05/2022,4228.451367103885,7169.307488474412,3154.2105324039885,22287.688543361837,12323.398878915033,9055.222827437457
91,11/06/2022,4157.773805699131,6883.242159261414,3046.0108330613048,21020.42747622931,11919.516963524911,8641.322618278906
92,11/07/2022,4087.0962442943787,6597.176830048416,2937.8111337186206,19753.16640909678,11515.635048134794,8227.422409120354
93,11/08/2022,4016.418682889626,6311.111500835417,2829.6114343759364,18485.905341964248,11111.753132744678,7813.522199961802
94,11/09/2022,3945.741121484873,6025.046171622419,2721.4117350332526,17218.64427483172,10707.87121735456,7399.62199080325
95,11/10/2022,3907.1500636756587,5923.73574487982,2673.3774717063616,16797.962767616744,10553.390347505961,7244.177210670007
96,11/11/2022,3868.5590058664447,5822.425318137223,2625.343208379471,16377.281260401764,10398.909477657366,7088.732430536766
97,11/12/2022,3829.9679480572304,5721.114891394625,2577.30894505258,15956.599753186787,10244.428607808766,6933.287650403524
98,11/13/2022,3791.3768902480165,5619.804464652027,2529.274681725689,15535.91824597181,10089.947737960172,6777.842870270283
99,11/14/2022,3752.7858324388026,5518.494037909429,2481.2404183987983,15115.236738756834,9935.466868111573,6622.398090137041
100,11/15/2022,3714.194774629588,5417.183611166831,2433.2061550719077,14694.555231541852,9780.985998262977,6466.9533100038
101,11/16/2022,3675.6037168203743,5315.873184424233,2385.1718917450166,14273.873724326877,9626.50512841438,6311.508529870557
102,11/17/2022,3609.1158533289886,5175.041087160926,2335.057832997958,13908.629660047083,9365.354800961573,6118.815491865489
103,11/18/2022,3542.6279898376024,5034.208989897618,2284.9437742509,13543.385595767293,9104.204473508766,5926.122453860419
104,11/19/2022,3476.140126346217,4893.376892634311,2234.8297155038413,13178.1415314875,8843.05414605596,5733.429415855349
105,11/20/2022,3409.652262854831,4752.544795371003,2184.7156567567827,12812.897467207707,8581.903818603152,5540.73637785028
