,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,0.0,232.46152448296277,0.0,0.0,515.4042443538009,0.0
5,08/12/2022,0.0,464.92304896592555,0.0,0.0,1030.8084887076018,0.0
6,08/13/2022,0.0,697.3845734488883,0.0,0.0,1546.2127330614026,0.0
7,08/14/2022,0.0,929.8460979318511,0.0,0.0,2061.6169774152036,0.0
8,08/15/2022,0.0,1162.3076224148137,0.0,0.0,2577.0212217690046,0.0
9,08/16/2022,0.0,1394.7691468977766,0.0,0.0,3092.425466122805,0.0
10,08/17/2022,0.0,1627.2306713807393,0.0,0.0,3607.829710476606,0.0
11,08/18/2022,217.5776782098661,1471.5159781430586,0.0,33.571664908331876,3092.425466122805,0.0
12,08/19/2022,435.1553564197322,1315.8012849053778,0.0,67.14332981666375,2577.0212217690046,0.0
13,08/20/2022,652.7330346295984,1160.086591667697,0.0,100.71499472499565,2061.6169774152036,0.0
14,08/21/2022,870.3107128394644,1004.3718984300162,0.0,134.2866596333275,1546.2127330614026,0.0
15,08/22/2022,1087.8883910493305,848.6572051923355,0.0,167.85832454165939,1030.8084887076018,0.0
16,08/23/2022,1305.4660692591967,692.9425119546546,0.0,201.4299894499913,515.4042443538009,0.0
17,08/24/2022,1523.0437474690627,537.2278187169737,0.0,235.00165435832315,0.0,0.0
18,08/25/2022,1648.5196201269803,655.2994184260677,65.42778109939186,1009.9263945041573,116.40776429976665,328.7456150290963
19,08/26/2022,1773.9954927848976,773.3710181351618,130.85556219878373,1784.8511346499913,232.8155285995333,657.4912300581926
20,08/27/2022,1899.4713654428149,891.4426178442559,196.2833432981756,2559.7758747958255,349.22329289929996,986.2368450872889
21,08/28/2022,2024.9472381007324,1009.5142175533499,261.71112439756746,3334.7006149416598,465.6310571990666,1314.9824601163853
22,08/29/2022,2150.4231107586497,1127.585817262444,327.13890549695935,4109.6253550874935,582.0388214988333,1643.7280751454816
23,08/30/2022,2275.898983416567,1245.657416971538,392.5666865963512,4884.550095233329,698.4465857985999,1972.4736901745778
24,08/31/2022,2401.3748560744843,1363.729016680632,457.994467695743,5659.474835379162,814.8543500983666,2301.219305203674
25,09/01/2022,2414.7390305545728,1466.5088132227932,598.4420469592151,5980.069890895885,1094.2999672980666,2462.592624222469
26,09/02/2022,2428.10320503466,1569.2886097649537,738.8896262226871,6300.664946412608,1373.7455844977667,2623.965943241264
27,09/03/2022,2441.4673795147487,1672.0684063071149,879.3372054861591,6621.2600019293295,1653.1912016974668,2785.339262260059
28,09/04/2022,2454.8315539948358,1774.8482028492756,1019.7847847496311,6941.855057446051,1932.6368188971667,2946.7125812788545
29,09/05/2022,2468.1957284749246,1877.6279993914368,1160.232364013103,7262.450112962774,2212.082436096867,3108.0859002976495
30,09/06/2022,2481.5599029550117,1980.4077959335978,1300.679943276575,7583.045168479497,2491.528053296567,3269.459219316444
31,09/07/2022,2494.9240774351,2083.1875924757583,1441.127522540047,7903.640223996219,2770.973670496267,3430.8325383352394
32,09/08/2022,2507.782933364909,2170.6755858509878,1481.5076249300796,8179.89882116675,2999.2943253145017,3564.850488347792
33,09/09/2022,2520.6417892947175,2258.163579226217,1521.8877273201117,8456.15741833728,3227.614980132737,3698.868438360346
34,09/10/2022,2533.500645224526,2345.6515726014463,1562.267829710144,8732.41601550781,3455.935634950972,3832.8863883728986
35,09/11/2022,2546.3595011543352,2433.139565976675,1602.6479321001764,9008.67461267834,3684.2562897692073,3966.9043383854514
36,09/12/2022,2559.218357084144,2520.6275593519044,1643.0280344902087,9284.93320984887,3912.5769445874425,4100.922288398005
37,09/13/2022,2572.0772130139526,2608.1155527271335,1683.4081368802406,9561.191807019399,4140.897599405677,4234.940238410557
38,09/14/2022,2584.9360689437613,2695.6035461023625,1723.7882392702732,9837.45040418993,4369.2182542239125,4368.95818842311
39,09/15/2022,2597.289606323288,2767.7997363106524,1758.384435351252,10069.372543014295,4546.413946660685,4480.3051845900945
40,09/16/2022,2609.6431437028155,2839.9959265189427,1792.980631432231,10301.29468183866,4723.609639097457,4591.65218075708
41,09/17/2022,2621.9966810823425,2912.192116727233,1827.5768275132098,10533.216820663029,4900.80533153423,4702.999176924064
42,09/18/2022,2634.3502184618696,2984.388306935524,1862.1730235941886,10765.138959487393,5078.001023971002,4814.3461730910485
43,09/19/2022,2646.7037558413963,3056.5844971438137,1896.7692196751673,10997.061098311757,5255.196716407774,4925.693169258033
44,09/20/2022,2659.057293220924,3128.780687352104,1931.3654157561464,11228.983237136124,5432.392408844547,5037.040165425017
45,09/21/2022,2671.4108306004505,3200.9768775603943,1965.961611837125,11460.90537596049,5609.588101281319,5148.387161592002
46,09/22/2022,2683.2590494297115,3257.881264601767,1994.7739016090532,11648.491056438683,5735.6588313366365,5237.063203913394
47,09/23/2022,2695.107268258973,3314.7856516431384,2023.5861913809817,11836.076736916873,5861.729561391956,5325.739246234787
48,09/24/2022,2706.9554870882343,3371.6900386845105,2052.3984811529103,12023.662417395066,5987.800291447274,5414.415288556181
49,09/25/2022,2718.8037059174953,3428.5944257258825,2081.2107709248385,12211.248097873255,6113.871021502591,5503.0913308775735
50,09/26/2022,2730.6519247467563,3485.4988127672545,2110.023060696767,12398.833778351447,6239.941751557909,5591.767373198966
51,09/27/2022,2742.5001435760178,3542.4031998086266,2138.835350468695,12586.419458829638,6366.012481613228,5680.443415520361
52,09/28/2022,2754.3483624052787,3599.3075868499986,2167.647640240624,12774.00513930783,6492.083211668545,5769.119457841753
53,09/29/2022,2772.6102910691125,3687.0359395331393,2210.347617845221,13055.308441438308,6689.927873565042,5914.497257825906
54,09/30/2022,2790.8722197329457,3774.764292216281,2253.047595449819,13336.611743568787,6887.7725354615395,6059.87505781006
55,10/01/2022,2809.13414839678,3862.492644899422,2295.7475730544165,13617.915045699263,7085.617197358037,6205.252857794214
56,10/02/2022,2827.3960770606136,3950.2209975825626,2338.447550659014,13899.218347829743,7283.461859254535,6350.630657778367
57,10/03/2022,2845.658005724447,4037.9493502657033,2381.1475282636115,14180.521649960221,7481.306521151032,6496.008457762522
58,10/04/2022,2863.9199343882806,4125.677702948845,2423.847505868209,14461.824952090697,7679.151183047529,6641.386257746674
59,10/05/2022,2882.1818630521147,4213.4060556319855,2466.5474834728066,14743.128254221176,7876.995844944027,6786.764057730828
60,10/06/2022,2918.865325076668,4433.80792392308,2565.2287557139794,15420.412353188423,8437.021958906029,7157.467255195498
61,10/07/2022,2955.5487871012206,4654.209792214174,2663.910027955152,16097.696452155671,8997.048072868032,7528.170452660166
62,10/08/2022,2992.2322491257737,4874.611660505268,2762.5913001963245,16774.98055112292,9557.074186830036,7898.873650124836
63,10/09/2022,3028.915711150327,5095.013528796363,2861.2725724374977,17452.26465009017,10117.100300792037,8269.576847589506
64,10/10/2022,3065.59917317488,5315.415397087458,2959.9538446786705,18129.54874905742,10677.126414754039,8640.280045054174
65,10/11/2022,3102.282635199433,5535.817265378551,3058.635116919843,18806.832848024667,11237.152528716044,9010.983242518842
66,10/12/2022,3138.9660972239863,5756.219133669646,3157.3163891610156,19484.116946991915,11797.178642678044,9381.686439983512
67,10/13/2022,3149.261431337705,5840.204899094006,3195.3605351620613,19748.24870041533,12027.981990221087,9505.519810642527
68,10/14/2022,3159.5567654514234,5924.1906645183635,3233.4046811631065,20012.38045383874,12258.78533776413,9629.35318130154
69,10/15/2022,3169.852099565142,6008.176429942724,3271.448827164153,20276.512207262153,12489.588685307173,9753.186551960554
70,10/16/2022,3180.14743367886,6092.162195367083,3309.4929731651982,20540.643960685564,12720.392032850215,9877.01992261957
71,10/17/2022,3190.4427677925787,6176.1479607914425,3347.5371191662443,20804.77571410898,12951.19538039326,10000.853293278584
72,10/18/2022,3200.738101906297,6260.133726215802,3385.58126516729,21068.907467532386,13181.998727936303,10124.686663937597
73,10/19/2022,3211.033436020016,6344.119491640161,3423.6254111683356,21333.0392209558,13412.802075479347,10248.520034596611
74,10/20/2022,3190.1084330881818,6261.104894674821,3387.8855226465394,21092.264114924652,13234.286920223074,10072.346553810248
75,10/21/2022,3169.183430156348,6178.090297709482,3352.1456341247435,20851.4890088935,13055.771764966801,9896.173073023887
76,10/22/2022,3148.2584272245144,6095.075700744142,3316.4057456029477,20610.713902862353,12877.256609710528,9719.999592237524
77,10/23/2022,3127.3334242926803,6012.061103778803,3280.665857081152,20369.9387968312,12698.741454454255,9543.82611145116
78,10/24/2022,3106.4084213608467,5929.046506813463,3244.9259685593556,20129.16369080005,12520.22629919798,9367.6526306648
79,10/25/2022,3085.4834184290125,5846.031909848124,3209.1860800375593,19888.388584768898,12341.711143941708,9191.479149878436
80,10/26/2022,3064.558415497179,5763.017312882784,3173.4461915157635,19647.61347873775,12163.195988685435,9015.305669092073
81,10/27/2022,3013.825774381087,5516.336286055024,3065.6814587485796,18913.61739359408,11584.255569772258,8545.94893288603
82,10/28/2022,2963.093133264995,5269.655259227264,2957.9167259813953,18179.6213084504,11005.315150859082,8076.592196679986
83,10/29/2022,2912.360492148902,5022.974232399505,2850.151993214211,17445.625223306724,10426.374731945903,7607.235460473943
84,10/30/2022,2861.6278510328098,4776.293205571745,2742.3872604470275,16711.62913816305,9847.434313032727,7137.8787242679
85,10/31/2022,2810.8952099167177,4529.612178743985,2634.622527679843,15977.633053019377,9268.493894119549,6668.521988061855
86,11/01/2022,2760.162568800625,4282.931151916226,2526.8577949126598,15243.636967875702,8689.55347520637,6199.165251855812
87,11/02/2022,2709.429927684533,4036.2501250884657,2419.0930621454754,14509.640882732027,8110.613056293194,5729.808515649769
88,11/03/2022,2707.5216697571304,3864.3106165099302,2356.3066079591695,14069.702014959239,7747.772164989541,5439.806228835872
89,11/04/2022,2705.6134118297277,3692.3711079313944,2293.5201537728635,13629.763147186453,7384.931273685889,5149.8039420219775
90,11/05/2022,2703.7051539023246,3520.4315993528585,2230.7336995865576,13189.824279413664,7022.090382382236,4859.801655208081
91,11/06/2022,2701.7968959749223,3348.4920907743235,2167.947245400251,12749.885411640878,6659.249491078584,4569.799368394185
92,11/07/2022,2699.8886380475196,3176.552582195788,2105.1607912139452,12309.94654386809,6296.408599774931,4279.797081580289
93,11/08/2022,2697.980380120117,3004.613073617252,2042.3743370276393,11870.007676095303,5933.567708471279,3989.794794766393
94,11/09/2022,2696.0721221927142,2832.673565038717,1979.5878828413333,11430.068808322516,5570.726817167626,3699.792507952497
95,11/10/2022,2689.089485312271,2768.442375840349,1952.5129346586164,11253.107695272969,5453.03737941555,3609.8931604086915
96,11/11/2022,2682.106848431828,2704.211186641981,1925.4379864758994,11076.146582223422,5335.347941663473,3519.9938128648864
97,11/12/2022,2675.124211551385,2639.9799974436132,1898.3630382931824,10899.185469173875,5217.658503911395,3430.0944653210813
98,11/13/2022,2668.141574670942,2575.7488082452455,1871.2880901104654,10722.224356124332,5099.9690661593195,3340.1951177772758
99,11/14/2022,2661.1589377904993,2511.5176190468774,1844.2131419277484,10545.263243074785,4982.279628407242,3250.295770233471
100,11/15/2022,2654.1763009100564,2447.2864298485097,1817.1381937450315,10368.302130025239,4864.590190655165,3160.3964226896655
101,11/16/2022,2647.193664029613,2383.0552406501415,1790.0632455623145,10191.341016975692,4746.900752903089,3070.4970751458604
102,11/17/2022,2580.831414643772,2328.0950478664886,1741.8105381218788,9905.111490321142,4600.854533607379,2970.557303030781
103,11/18/2022,2514.469165257931,2273.1348550828357,1693.5578306814427,9618.88196366659,4454.80831431167,2870.6175309157006
