,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,719.3641563360989,1054.86700518871,623.3509206658063,415.1546916022403,1270.0103781912965,658.082106427446
5,08/12/2022,1438.7283126721977,2109.73401037742,1246.7018413316125,830.3093832044806,2540.020756382593,1316.164212854892
6,08/13/2022,2158.0924690082966,3164.60101556613,1870.0527619974187,1245.4640748067209,3810.03113457389,1974.246319282338
7,08/14/2022,2877.4566253443954,4219.46802075484,2493.403682663225,1660.6187664089612,5080.041512765186,2632.328425709784
8,08/15/2022,3596.8207816804943,5274.335025943549,3116.7546033290314,2075.7734580112015,6350.051890956483,3290.41053213723
9,08/16/2022,4316.184938016593,6329.20203113226,3740.1055239948373,2490.9281496134417,7620.06226914778,3948.492638564676
10,08/17/2022,5035.549094352692,7384.06903632097,4363.456444660644,2906.082841215682,8890.072647339075,4606.574744992122
11,08/18/2022,4316.184938016593,6329.2020311322585,3740.105523994837,2490.928149613442,7620.06226914778,3948.492638564676
12,08/19/2022,3596.8207816804943,5274.335025943549,3116.7546033290314,2075.7734580112015,6350.051890956483,3290.41053213723
13,08/20/2022,2877.4566253443954,4219.46802075484,2493.403682663225,1660.6187664089612,5080.041512765186,2632.328425709784
14,08/21/2022,2158.0924690082966,3164.60101556613,1870.0527619974187,1245.4640748067209,3810.03113457389,1974.246319282338
15,08/22/2022,1438.7283126721975,2109.73401037742,1246.7018413316125,830.3093832044805,2540.0207563825934,1316.164212854892
16,08/23/2022,719.3641563360989,1054.86700518871,623.3509206658063,415.1546916022403,1270.0103781912965,658.082106427446
17,08/24/2022,0.0,0.0,0.0,0.0,0.0,0.0
18,08/25/2022,0.0,0.0,0.0,403.2021717183201,0.0,98.76153512048049
19,08/26/2022,0.0,0.0,0.0,806.4043434366401,0.0,197.52307024096098
20,08/27/2022,0.0,0.0,0.0,1209.6065151549603,0.0,296.2846053614415
21,08/28/2022,0.0,0.0,0.0,1612.8086868732803,0.0,395.04614048192195
22,08/29/2022,0.0,0.0,0.0,2016.0108585916003,0.0,493.8076756024024
23,08/30/2022,0.0,0.0,0.0,2419.2130303099207,0.0,592.569210722883
24,08/31/2022,0.0,0.0,0.0,2822.4152020282404,0.0,691.3307458433634
25,09/01/2022,105.02981493217507,122.71383531391616,65.98358681450436,3337.49383100771,256.3601242547831,958.7498374862581
26,09/02/2022,210.05962986435014,245.42767062783233,131.96717362900873,3852.5724599871796,512.7202485095662,1226.168929129153
27,09/03/2022,315.0894447965252,368.1415059417485,197.95076044351308,4367.651088966649,769.0803727643494,1493.5880207720477
28,09/04/2022,420.1192597287003,490.85534125566465,263.93434725801745,4882.729717946118,1025.4404970191324,1761.0071124149424
29,09/05/2022,525.1490746608754,613.5691765695808,329.9179340725218,5397.808346925589,1281.8006212739156,2028.4262040578371
30,09/06/2022,630.1788895930504,736.283011883497,395.90152088702615,5912.8869759050585,1538.1607455286987,2295.845295700732
31,09/07/2022,735.2087045252255,858.9968471974131,461.88510770153056,6427.965604884528,1794.5208697834819,2563.264387343627
32,09/08/2022,833.4683951134139,1006.5480148911853,551.8119589781464,6854.0316074739485,2126.5891969190006,2781.379555872985
33,09/09/2022,931.7280857016024,1154.0991825849576,641.7388102547624,7280.097610063371,2458.6575240545203,2999.4947244023438
34,09/10/2022,1029.9877762897909,1301.6503502787295,731.6656615313784,7706.163612652791,2790.725851190039,3217.609892931702
35,09/11/2022,1128.2474668779792,1449.2015179725017,821.5925128079944,8132.229615242213,3122.7941783255587,3435.7250614610602
36,09/12/2022,1226.5071574661677,1596.752685666274,911.5193640846102,8558.295617831634,3454.8625054610775,3653.840229990419
37,09/13/2022,1324.7668480543562,1744.3038533600463,1001.4462153612261,8984.361620421056,3786.930832596597,3871.955398519777
38,09/14/2022,1423.0265386425447,1891.8550210538183,1091.3730666378422,9410.427623010477,4118.999159732116,4090.0705670491357
39,09/15/2022,1496.4194725053553,2000.2069321455426,1156.9033559963511,9747.48099920984,4361.7205379864945,4258.88181246496
40,09/16/2022,1569.812406368166,2108.558843237267,1222.4336453548601,10084.534375409203,4604.441916240872,4427.693057880783
41,09/17/2022,1643.2053402309764,2216.910754328991,1287.963934713369,10421.587751608564,4847.163294495251,4596.504303296607
42,09/18/2022,1716.5982740937873,2325.262665420715,1353.494224071878,10758.641127807929,5089.8846727496275,4765.315548712431
43,09/19/2022,1789.991207956598,2433.6145765124393,1419.024513430387,11095.69450400729,5332.606051004006,4934.126794128255
44,09/20/2022,1863.3841418194086,2541.966487604164,1484.554802788896,11432.747880206653,5575.327429258385,5102.938039544078
45,09/21/2022,1936.7770756822192,2650.318398695888,1550.085092147405,11769.801256406015,5818.048807512762,5271.749284959902
46,09/22/2022,1985.303252819648,2719.4710531855635,1591.2188195878005,12017.84200621531,5971.423236885975,5391.2566072621785
47,09/23/2022,2033.8294299570766,2788.6237076752395,1632.3525470281959,12265.882756024603,6124.797666259187,5510.763929564455
48,09/24/2022,2082.355607094505,2857.776362164914,1673.486274468591,12513.923505833896,6278.1720956324,5630.271251866731
49,09/25/2022,2130.881784231934,2926.92901665459,1714.6200019089868,12761.96425564319,6431.546525005612,5749.778574169007
50,09/26/2022,2179.4079613693625,2996.0816711442662,1755.7537293493822,13010.005005452485,6584.920954378825,5869.285896471284
51,09/27/2022,2227.9341385067914,3065.2343256339414,1796.8874567897776,13258.045755261777,6738.295383752037,5988.79321877356
52,09/28/2022,2276.46031564422,3134.386980123617,1838.021184230173,13506.08650507107,6891.66981312525,6108.300541075836
53,09/29/2022,2354.240448181527,3234.608598292656,1900.1634214985243,13881.318972318903,7138.963668419686,6301.409430639089
54,09/30/2022,2432.0205807188336,3334.830216461695,1962.3056587668755,14256.551439566736,7386.257523714121,6494.518320202339
55,10/01/2022,2509.8007132561406,3435.051834630734,2024.4478960352264,14631.783906814568,7633.551379008557,6687.627209765591
56,10/02/2022,2587.5808457934477,3535.2734527997736,2086.5901333035777,15007.0163740624,7880.845234302992,6880.736099328844
57,10/03/2022,2665.3609783307543,3635.4950709688123,2148.7323705719286,15382.248841310231,8128.139089597427,7073.844988892095
58,10/04/2022,2743.1411108680613,3735.7166891378515,2210.87460784028,15757.481308558066,8375.432944891862,7266.953878455346
59,10/05/2022,2820.9212434053684,3835.9383073068907,2273.016845108631,16132.713775805898,8622.726800186298,7460.062768018598
60,10/06/2022,3060.1465990734227,4151.509786661004,2473.5373949421996,17144.328827904163,9420.98090123942,8013.8594141613285
61,10/07/2022,3299.371954741477,4467.081266015118,2674.0579447757677,18155.94388000243,10219.23500229254,8567.656060304058
62,10/08/2022,3538.597310409531,4782.6527453692315,2874.5784946093368,19167.558932100696,11017.489103345662,9121.452706446787
63,10/09/2022,3777.822666077586,5098.224224723345,3075.0990444429053,20179.17398419896,11815.743204398786,9675.249352589517
64,10/10/2022,4017.0480217456397,5413.795704077458,3275.6195942764743,21190.78903629723,12613.997305451907,10229.04599873225
65,10/11/2022,4256.273377413695,5729.367183431573,3476.1401441100425,22202.404088395495,13412.251406505029,10782.84264487498
66,10/12/2022,4495.4987330817485,6044.938662785686,3676.660693943611,23214.019140493758,14210.50550755815,11336.63929101771
67,10/13/2022,4597.532263781899,6205.265299814972,3773.780050194973,23643.397041580578,14561.210677268742,11555.159602464595
68,10/14/2022,4699.56579448205,6365.591936844257,3870.899406446336,24072.774942667398,14911.91584697934,11773.67991391148
69,10/15/2022,4801.599325182201,6525.918573873544,3968.0187626976976,24502.152843754215,15262.621016689935,11992.200225358365
70,10/16/2022,4903.632855882352,6686.24521090283,4065.13811894906,24931.53074484104,15613.326186400527,12210.720536805251
71,10/17/2022,5005.666386582502,6846.571847932117,4162.257475200422,25360.908645927855,15964.031356111122,12429.240848252137
72,10/18/2022,5107.699917282653,7006.8984849614035,4259.376831451785,25790.286547014675,16314.736525821718,12647.761159699021
73,10/19/2022,5209.733447982803,7167.225121990689,4356.4961877031465,26219.664448101496,16665.44169553231,12866.281471145907
74,10/20/2022,5139.6237909715865,7127.868259851096,4321.372576951339,25925.774271572278,16450.94356697006,12669.177212195484
75,10/21/2022,5069.514133960371,7088.511397711504,4286.248966199533,25631.88409504306,16236.445438407814,12472.07295324506
76,10/22/2022,4999.404476949154,7049.154535571913,4251.125355447726,25337.993918513843,16021.947309845566,12274.968694294637
77,10/23/2022,4929.294819937937,7009.797673432319,4216.001744695919,25044.10374198462,15807.449181283318,12077.864435344212
78,10/24/2022,4859.18516292672,6970.440811292727,4180.878133944113,24750.213565455408,15592.951052721068,11880.76017639379
79,10/25/2022,4789.075505915504,6931.083949153134,4145.754523192306,24456.32338892619,15378.452924158819,11683.655917443368
80,10/26/2022,4718.965848904288,6891.727087013542,4110.630912440499,24162.433212396973,15163.954795596572,11486.551658492945
81,10/27/2022,4480.151415694134,6657.273576319471,3946.1172758539565,23160.304295625006,14396.435777047172,10882.815556918807
82,10/28/2022,4241.33698248398,6422.820065625402,3781.6036392674127,22158.17537885304,13628.916758497773,10279.07945534467
83,10/29/2022,4002.5225492738255,6188.36655493133,3617.09000268087,21156.046462081074,12861.397739948377,9675.343353770533
84,10/30/2022,3763.7081160636712,5953.913044237261,3452.576366094327,20153.91754530911,12093.878721398978,9071.607252196396
85,10/31/2022,3524.8936828535175,5719.45953354319,3288.0627295077843,19151.788628537142,11326.359702849579,8467.871150622259
86,11/01/2022,3286.0792496433633,5485.00602284912,3123.5490929212406,18149.659711765173,10558.840684300181,7864.135049048122
87,11/02/2022,3047.2648164332095,5250.55251215505,2959.035456334698,17147.530794993207,9791.321665750782,7260.398947473985
88,11/03/2022,2885.6653919137448,5124.764802409155,2859.7960138003955,16487.833247869312,9316.232608677607,6878.870832750897
89,11/04/2022,2724.0659673942796,4998.977092663261,2760.5565712660937,15828.135700745415,8841.143551604431,6497.342718027809
90,11/05/2022,2562.4665428748153,4873.189382917365,2661.3171287317914,15168.438153621519,8366.054494531254,6115.814603304722
91,11/06/2022,2400.86711835535,4747.401673171471,2562.0776861974887,14508.74060649762,7890.9654374580805,5734.286488581633
92,11/07/2022,2239.2676938358854,4621.613963425575,2462.8382436631864,13849.043059373726,7415.876380384905,5352.758373858546
93,11/08/2022,2077.6682693164207,4495.826253679681,2363.598801128884,13189.345512249829,6940.78732331173,4971.230259135459
94,11/09/2022,1916.068844796956,4370.038543933786,2264.359358594582,12529.647965125932,6465.698266238554,4589.702144412371
95,11/10/2022,1865.8073952758934,4324.7918393494565,2230.267822427582,12288.031389185539,6325.576350056439,4476.182191471324
96,11/11/2022,1815.5459457548307,4279.545134765126,2196.176286260582,12046.414813245146,6185.4544338743235,4362.662238530277
97,11/12/2022,1765.2844962337679,4234.298430180795,2162.084750093582,11804.798237304753,6045.332517692209,4249.142285589231
98,11/13/2022,1715.0230467127053,4189.051725596465,2127.9932139265816,11563.181661364359,5905.2106015100935,4135.622332648183
99,11/14/2022,1664.7615971916423,4143.8050210121355,2093.901677759582,11321.565085423965,5765.088685327979,4022.102379707136
100,11/15/2022,1614.50014767058,4098.558316427805,2059.810141592582,11079.948509483573,5624.9667691458635,3908.5824267660896
101,11/16/2022,1564.2386981495172,4053.3116118434746,2025.718605425582,10838.331933543179,5484.844852963748,3795.0624738250426
102,11/17/2022,1523.8158996335842,3939.539459915635,1967.2809528148562,10557.501983822282,5305.533203700299,3676.0303245365544
103,11/18/2022,1483.3931011176514,3825.7673079877954,1908.8433002041306,10276.672034101382,5126.221554436849,3556.9981752480658
