,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,122.48823586729374,665.3981057710204,764.018087759043,1581.4514545758398,1581.2499255010628,0.0
5,08/12/2022,244.97647173458748,1330.7962115420407,1528.036175518086,3162.9029091516795,3162.4998510021255,0.0
6,08/13/2022,367.46470760188123,1996.1943173130608,2292.0542632771294,4744.35436372752,4743.7497765031885,0.0
7,08/14/2022,489.95294346917495,2661.5924230840815,3056.072351036172,6325.805818303359,6324.999702004251,0.0
8,08/15/2022,612.4411793364687,3326.9905288551017,3820.0904387952155,7907.257272879199,7906.249627505314,0.0
9,08/16/2022,734.9294152037625,3992.3886346261215,4584.108526554259,9488.70872745504,9487.499553006377,0.0
10,08/17/2022,857.4176510710562,4657.786740397142,5348.126614313302,11070.160182030879,11068.74947850744,0.0
11,08/18/2022,1094.0418496572356,4212.856536111259,4584.108526554258,9488.708727455038,9487.499553006377,0.0
12,08/19/2022,1330.666048243415,3767.9263318253766,3820.0904387952155,7907.2572728792,7906.2496275053145,0.0
13,08/20/2022,1567.2902468295943,3322.996127539494,3056.072351036172,6325.805818303359,6324.999702004251,0.0
14,08/21/2022,1803.9144454157738,2878.0659232536113,2292.0542632771294,4744.35436372752,4743.7497765031885,0.0
15,08/22/2022,2040.5386440019533,2433.1357189677283,1528.036175518086,3162.9029091516804,3162.499851002126,0.0
16,08/23/2022,2277.1628425881327,1988.2055146818454,764.018087759043,1581.4514545758398,1581.2499255010628,0.0
17,08/24/2022,2513.787041174312,1543.2753103959626,0.0,0.0,0.0,0.0
18,08/25/2022,2582.258807432605,1702.8957149681246,100.86118316269575,507.380648872757,0.0,851.629380469076
19,08/26/2022,2650.730573690899,1862.5161195402868,201.7223663253915,1014.761297745514,0.0,1703.258760938152
20,08/27/2022,2719.202339949192,2022.136524112449,302.5835494880873,1522.1419466182708,0.0,2554.888141407228
21,08/28/2022,2787.674106207485,2181.756928684611,403.444732650783,2029.522595491028,0.0,3406.517521876304
22,08/29/2022,2856.1458724657787,2341.377333256773,504.30591581347875,2536.903244363785,0.0,4258.14690234538
23,08/30/2022,2924.6176387240716,2500.9977378289354,605.1670989761745,3044.2838932365416,0.0,5109.776282814456
24,08/31/2022,2993.089404982365,2660.6181424010974,706.0282821388703,3551.664542109299,0.0,5961.405663283532
25,09/01/2022,3055.674481469384,2801.1855027160464,843.2189363512844,4395.936244630853,445.868821718048,6283.473823188846
26,09/02/2022,3118.2595579564027,2941.7528630309957,980.4095905636985,5240.207947152408,891.737643436096,6605.541983094162
27,09/03/2022,3180.8446344434205,3082.320223345944,1117.6002447761125,6084.479649673963,1337.606465154144,6927.610142999476
28,09/04/2022,3243.4297109304393,3222.887583660893,1254.7908989885268,6928.751352195518,1783.475286872192,7249.67830290479
29,09/05/2022,3306.0147874174577,3363.454943975842,1391.9815532009409,7773.023054717072,2229.3441085902405,7571.746462810105
30,09/06/2022,3368.5998639044765,3504.0223042907915,1529.1722074133552,8617.294757238626,2675.212930308288,7893.814622715419
31,09/07/2022,3431.184940391495,3644.58966460574,1666.362861625769,9461.56645976018,3121.0817520263363,8215.882782620734
32,09/08/2022,3487.8833271072313,3766.1039806634703,1779.6750430598938,10155.837760360804,3599.575815023839,8448.480694783144
33,09/09/2022,3544.5817138229663,3887.6182967212007,1892.9872244940186,10850.109060961426,4078.069878021341,8681.078606945553
34,09/10/2022,3601.280100538703,4009.132612778932,2006.2994059281434,11544.380361562045,4556.563941018844,8913.676519107963
35,09/11/2022,3657.978487254439,4130.6469288366625,2119.6115873622684,12238.651662162672,5035.058004016347,9146.274431270373
36,09/12/2022,3714.676873970175,4252.161244894393,2232.9237687963932,12932.922962763292,5513.5520670138485,9378.872343432782
37,09/13/2022,3771.375260685911,4373.675560952123,2346.235950230518,13627.194263363914,5992.046130011351,9611.470255595192
38,09/14/2022,3828.073647401647,4495.189877009854,2459.548131664643,14321.465563964537,6470.540193008854,9844.068167757601
39,09/15/2022,3878.885344346109,4597.651148810369,2548.9818403204663,14865.73646264426,6824.540170206832,10043.162960002594
40,09/16/2022,3929.6970412905716,4700.112420610882,2638.4155489762893,15410.007361323982,7178.540147404808,10242.257752247588
41,09/17/2022,3980.5087382350334,4802.573692411396,2727.8492576321128,15954.278260003706,7532.540124602785,10441.352544492578
42,09/18/2022,4031.3204351794952,4905.034964211911,2817.2829662879367,16498.549158683425,7886.540101800762,10640.447336737572
43,09/19/2022,4082.132132123958,5007.4962360124255,2906.71667494376,17042.82005736315,8240.540078998742,10839.542128982563
44,09/20/2022,4132.94382906842,5109.95750781294,2996.150383599583,17587.090956042874,8594.540056196716,11038.636921227559
45,09/21/2022,4183.755526012882,5212.418779613454,3085.5840922554066,18131.361854722596,8948.540033394695,11237.731713472549
46,09/22/2022,4228.680533186053,5295.827007156774,3151.1393281329447,18525.632351481385,9178.045924793167,11403.32338580009
47,09/23/2022,4273.605540359224,5379.235234700093,3216.6945640104836,18919.90284824017,9407.55181619164,11568.915058127624
48,09/24/2022,4318.530547532394,5462.643462243413,3282.2497998880217,19314.173344998962,9637.057707590113,11734.506730455165
49,09/25/2022,4363.455554705565,5546.051689786734,3347.80503576556,19708.443841757748,9866.563598988587,11900.098402782703
50,09/26/2022,4408.3805618787355,5629.459917330053,3413.3602716430983,20102.71433851654,10096.069490387059,12065.690075110242
51,09/27/2022,4453.305569051906,5712.868144873371,3478.9155075206368,20496.984835275325,10325.575381785531,12231.28174743778
52,09/28/2022,4498.230576225077,5796.2763724166925,3544.4707433981753,20891.255332034114,10555.081273184003,12396.87341976532
53,09/29/2022,4567.580766922258,5924.298768470214,3648.5933652401623,21497.17138533931,10901.166080594952,12677.033993141493
54,09/30/2022,4636.930957619437,6052.321164523737,3752.7159870821497,22103.087438644496,11247.250888005901,12957.194566517663
55,10/01/2022,4706.281148316618,6180.343560577258,3856.838608924137,22709.003491949694,11593.335695416847,13237.355139893833
56,10/02/2022,4775.6313390137975,6308.365956630779,3960.961230766124,23314.91954525488,11939.420502827797,13517.515713270008
57,10/03/2022,4844.981529710977,6436.3883526843,4065.083852608112,23920.835598560076,12285.505310238746,13797.676286646178
58,10/04/2022,4914.331720408159,6564.410748737823,4169.206474450099,24526.75165186527,12631.590117649694,14077.83686002235
59,10/05/2022,4983.681911105338,6692.433144791345,4273.329096292086,25132.66770517046,12977.674925060643,14357.997433398521
60,10/06/2022,5136.783102590874,7001.9158941489095,4559.737792011724,26803.983473024426,14054.284706543662,15051.215929496027
61,10/07/2022,5289.88429407641,7311.398643506474,4846.146487731362,28475.299240878394,15130.89448802668,15744.434425593538
62,10/08/2022,5442.985485561946,7620.881392864039,5132.555183451,30146.61500873235,16207.504269509702,16437.652921691046
63,10/09/2022,5596.086677047481,7930.364142221604,5418.963879170638,31817.930776586316,17284.11405099272,17130.871417788552
64,10/10/2022,5749.187868533017,8239.84689157917,5705.372574890277,33489.24654444028,18360.72383247574,17824.089913886062
65,10/11/2022,5902.289060018552,8549.329640936734,5991.781270609915,35160.56231229424,19437.333613958763,18517.30840998357
66,10/12/2022,6055.390251504088,8858.812390294299,6278.189966329553,36831.878080148206,20513.94339544178,19210.52690608108
67,10/13/2022,6105.042240337303,8973.14618938039,6390.372969115669,37532.952130977916,21024.88740170885,19414.11128487753
68,10/14/2022,6154.694229170519,9087.479988466479,6502.555971901784,38234.02618180762,21535.831407975926,19617.69566367398
69,10/15/2022,6204.346218003733,9201.81378755257,6614.738974687899,38935.10023263733,22046.775414243,19821.280042470433
70,10/16/2022,6253.998206836948,9316.14758663866,6726.921977474015,39636.174283467044,22557.719420510075,20024.864421266888
71,10/17/2022,6303.650195670164,9430.481385724752,6839.104980260129,40337.248334296746,23068.663426777148,20228.44880006334
72,10/18/2022,6353.302184503379,9544.815184810841,6951.287983046246,41038.32238512645,23579.607433044213,20432.03317885979
73,10/19/2022,6402.954173336594,9659.148983896932,7063.470985832361,41739.396435956165,24090.55143931129,20635.617557656242
74,10/20/2022,6328.487174737996,9535.829171428908,6960.4454575411555,41234.47658654262,23882.01215148726,20249.242943910736
75,10/21/2022,6254.020176139397,9412.509358960882,6857.419929249949,40729.55673712909,23673.472863663228,19862.868330165227
76,10/22/2022,6179.5531775408,9289.189546492858,6754.394400958743,40224.63688771555,23464.9335758392,19476.49371641972
77,10/23/2022,6105.086178942201,9165.869734024833,6651.368872667537,39719.71703830201,23256.39428801517,19090.119102674216
78,10/24/2022,6030.619180343602,9042.549921556809,6548.343344376332,39214.79718888848,23047.85500019114,18703.74448892871
79,10/25/2022,5956.152181745005,8919.230109088783,6445.317816085126,38709.877339474944,22839.315712367108,18317.369875183205
80,10/26/2022,5881.685183146406,8795.91029662076,6342.292287793919,38204.9574900614,22630.77642454308,17930.995261437696
81,10/27/2022,5685.75994288297,8439.796148028854,6028.443582925963,36518.1525054859,21718.027642650373,16968.021698455606
82,10/28/2022,5489.834702619533,8083.68199943695,5714.594878058007,34831.34752091041,20805.278860757662,16005.048135473513
83,10/29/2022,5293.909462356096,7727.567850845045,5400.74617319005,33144.54253633491,19892.530078864955,15042.074572491421
84,10/30/2022,5097.984222092659,7371.453702253141,5086.897468322095,31457.73755175942,18979.78129697225,14079.101009509333
85,10/31/2022,4902.058981829223,7015.339553661235,4773.04876345414,29770.93256718392,18067.032515079543,13116.127446527242
86,11/01/2022,4706.133741565786,6659.225405069331,4459.200058586183,28084.127582608427,17154.283733186832,12153.15388354515
87,11/02/2022,4510.20850130235,6303.111256477427,4145.351353718227,26397.32259803293,16241.534951294127,11190.18032056306
88,11/03/2022,4377.496342855948,6058.307507432682,3933.4497646866557,25243.98906932542,15674.612481508699,10583.39533932457
89,11/04/2022,4244.7841844095465,5813.503758387936,3721.5481756550844,24090.65554061791,15107.69001172327,9976.61035808608
90,11/05/2022,4112.072025963144,5568.70000934319,3509.646586623513,22937.3220119104,14540.767541937845,9369.82537684759
91,11/06/2022,3979.359867516742,5323.896260298444,3297.7449975919412,21783.9884832029,13973.845072152415,8763.040395609101
92,11/07/2022,3846.6477090703397,5079.092511253698,3085.8434085603703,20630.65495449539,13406.922602366989,8156.255414370609
93,11/08/2022,3713.9355506239376,4834.288762208952,2873.941819528799,19477.321425787875,12840.000132581563,7549.47043313212
94,11/09/2022,3581.223392177536,4589.485013164206,2662.0402304972276,18323.98789708037,12273.077662796133,6942.68545189363
95,11/10/2022,3521.067484329888,4493.796539037198,2592.950493875967,17916.299714536,12075.135162983182,6755.742296847244
96,11/11/2022,3460.9115764822404,4398.10806491019,2523.8607572547053,17508.61153199162,11877.192663170234,6568.799141800858
97,11/12/2022,3400.755668634592,4302.419590783181,2454.771020633445,17100.92334944725,11679.250163357283,6381.855986754473
98,11/13/2022,3340.599760786944,4206.731116656173,2385.6812840121834,16693.23516690288,11481.307663544332,6194.912831708086
99,11/14/2022,3280.4438529392964,4111.042642529164,2316.591547390923,16285.546984358509,11283.36516373138,6007.969676661701
100,11/15/2022,3220.2879450916485,4015.354168402156,2247.501810769662,15877.858801814133,11085.42266391843,5821.026521615315
101,11/16/2022,3160.1320372440005,3919.665694275148,2178.4120741484007,15470.17061926976,10887.480164105482,5634.083366568929
102,11/17/2022,3090.8229822139997,3827.7169476212584,2122.189003005718,15091.42950089847,10583.815223686119,5459.812003329136
103,11/18/2022,3021.5139271839985,3735.7682009673686,2065.9659318630356,14712.68838252718,10280.150283266757,5285.5406400893435
