,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,0.0,0.0,0.0,770.2439310602884,127.67957877958385,0.0
6,2022-08-12,0.0,0.0,0.0,1540.487862120577,255.3591575591677,0.0
7,2022-08-13,0.0,0.0,0.0,2310.7317931808648,383.0387363387515,0.0
8,2022-08-14,0.0,0.0,0.0,3080.975724241154,510.7183151183354,0.0
9,2022-08-15,0.0,0.0,0.0,3851.219655301442,638.3978938979192,0.0
10,2022-08-16,0.0,0.0,0.0,4621.4635863617295,766.077472677503,0.0
11,2022-08-17,0.0,0.0,0.0,5391.707517422018,893.7570514570871,0.0
12,2022-08-18,192.6253256074755,93.1647419676507,197.78333050978932,4621.46358636173,766.077472677503,0.0
13,2022-08-19,385.250651214951,186.3294839353014,395.56666101957865,3851.219655301442,638.3978938979193,0.0
14,2022-08-20,577.8759768224264,279.49422590295205,593.3499915293679,3080.975724241154,510.7183151183354,0.0
15,2022-08-21,770.501302429902,372.6589678706028,791.1333220391573,2310.731793180865,383.0387363387515,0.0
16,2022-08-22,963.1266280373775,465.8237098382535,988.9166525489467,1540.487862120577,255.35915755916773,0.0
17,2022-08-23,1155.7519536448528,558.9884518059041,1186.6999830587358,770.2439310602886,127.6795787795839,0.0
18,2022-08-24,1348.3772792523284,652.1531937735549,1384.4833135685253,0.0,0.0,0.0
19,2022-08-25,1746.1743747713192,1259.9425418062417,1483.1367854157554,277.8560576972672,311.1269177774765,792.6951533025723
20,2022-08-26,2143.97147029031,1867.7318898389278,1581.7902572629853,555.7121153945353,622.253835554953,1585.3903066051446
21,2022-08-27,2541.7685658093005,2475.521237871614,1680.4437291102154,833.5681730918026,933.3807533324292,2378.085459907717
22,2022-08-28,2939.565661328292,3083.310585904301,1779.097200957446,1111.4242307890706,1244.5076711099055,3170.780613210289
23,2022-08-29,3337.362756847283,3691.0999339369873,1877.7506728046756,1389.280288486338,1555.6345888873823,3963.4757665128614
24,2022-08-30,3735.1598523662747,4298.889281969674,1976.4041446519057,1667.136346183606,1866.7615066648584,4756.170919815434
25,2022-08-31,4132.956947885265,4906.67863000236,2075.057616499136,1944.9924038808733,2177.8884244423352,5548.866073118006
26,2022-09-01,4139.151243465188,4966.960067698125,2104.1989443399116,2266.2585116814003,2452.1650588232496,5884.732527495825
27,2022-09-02,4145.345539045111,5027.241505393889,2133.3402721806874,2587.524619481926,2726.4416932041645,6220.5989818736425
28,2022-09-03,4151.539834625034,5087.522943089654,2162.481600021463,2908.7907272824527,3000.71832758508,6556.46543625146
29,2022-09-04,4157.734130204955,5147.804380785419,2191.6229278622386,3230.056835082979,3274.9949619659947,6892.331890629278
30,2022-09-05,4163.9284257848785,5208.085818481181,2220.7642557030135,3551.322942883506,3549.27159634691,7228.198345007096
31,2022-09-06,4170.1227213648,5268.367256176946,2249.90558354379,3872.589050684032,3823.5482307278253,7564.064799384913
