,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,0.0,0.0,0.0,1449.6012832342983,172.1860134942487,0.0
5,08/12/2022,0.0,0.0,0.0,2899.2025664685966,344.3720269884974,0.0
6,08/13/2022,0.0,0.0,0.0,4348.803849702895,516.558040482746,0.0
7,08/14/2022,0.0,0.0,0.0,5798.405132937193,688.7440539769948,0.0
8,08/15/2022,0.0,0.0,0.0,7248.006416171492,860.9300674712434,0.0
9,08/16/2022,0.0,0.0,0.0,8697.60769940579,1033.116080965492,0.0
10,08/17/2022,0.0,0.0,0.0,10147.208982640088,1205.3020944597408,0.0
11,08/18/2022,171.29102806231427,95.38720944064082,249.21182118319265,8697.60769940579,1033.116080965492,0.0
12,08/19/2022,342.58205612462854,190.77441888128163,498.4236423663853,7248.006416171492,860.9300674712433,0.0
13,08/20/2022,513.8730841869427,286.1616283219224,747.635463549578,5798.405132937193,688.7440539769948,0.0
14,08/21/2022,685.1641122492571,381.54883776256327,996.8472847327706,4348.803849702895,516.558040482746,0.0
15,08/22/2022,856.4551403115713,476.93604720320405,1246.0591059159633,2899.2025664685966,344.37202698849734,0.0
16,08/23/2022,1027.7461683738854,572.3232566438448,1495.270927099156,1449.6012832342983,172.1860134942487,0.0
17,08/24/2022,1199.0371964361998,667.7104660844857,1744.4827482823487,0.0,0.0,0.0
18,08/25/2022,1552.7761102408247,1289.99877614834,1868.7885293697802,522.9258960053473,419.5792637704312,772.9976276035383
19,08/26/2022,1906.5150240454498,1912.2870862121943,1993.0943104572123,1045.8517920106947,839.1585275408625,1545.9952552070765
20,08/27/2022,2260.2539378500746,2534.5753962760487,2117.400091544644,1568.777688016042,1258.7377913112937,2318.9928828106144
21,08/28/2022,2613.9928516546997,3156.863706339903,2241.705872632075,2091.7035840213894,1678.317055081725,3091.990510414153
22,08/29/2022,2967.731765459325,3779.1520164037565,2366.011653719507,2614.6294800267365,2097.896318852156,3864.988138017691
23,08/30/2022,3321.4706792639495,4401.44032646761,2490.317434806939,3137.555376032084,2517.4755826225874,4637.985765621229
24,08/31/2022,3675.2095930685746,5023.728636531465,2614.623215894371,3660.4812720374316,2937.0548463930186,5410.9833932247675
25,09/01/2022,3680.717836881586,5085.448102516413,2651.3419998494055,4265.105006607149,3306.938587552579,5738.5039682453225
26,09/02/2022,3686.2260806945974,5147.167568501361,2688.0607838044402,4869.7287411768675,3676.8223287121396,6066.024543265877
27,09/03/2022,3691.7343245076095,5208.887034486308,2724.7795677594754,5474.352475746585,4046.7060698717,6393.545118286433
28,09/04/2022,3697.242568320621,5270.606500471256,2761.4983517145097,6078.976210316302,4416.589811031261,6721.065693306986
29,09/05/2022,3702.7508121336327,5332.325966456205,2798.2171356695444,6683.599944886021,4786.473552190821,7048.586268327542
30,09/06/2022,3708.2590559466444,5394.045432441152,2834.9359196245796,7288.223679455738,5156.357293350381,7376.106843348096
31,09/07/2022,3713.767299759656,5455.7648984260995,2871.6547035796143,7892.847414025457,5526.2410345099415,7703.627418368651
32,09/08/2022,3719.234670687609,5513.205706695918,2905.60501050224,8394.246092322675,5835.361063162296,7782.727043107998
33,09/09/2022,3724.702041615562,5570.646514965736,2939.555317424865,8895.644770619894,6144.4810918146495,7861.826667847344
34,09/10/2022,3730.1694125435147,5628.087323235553,2973.5056243474905,9397.043448917113,6453.601120467004,7940.926292586689
35,09/11/2022,3735.6367834714683,5685.528131505372,3007.4559312701163,9898.442127214332,6762.721149119358,8020.025917326036
36,09/12/2022,3741.104154399421,5742.968939775189,3041.406238192742,10399.840805511549,7071.841177771712,8099.125542065383
37,09/13/2022,3746.571525327374,5800.409748045007,3075.356545115367,10901.239483808768,7380.961206424066,8178.225166804729
38,09/14/2022,3752.038896255327,5857.850556314825,3109.306852037993,11402.638162105986,7690.08123507642,8257.324791544075
39,09/15/2022,3757.4653942982013,5911.012706869539,3140.488681928237,11800.811784130698,7938.4375512215465,8330.649339118043
40,09/16/2022,3762.891892341076,5964.174857424254,3171.670511818481,12198.985406155409,8186.793867366674,8403.973886692012
41,09/17/2022,3768.3183903839513,6017.337007978969,3202.8523417087245,12597.159028180118,8435.150183511802,8477.29843426598
42,09/18/2022,3773.7448884268256,6070.499158533684,3234.0341715989684,12995.33265020483,8683.506499656929,8550.622981839948
43,09/19/2022,3779.1713864697003,6123.661309088399,3265.216001489213,13393.506272229539,8931.862815802057,8623.947529413916
44,09/20/2022,3784.597884512575,6176.823459643114,3296.397831379457,13791.67989425425,9180.219131947184,8697.272076987885
45,09/21/2022,3790.02438255545,6229.9856101978285,3327.5796612697004,14189.853516278961,9428.57544809231,8770.596624561853
46,09/22/2022,3795.4100077132666,6278.86910303741,3355.993014127517,14484.802082031165,9616.168051730216,8838.146094970334
47,09/23/2022,3800.795632871083,6327.752595876991,3384.406366985334,14779.750647783369,9803.760655368122,8905.695565378814
48,09/24/2022,3806.1812580288997,6376.636088716572,3412.8197198431512,15074.699213535572,9991.353259006026,8973.245035787293
49,09/25/2022,3811.566883186716,6425.519581556153,3441.233072700968,15369.64777928778,10178.94586264393,9040.794506195774
50,09/26/2022,3816.952508344533,6474.403074395734,3469.646425558785,15664.596345039983,10366.538466281836,9108.343976604254
51,09/27/2022,3822.338133502349,6523.286567235315,3498.0597784166016,15959.544910792185,10554.13106991974,9175.893447012733
52,09/28/2022,3827.723758660166,6572.170060074895,3526.473131274419,16254.493476544389,10741.723673557646,9243.442917421215
53,09/29/2022,3842.6331428328144,6669.770027753491,3577.1752117030887,16672.513050011938,11029.284978588981,9363.445629004385
54,09/30/2022,3857.542527005462,6767.36999543209,3627.8772921317586,17090.53262347949,11316.846283620316,9483.448340587556
55,10/01/2022,3872.4519111781096,6864.969963110687,3678.5793725604285,17508.55219694704,11604.407588651653,9603.451052170729
56,10/02/2022,3887.361295350758,6962.569930789285,3729.281452989099,17926.571770414586,11891.96889368299,9723.4537637539
57,10/03/2022,3902.2706795234058,7060.169898467881,3779.9835334177687,18344.59134388214,12179.530198714327,9843.456475337069
58,10/04/2022,3917.1800636960543,7157.7698661464765,3830.6856138464386,18762.61091734969,12467.09150374566,9963.459186920241
59,10/05/2022,3932.089447868702,7255.369833825074,3881.387694275108,19180.63049081724,12754.652808776997,10083.461898503412
60,10/06/2022,3971.918498180209,7494.405149936017,3999.581825231743,20273.081405764136,13510.829739999932,10359.757463723425
61,10/07/2022,4011.7475484917168,7733.440466046958,4117.775956188378,21365.532320711038,14267.006671222869,10636.053028943437
62,10/08/2022,4051.576598803225,7972.4757821579,4235.970087145012,22457.98323565794,15023.183602445803,10912.348594163452
63,10/09/2022,4091.405649114732,8211.511098268842,4354.164218101646,23550.434150604833,15779.360533668738,11188.644159383464
64,10/10/2022,4131.23469942624,8450.546414379785,4472.358349058281,24642.885065551738,16535.537464891673,11464.939724603479
65,10/11/2022,4171.0637497377475,8689.581730490727,4590.552480014916,25735.33598049864,17291.71439611461,11741.235289823491
66,10/12/2022,4210.892800049255,8928.617046601668,4708.746610971551,26827.786895445537,18047.891327337544,12017.530855043504
67,10/13/2022,4212.067225105154,8966.888082370559,4734.482264750149,27344.109849245655,18353.309459277778,12076.791136520578
68,10/14/2022,4213.241650161054,9005.159118139449,4760.217918528747,27860.432803045762,18658.727591218012,12136.05141799765
69,10/15/2022,4214.416075216953,9043.430153908339,4785.953572307345,28376.755756845876,18964.145723158243,12195.311699474725
70,10/16/2022,4215.590500272851,9081.70118967723,4811.689226085944,28893.07871064599,19269.563855098477,12254.5719809518
71,10/17/2022,4216.764925328751,9119.97222544612,4837.424879864542,29409.401664446104,19574.98198703871,12313.832262428872
72,10/18/2022,4217.93935038465,9158.24326121501,4863.16053364314,29925.724618246215,19880.400118978945,12373.092543905947
73,10/19/2022,4219.113775440549,9196.5142969839,4888.896187421738,30442.04757204633,20185.81825091918,12432.352825383019
74,10/20/2022,4174.864190076666,8997.065120306279,4804.80127555712,30235.99752004722,19934.89485119135,12234.118700293531
75,10/21/2022,4130.614604712783,8797.61594362866,4720.706363692502,30029.947468048118,19683.971451463527,12035.884575204042
76,10/22/2022,4086.3650193489,8598.16676695104,4636.611451827885,29823.897416049014,19433.048051735703,11837.650450114554
77,10/23/2022,4042.1154339850173,8398.717590273422,4552.516539963266,29617.84736404991,19182.12465200788,11639.416325025066
78,10/24/2022,3997.8658486211343,8199.2684135958,4468.421628098648,29411.797312050807,18931.201252280054,11441.182199935578
79,10/25/2022,3953.6162632572514,7999.8192369181825,4384.32671623403,29205.747260051703,18680.277852552226,11242.948074846088
80,10/26/2022,3909.3666778933684,7800.370060240562,4300.231804369412,28999.6972080526,18429.354452824402,11044.7139497566
81,10/27/2022,3820.7953730142485,7368.464454118875,4108.98850447738,28085.64445788565,17634.351317085308,10595.049187039142
82,10/28/2022,3732.224068135129,6936.5588479971875,3917.7452045853483,27171.591707718704,16839.34818134622,10145.384424321679
83,10/29/2022,3643.652763256009,6504.6532418755005,3726.5019046933157,26257.538957551755,16044.345045607126,9695.71966160422
84,10/30/2022,3555.08145837689,6072.747635753813,3535.258604801284,25343.48620738481,15249.341909868033,9246.054898886761
85,10/31/2022,3466.51015349777,5640.842029632126,3344.0153049092514,24429.433457217856,14454.338774128939,8796.3901361693
86,11/01/2022,3377.93884861865,5208.936423510438,3152.7720050172197,23515.38070705091,13659.335638389848,8346.725373451842
87,11/02/2022,3289.3675437395304,4777.03081738875,2961.528705125187,22601.32795688396,12864.332502650755,7897.060610734381
88,11/03/2022,3230.016222276198,4489.112314865789,2845.219541695518,21982.422132528813,12368.554121645193,7611.149693006771
89,11/04/2022,3170.664900812865,4201.193812342827,2728.9103782658485,21363.51630817366,11872.775740639627,7325.238775279161
90,11/05/2022,3111.313579349532,3913.2753098198664,2612.6012148361783,20744.61048381851,11376.997359634066,7039.32785755155
91,11/06/2022,3051.9622578861995,3625.3568072969056,2496.292051406509,20125.70465946336,10881.218978628502,6753.416939823939
92,11/07/2022,2992.6109364228664,3337.4383047739443,2379.9828879768397,19506.79883510821,10385.440597622941,6467.506022096329
93,11/08/2022,2933.2596149595342,3049.5198022509835,2263.6737245471704,18887.89301075306,9889.662216617377,6181.595104368718
94,11/09/2022,2873.908293496201,2761.6012997280222,2147.364561117501,18268.98718639791,9393.883835611812,5895.684186641108
95,11/10/2022,2838.6638115790506,2669.8192517046073,2103.0516922397246,18013.16819441302,9216.93797041795,5777.6128776941305
96,11/11/2022,2803.4193296619005,2578.0372036811928,2058.7388233619486,17757.349202428133,9039.992105224086,5659.541568747152
97,11/12/2022,2768.17484774475,2486.255155657778,2014.4259544841718,17501.53021044325,8863.046240030224,5541.470259800174
98,11/13/2022,2732.9303658275994,2394.4731076343633,1970.1130856063953,17245.71121845836,8686.10037483636,5423.398950853196
99,11/14/2022,2697.6858839104493,2302.6910596109483,1925.8002167286193,16989.892226473476,8509.154509642498,5305.327641906218
100,11/15/2022,2662.4414019932988,2210.9090115875338,1881.4873478508428,16734.073234488584,8332.208644448636,5187.256332959239
101,11/16/2022,2627.196920076148,2119.126963564119,1837.1744789730662,16478.2542425037,8155.262779254772,5069.185024012262
102,11/17/2022,2580.5416950114027,2068.081992954841,1780.1974359701185,16147.464789126385,7916.24795885745,4929.546711860647
103,11/18/2022,2533.886469946658,2017.0370223455634,1723.2203929671707,15816.67533574907,7677.233138460128,4789.908399709033
104,11/19/2022,2487.231244881913,1965.992051736286,1666.2433499642232,15485.885882371756,7438.218318062807,4650.270087557417
