,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,340.008446514062,407.8544447139223,0.0,0.0,0.0,266.6526821094408
5,08/12/2022,680.016893028124,815.7088894278446,0.0,0.0,0.0,533.3053642188816
6,08/13/2022,1020.0253395421857,1223.563334141767,0.0,0.0,0.0,799.9580463283224
7,08/14/2022,1360.033786056248,1631.4177788556892,0.0,0.0,0.0,1066.610728437763
8,08/15/2022,1700.0422325703096,2039.2722235696112,0.0,0.0,0.0,1333.2634105472039
9,08/16/2022,2040.0506790843715,2447.126668283534,0.0,0.0,0.0,1599.9160926566449
10,08/17/2022,2380.0591255984336,2854.981112997456,0.0,0.0,0.0,1866.5687747660854
11,08/18/2022,2052.3807299703635,2447.126668283534,0.0,0.0,2.273293392686028,1599.9160926566449
12,08/19/2022,1724.7023343422932,2039.2722235696112,0.0,0.0,4.546586785372056,1333.263410547204
13,08/20/2022,1397.0239387142233,1631.4177788556892,0.0,0.0,6.819880178058084,1066.610728437763
14,08/21/2022,1069.3455430861532,1223.563334141767,0.0,0.0,9.093173570744112,799.9580463283224
15,08/22/2022,741.6671474580832,815.7088894278446,0.0,0.0,11.36646696343014,533.3053642188816
16,08/23/2022,413.98875183001286,407.8544447139223,0.0,0.0,13.639760356116168,266.6526821094408
17,08/24/2022,86.3103562019428,0.0,0.0,0.0,15.913053748802197,0.0
18,08/25/2022,120.12690875133502,27.697513150386037,32.86595370011436,622.1050452991767,176.0228367243125,109.54142042625041
19,08/26/2022,153.94346130072728,55.395026300772074,65.73190740022872,1244.2100905983534,336.1326196998228,219.08284085250082
20,08/27/2022,187.76001385011955,83.09253945115812,98.59786110034308,1866.3151358975301,496.24240267533304,328.62426127875125
21,08/28/2022,221.5765663995118,110.79005260154415,131.46381480045744,2488.420181196707,656.3521856508432,438.16568170500165
22,08/29/2022,255.393118948904,138.48756575193016,164.32976850057182,3110.5252264958835,816.4619686263537,547.7071021312521
23,08/30/2022,289.2096714982963,166.18507890231623,197.19572220068616,3732.6302717950603,976.5717516018639,657.2485225575025
24,08/31/2022,323.0262240476885,193.88259205270225,230.06167590080054,4354.735317094237,1136.6815345773741,766.7899429837529
25,09/01/2022,352.308157196828,263.21020593004914,473.8971287655587,4483.529435203078,1259.68894493943,866.3160698621076
26,09/02/2022,381.5900903459674,332.537819807396,717.7325816303169,4612.323553311918,1382.6963553014857,965.8421967404623
27,09/03/2022,410.87202349510676,401.8654336847429,961.5680344950752,4741.117671420759,1505.7037656635416,1065.3683236188172
28,09/04/2022,440.15395664424614,471.1930475620898,1205.4034873598334,4869.911789529599,1628.7111760255973,1164.8944504971719
29,09/05/2022,469.43588979338557,540.5206614394367,1449.2389402245915,4998.70590763844,1751.718586387653,1264.4205773755264
30,09/06/2022,498.71782294252506,609.8482753167837,1693.0743930893498,5127.50002574728,1874.7259967497084,1363.9467042538813
31,09/07/2022,527.9997560916645,679.1758891941305,1936.909845954108,5256.294143856121,1997.7334071117646,1463.472831132236
32,09/08/2022,552.7470698405498,735.7846656799366,1920.6470553253976,5350.939793945194,2101.040262634633,1546.5718700692305
33,09/09/2022,577.4943835894351,792.3934421657425,1904.384264696687,5445.5854440342655,2204.3471181575023,1629.670909006225
34,09/10/2022,602.2416973383204,849.0022186515487,1888.121474067977,5540.231094123338,2307.6539736803716,1712.7699479432194
35,09/11/2022,626.9890110872057,905.6109951373546,1871.8586834392665,5634.87674421241,2410.960829203241,1795.868986880214
36,09/12/2022,651.736324836091,962.2197716231607,1855.5958928105563,5729.522394301482,2514.267684726109,1878.9680258172084
37,09/13/2022,676.4836385849762,1018.8285481089667,1839.3331021818456,5824.168044390555,2617.574540248979,1962.0670647542029
38,09/14/2022,701.2309523338615,1075.4373245947727,1823.0703115531353,5918.813694479627,2720.8813957718476,2045.1661036911971
39,09/15/2022,721.4436466824942,1119.3272636890388,1804.3067186658698,6003.054043556139,2804.4876964555265,2111.8380546868316
40,09/16/2022,741.6563410311269,1163.2172027833049,1785.5431257786042,6087.294392632649,2888.093997139206,2178.510005682466
41,09/17/2022,761.8690353797593,1207.1071418775712,1766.7795328913385,6171.53474170916,2971.7002978228847,2245.1819566781005
42,09/18/2022,782.081729728392,1250.9970809718372,1748.015940004073,6255.77509078567,3055.3065985065637,2311.8539076737347
43,09/19/2022,802.2944240770247,1294.8870200661033,1729.2523471168072,6340.015439862181,3138.9128991902426,2378.5258586693694
44,09/20/2022,822.5071184256574,1338.7769591603694,1710.4887542295417,6424.255788938691,3222.5191998739215,2445.197809665003
45,09/21/2022,842.71981277429,1382.6668982546355,1691.7251613422761,6508.496138015202,3306.125500557601,2511.869760660638
46,09/22/2022,858.3978877226714,1413.8379999573608,1670.4607661964517,6582.331186079135,3370.031246402096,2562.114623714914
47,09/23/2022,874.0759626710528,1445.0091016600861,1649.1963710506272,6656.1662341430665,3433.93699224659,2612.3594867691904
48,09/24/2022,889.7540376194344,1476.1802033628117,1627.931975904803,6730.001282206999,3497.842738091085,2662.6043498234662
49,09/25/2022,905.4321125678158,1507.351305065537,1606.6675807589784,6803.836330270932,3561.7484839355793,2712.849212877743
50,09/26/2022,921.1101875161972,1538.5224067682625,1585.403185613154,6877.671378334865,3625.6542297800747,2763.0940759320188
51,09/27/2022,936.7882624645787,1569.6935084709878,1564.13879046733,6951.506426398797,3689.5599756245692,2813.3389389862955
52,09/28/2022,952.4663374129601,1600.8646101737131,1542.8743953215053,7025.34147446273,3753.4657214690637,2863.5838020405713
53,09/29/2022,974.103600126152,1649.498013540219,1523.6040142461256,7151.511634822768,3853.880694293251,2949.4307579886713
54,09/30/2022,995.7408628393437,1698.1314169067248,1504.333633170746,7277.681795182807,3954.2956671174384,3035.2777139367713
55,10/01/2022,1017.3781255525355,1746.764820273231,1485.0632520953666,7403.8519555428475,4054.7106399416257,3121.124669884871
56,10/02/2022,1039.015388265727,1795.3982236397367,1465.7928710199874,7530.022115902886,4155.125612765813,3206.9716258329713
57,10/03/2022,1060.6526509789192,1844.0316270062428,1446.522489944608,7656.192276262926,4255.54058559,3292.818581781071
58,10/04/2022,1082.2899136921108,1892.6650303727486,1427.2521088692286,7782.362436622964,4355.955558414188,3378.665537729172
59,10/05/2022,1103.9271764053026,1941.2984337392545,1407.9817277938491,7908.532596983004,4456.370531238375,3464.5124936772713
60,10/06/2022,1156.6299985565774,2079.011099852599,1402.4810280881466,8206.57696139629,4719.379945541784,3699.3606965191752
61,10/07/2022,1209.332820707852,2216.7237659659427,1396.9803283824438,8504.621325809574,4982.389359845193,3934.2088993610787
62,10/08/2022,1262.0356428591267,2354.436432079287,1391.479628676741,8802.665690222859,5245.398774148601,4169.057102202983
63,10/09/2022,1314.7384650104013,2492.1490981926313,1385.978928971038,9100.710054636143,5508.408188452009,4403.9053050448865
64,10/10/2022,1367.4412871616762,2629.8617643059747,1380.4782292653351,9398.754419049428,5771.417602755418,4638.7535078867895
65,10/11/2022,1420.1441093129508,2767.574430419319,1374.9775295596323,9696.798783462715,6034.427017058826,4873.601710728694
66,10/12/2022,1472.8469314642255,2905.2870965326633,1369.4768298539295,9994.843147876,6297.4364313622345,5108.449913570597
67,10/13/2022,1497.9990771059868,2962.692081771205,1354.0236784074284,10072.877125691191,6397.683888383629,5186.657122222125
68,10/14/2022,1523.1512227477479,3020.097067009746,1338.5705269609277,10150.911103506387,6497.931345405023,5264.864330873652
69,10/15/2022,1548.303368389509,3077.5020522482873,1323.1173755144268,10228.94508132158,6598.178802426417,5343.07153952518
70,10/16/2022,1573.4555140312702,3134.907037486829,1307.6642240679257,10306.979059136775,6698.4262594478105,5421.278748176707
71,10/17/2022,1598.607659673031,3192.3120227253708,1292.211072621425,10385.013036951967,6798.673716469205,5499.4859568282345
72,10/18/2022,1623.7598053147922,3249.717007963912,1276.757921174924,10463.04701476716,6898.921173490598,5577.693165479762
73,10/19/2022,1648.9119509565535,3307.1219932024533,1261.3047697284233,10541.080992582354,6999.168630511993,5655.90037413129
74,10/20/2022,1639.697427548783,3264.571909978037,1233.055674977098,10356.079525479594,6899.519936250398,5542.848164252595
75,10/21/2022,1630.4829041410133,3222.0218267536216,1204.806580225773,10171.078058376837,6799.871241988806,5429.795954373899
76,10/22/2022,1621.268380733243,3179.4717435292055,1176.5574854744473,9986.076591274077,6700.222547727212,5316.743744495204
77,10/23/2022,1612.0538573254726,3136.92166030479,1148.308390723122,9801.075124171317,6600.5738534656175,5203.691534616509
78,10/24/2022,1602.8393339177026,3094.3715770803733,1120.059295971797,9616.073657068559,6500.925159204023,5090.639324737814
79,10/25/2022,1593.6248105099326,3051.8214938559577,1091.8102012204715,9431.0721899658,6401.276464942429,4977.587114859118
80,10/26/2022,1584.4102871021623,3009.271410631542,1063.5611064691464,9246.070722863042,6301.627770680835,4864.534904980423
81,10/27/2022,1541.3845708114436,2868.612826101209,1022.8979425462421,8803.638869457225,6006.614370992716,4564.522558039518
82,10/28/2022,1498.358854520725,2727.954241570876,982.2347786233378,8361.207016051409,5711.600971304597,4264.510211098614
83,10/29/2022,1455.3331382300057,2587.2956570405436,941.5716147004334,7918.775162645592,5416.587571616477,3964.49786415771
84,10/30/2022,1412.307421939287,2446.63707251021,900.9084507775292,7476.343309239775,5121.574171928359,3664.4855172168054
85,10/31/2022,1369.2817056485683,2305.9784879798776,860.2452868546249,7033.911455833958,4826.560772240239,3364.473170275901
86,11/01/2022,1326.255989357849,2165.3199034495447,819.5821229317207,6591.479602428141,4531.54737255212,3064.460823334997
87,11/02/2022,1283.2302730671302,2024.661318919212,778.9189590088164,6149.047749022325,4236.533972864,2764.4484763940923
88,11/03/2022,1248.1650732275184,1921.7213451784992,751.8488610940815,5848.473289595478,4056.8197203720893,2579.0323314622074
89,11/04/2022,1213.0998733879064,1818.7813714377867,724.7787631793469,5547.89883016863,3877.105467880177,2393.616186530322
90,11/05/2022,1178.0346735482947,1715.841397697074,697.7086652646121,5247.324370741781,3697.391215388266,2208.200041598436
91,11/06/2022,1142.969473708683,1612.9014239563614,670.6385673498773,4946.749911314934,3517.6769628963543,2022.783896666551
92,11/07/2022,1107.9042738690712,1509.9614502156487,643.5684694351426,4646.175451888087,3337.962710404443,1837.3677517346657
93,11/08/2022,1072.8390740294594,1407.021476474936,616.4983715204079,4345.60099246124,3158.2484579125316,1651.9516068027806
94,11/09/2022,1037.7738741898477,1304.0815027342235,589.4282736056731,4045.0265330343927,2978.53420542062,1466.5354618708952
95,11/10/2022,1022.3755527571697,1268.5774927097789,575.7851588966505,3937.104050566966,2918.3760418315164,1420.3943180606686
96,11/11/2022,1006.9772313244916,1233.0734826853343,562.142044187628,3829.18156809954,2858.217878242413,1374.2531742504416
97,11/12/2022,991.5789098918135,1197.5694726608897,548.4989294786054,3721.2590856321144,2798.05971465331,1328.1120304402145
98,11/13/2022,976.1805884591354,1162.065462636445,534.8558147695829,3613.336603164688,2737.901551064207,1281.970886629988
99,11/14/2022,960.7822670264574,1126.5614526120005,521.2127000605603,3505.4141206972613,2677.743387475103,1235.829742819761
100,11/15/2022,945.3839455937793,1091.057442587556,507.5695853515378,3397.4916382298356,2617.585223886,1189.688599009534
101,11/16/2022,929.9856241611012,1055.5534325631113,493.9264706425153,3289.5691557624095,2557.427060296897,1143.5474551993073
102,11/17/2022,919.0063050162279,1035.0900776050132,481.7036318836168,3207.9451882595545,2475.5050542225013,1106.4318708437627
