,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,189.35122839158475,334.31493508643706,0.0,0.0,0.0,0.0
6,2022-08-12,378.7024567831695,668.6298701728741,0.0,0.0,0.0,0.0
7,2022-08-13,568.0536851747544,1002.9448052593114,0.0,0.0,0.0,0.0
8,2022-08-14,757.404913566339,1337.2597403457482,0.0,0.0,0.0,0.0
9,2022-08-15,946.7561419579235,1671.5746754321856,0.0,0.0,0.0,0.0
10,2022-08-16,1136.1073703495083,2005.8896105186227,0.0,0.0,0.0,0.0
11,2022-08-17,1325.4585987410933,2340.204545605059,0.0,0.0,0.0,0.0
12,2022-08-18,1899.2830989760162,2704.388371136716,172.53347619169335,401.99187634989494,0.0,4.4514746027196805
13,2022-08-19,2473.1075992109395,3068.5721966683727,345.0669523833867,803.9837526997899,0.0,8.902949205439361
14,2022-08-20,3046.9320994458626,3432.7560222000293,517.60042857508,1205.9756290496848,0.0,13.354423808159043
15,2022-08-21,3620.7565996807857,3796.939847731686,690.1339047667734,1607.9675053995797,0.0,17.805898410878722
16,2022-08-22,4194.581099915709,4161.123673263342,862.6673809584669,2009.959381749475,0.0,22.257373013598404
17,2022-08-23,4768.4056001506315,4525.307498794999,1035.20085715016,2411.9512580993696,0.0,26.708847616318085
18,2022-08-24,5342.2301003855555,4889.491324326656,1207.7343333418535,2813.943134449265,0.0,31.16032221903777
19,2022-08-25,5429.408818248972,5077.399214279762,1572.2201401881262,3756.854728596895,1259.5812587789912,1631.6673169695623
20,2022-08-26,5516.587536112389,5265.307104232869,1936.7059470343993,4699.766322744524,2519.1625175579825,3232.1743117200867
21,2022-08-27,5603.766253975804,5453.214994185976,2301.191753880672,5642.677916892152,3778.7437763369735,4832.681306470612
22,2022-08-28,5690.944971839222,5641.122884139082,2665.6775607269446,6585.589511039783,5038.325035115965,6433.188301221136
23,2022-08-29,5778.123689702638,5829.030774092187,3030.163367573218,7528.501105187412,6297.906293894956,8033.69529597166
24,2022-08-30,5865.302407566056,6016.938664045293,3394.6491744194905,8471.412699335042,7557.487552673947,9634.202290722184
25,2022-08-31,5952.481125429472,6204.846553998402,3759.1349812657622,9414.324293482669,8817.068811452938,11234.709285472709
26,2022-09-01,6033.649549221314,6374.633235488928,3812.825431753289,9967.524145232017,9412.842036428783,11601.202817418365
27,2022-09-02,6114.817973013157,6544.419916979454,3866.5158822408143,10520.723996981367,10008.61526140463,11967.69634936402
28,2022-09-03,6195.986396804999,6714.2065984699775,3920.2063327283404,11073.923848730716,10604.388486380474,12334.189881309672
29,2022-09-04,6277.154820596845,6883.993279960508,3973.896783215867,11627.123700480066,11200.16171135632,12700.683413255329
30,2022-09-05,6358.323244388687,7053.779961451034,4027.5872337033934,12180.323552229416,11795.934936332165,13067.176945200981
31,2022-09-06,6439.491668180529,7223.566642941558,4081.2776841909185,12733.523403978763,12391.708161308012,13433.670477146634
