,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,181.27653517834187,382.3683698553171,0.0,0.0,0.0,0.0
5,08/12/2022,362.55307035668375,764.7367397106342,0.0,0.0,0.0,0.0
6,08/13/2022,543.8296055350256,1147.1051095659511,0.0,0.0,0.0,0.0
7,08/14/2022,725.1061407133675,1529.4734794212684,0.0,0.0,0.0,0.0
8,08/15/2022,906.3826758917094,1911.8418492765854,0.0,0.0,0.0,0.0
9,08/16/2022,1087.6592110700512,2294.2102191319022,0.0,0.0,0.0,0.0
10,08/17/2022,1268.9357462483931,2676.5785889872195,0.0,0.0,0.0,0.0
11,08/18/2022,1818.2900762235424,3093.109114792802,226.2305176689409,710.5068454185397,0.0,4.426177771825014
12,08/19/2022,2367.644406198692,3509.639640598384,452.4610353378818,1421.0136908370794,0.0,8.852355543650027
13,08/20/2022,2916.9987361738417,3926.1701664039674,678.6915530068228,2131.5205362556194,0.0,13.278533315475041
14,08/21/2022,3466.353066148991,4342.70069220955,904.9220706757636,2842.0273816741587,0.0,17.704711087300055
15,08/22/2022,4015.7073961241404,4759.231218015133,1131.1525883447046,3552.5342270926985,0.0,22.13088885912507
16,08/23/2022,4565.061726099289,5175.761743820715,1357.3831060136456,4263.041072511239,0.0,26.557066630950082
17,08/24/2022,5114.416056074439,5592.292269626298,1583.6136236825864,4973.547917929778,0.0,30.983244402775096
18,08/25/2022,5197.877124955854,5807.209480984937,2061.5371813937822,6640.111800636891,1583.6466793866418,1622.3948812314102
19,08/26/2022,5281.338193837267,6022.126692343576,2539.460739104977,8306.675683344001,3167.2933587732837,3213.806518060045
20,08/27/2022,5364.799262718681,6237.043903702215,3017.384296816173,9973.239566051114,4750.940038159926,4805.21815488868
21,08/28/2022,5448.260331600095,6451.961115060855,3495.3078545273684,11639.803448758228,6334.586717546567,6396.629791717315
22,08/29/2022,5531.721400481509,6666.878326419494,3973.231412238564,13306.367331465339,7918.233396933209,7988.04142854595
23,08/30/2022,5615.182469362922,6881.795537778134,4451.15496994976,14972.931214172451,9501.880076319852,9579.453065374586
24,08/31/2022,5698.643538244336,7096.712749136774,4929.078527660955,16639.495096879564,11085.526755706494,11170.86470220322
25,09/01/2022,5776.3506160164625,7290.904063407227,4999.4788851786825,17617.25684948354,11834.58068360875,11535.275525444673
26,09/02/2022,5854.05769378859,7485.09537767768,5069.879242696412,18595.01860208752,12583.634611511001,11899.686348686124
27,09/03/2022,5931.764771560716,7679.286691948133,5140.2796002141395,19572.780354691495,13332.688539413255,12264.097171927575
28,09/04/2022,6009.471849332843,7873.478006218585,5210.679957731868,20550.54210729547,14081.74246731551,12628.50799516903
29,09/05/2022,6087.178927104969,8067.669320489039,5281.0803152495955,21528.30385989945,14830.796395217763,12992.918818410482
30,09/06/2022,6164.886004877097,8261.860634759492,5351.480672767325,22506.065612503422,15579.850323120016,13357.329641651933
31,09/07/2022,6242.593082649223,8456.051949029945,5421.8810302850525,23483.8273651074,16328.904251022272,13721.740464893386
32,09/08/2022,6314.546169312068,8629.517366212194,5486.91878133094,24324.985073756747,16691.365157090084,14044.305613953858
33,09/09/2022,6386.499255974914,8802.982783394444,5551.956532376828,25166.142782406096,17053.8260631579,14366.870763014333
34,09/10/2022,6458.452342637759,8976.448200576693,5616.994283422717,26007.300491055437,17416.28696922571,14689.435912074807
35,09/11/2022,6530.405429300605,9149.913617758943,5682.032034468604,26848.458199704783,17778.747875293524,15012.001061135277
36,09/12/2022,6602.358515963451,9323.379034941192,5747.069785514492,27689.615908354124,18141.208781361336,15334.566210195751
37,09/13/2022,6674.311602626296,9496.844452123443,5812.10753656038,28530.773617003473,18503.669687429152,15657.131359256222
38,09/14/2022,6746.264689289142,9670.30986930569,5877.145287606268,29371.93132565282,18866.130593496964,15979.696508316696
39,09/15/2022,6812.463784842713,9823.049389399826,5936.820432180327,30076.484990347595,19183.14449402478,16260.415983196213
40,09/16/2022,6878.662880396283,9975.788909493964,5996.495576754386,30781.03865504237,19500.158394552596,16541.13545807573
41,09/17/2022,6944.861975949854,10128.528429588101,6056.170721328445,31485.59231973715,19817.172295080414,16821.85493295524
42,09/18/2022,7011.061071503425,10281.267949682238,6115.845865902504,32190.14598443193,20134.18619560823,17102.57440783476
43,09/19/2022,7077.260167056996,10434.007469776376,6175.521010476563,32894.699649126705,20451.200096136046,17383.293882714275
44,09/20/2022,7143.459262610567,10586.746989870511,6235.196155050623,33599.25331382148,20768.21399666386,17664.01335759379
45,09/21/2022,7209.658358164138,10739.486509964649,6294.871299624681,34303.80697851626,21085.22789719168,17944.732832473306
46,09/22/2022,7270.103462608436,10871.500132970525,6349.183837726896,34871.756599256405,21356.79479217948,18183.6066331718
47,09/23/2022,7330.548567052733,11003.513755976399,6403.496375829111,35439.70621999656,21628.36168716728,18422.48043387029
48,09/24/2022,7390.99367149703,11135.527378982277,6457.808913931324,36007.655840736705,21899.92858215508,18661.354234568786
49,09/25/2022,7451.438775941327,11267.541001988151,6512.12145203354,36575.60546147685,22171.49547714288,18900.228035267275
50,09/26/2022,7511.883880385624,11399.554624994027,6566.433990135753,37143.555082217,22443.06237213068,19139.10183596577
51,09/27/2022,7572.32898482992,11531.568247999903,6620.746528237968,37711.50470295715,22714.62926711848,19377.97563666426
52,09/28/2022,7632.774089274218,11663.581871005777,6675.059066340183,38279.4543236973,22986.196162106276,19616.849437362755
53,09/29/2022,7724.5747204252775,11879.655867963409,6759.9407520601135,39070.77421961764,23408.077328549523,20005.682323242392
54,09/30/2022,7816.375351576339,12095.72986492104,6844.822437780044,39862.09411553798,23829.958494992774,20394.515209122033
55,10/01/2022,7908.175982727399,12311.80386187867,6929.704123499976,40653.414011458306,24251.839661436017,20783.34809500167
56,10/02/2022,7999.97661387846,12527.877858836304,7014.585809219907,41444.73390737864,24673.720827879268,21172.18098088131
57,10/03/2022,8091.777245029521,12743.951855793934,7099.467494939838,42236.053803298986,25095.601994322515,21561.013866760946
58,10/04/2022,8183.5778761805805,12960.025852751565,7184.3491806597685,43027.37369921932,25517.483160765765,21949.846752640584
59,10/05/2022,8275.378507331641,13176.099849709197,7269.230866379699,43818.693595139666,25939.364327209012,22338.67963852022
60,10/06/2022,8468.50650744498,13682.00781005983,7452.050835086617,45659.94932048668,26908.293253139855,23261.278102386517
61,10/07/2022,8661.634507558318,14187.915770410462,7634.870803793535,47501.2050458337,27877.2221790707,24183.876566252813
62,10/08/2022,8854.762507671654,14693.823730761094,7817.690772500451,49342.46077118071,28846.15110500154,25106.475030119116
63,10/09/2022,9047.890507784994,15199.731691111727,8000.51074120737,51183.71649652773,29815.080030932386,26029.07349398541
64,10/10/2022,9241.01850789833,15705.63965146236,8183.330709914287,53024.97222187475,30784.008956863236,26951.671957851704
65,10/11/2022,9434.146508011667,16211.547611812992,8366.150678621205,54866.22794722177,31752.937882794078,27874.270421718003
66,10/12/2022,9627.274508125007,16717.455572163624,8548.970647328122,56707.483672568786,32721.86680872492,28796.8688855843
67,10/13/2022,9688.945907968067,16866.990344088943,8603.815195669724,57540.941214786304,33047.28405519303,29080.082767368112
68,10/14/2022,9750.617307811126,17016.525116014258,8658.659744011327,58374.398757003815,33372.70130166113,29363.296649151926
69,10/15/2022,9812.288707654185,17166.059887939577,8713.504292352929,59207.856299221334,33698.118548129234,29646.510530935735
70,10/16/2022,9873.960107497243,17315.594659864895,8768.34884069453,60041.31384143885,34023.53579459734,29929.724412719548
71,10/17/2022,9935.631507340304,17465.129431790214,8823.193389036134,60874.77138365636,34348.95304106544,30212.938294503365
72,10/18/2022,9997.302907183363,17614.66420371553,8878.037937377736,61708.22892587388,34674.37028753355,30496.152176287174
73,10/19/2022,10058.974307026421,17764.198975640847,8932.882485719338,62541.6864680914,34999.787534001654,30779.366058070987
74,10/20/2022,9963.686264524531,17485.95755845565,8835.0297570022,62130.95459812852,34549.213791363094,30293.028472682265
75,10/21/2022,9868.39822202264,17207.71614127046,8737.177028285061,61720.22272816564,34098.64004872453,29806.690887293546
76,10/22/2022,9773.11017952075,16929.474724085267,8639.324299567921,61309.49085820276,33648.066306085966,29320.353301904826
77,10/23/2022,9677.822137018858,16651.23330690007,8541.471570850785,60898.75898823987,33197.4925634474,28834.015716516104
78,10/24/2022,9582.53409451697,16372.991889714875,8443.618842133645,60488.02711827699,32746.918820808834,28347.67813112738
79,10/25/2022,9487.24605201508,16094.75047252968,8345.766113416506,60077.295248314105,32296.34507817027,27861.34054573866
80,10/26/2022,9391.95800951319,15816.509055344486,8247.913384699368,59666.563378351224,31845.771335531706,27375.00296034994
81,10/27/2022,9143.317351474992,15118.915228127402,8001.045169140676,58037.651524344634,30636.076644034165,26136.644420273926
82,10/28/2022,8894.676693436797,14421.321400910316,7754.176953581984,56408.739670338044,29426.381952536627,24898.285880197913
83,10/29/2022,8646.036035398602,13723.727573693232,7507.308738023291,54779.82781633146,28216.687261039082,23659.927340121903
84,10/30/2022,8397.395377360404,13026.133746476145,7260.440522464599,53150.91596232487,27006.992569541544,22421.568800045894
85,10/31/2022,8148.754719322208,12328.53991925906,7013.572306905908,51522.00410831829,25797.297878044003,21183.210259969874
86,11/01/2022,7900.114061284012,11630.946092041975,6766.704091347215,49893.0922543117,24587.603186546457,19944.851719893864
87,11/02/2022,7651.473403245816,10933.35226482489,6519.835875788523,48264.18040030511,23377.90849504892,18706.49317981785
88,11/03/2022,7491.838942360514,10429.771281627298,6368.914625142739,47198.44304019379,22579.087999246352,17925.39677286449
89,11/04/2022,7332.2044814752135,9926.190298429708,6217.993374496958,46132.70568008249,21780.267503443785,17144.30036591113
90,11/05/2022,7172.57002058991,9422.609315232115,6067.072123851174,45066.968319971165,20981.447007641225,16363.203958957765
91,11/06/2022,7012.935559704609,8919.028332034524,5916.15087320539,44001.23095985986,20182.62651183866,15582.107552004407
92,11/07/2022,6853.301098819307,8415.447348836935,5765.229622559607,42935.49359974854,19383.80601603609,14801.011145051043
93,11/08/2022,6693.666637934005,7911.866365639343,5614.308371913824,41869.75623963722,18584.985520233524,14019.914738097683
94,11/09/2022,6534.0321770487035,7408.285382441752,5463.3871212680415,40804.01887952592,17786.16502443096,13238.81833114432
95,11/10/2022,6451.891768243986,7215.311372723723,5389.284916253715,40320.48632876622,17454.776930021624,12953.99864688775
96,11/11/2022,6369.751359439267,7022.337363005697,5315.1827112393885,39836.95377800653,17123.38883561229,12669.17896263118
97,11/12/2022,6287.61095063455,6829.363353287669,5241.080506225061,39353.421227246836,16792.000741202955,12384.359278374612
98,11/13/2022,6205.470541829832,6636.389343569643,5166.978301210735,38869.88867648714,16460.61264679362,12099.539594118041
99,11/14/2022,6123.330133025113,6443.415333851614,5092.876096196408,38386.356125727456,16129.224552384283,11814.719909861471
100,11/15/2022,6041.189724220395,6250.441324133587,5018.7738911820825,37902.823574967755,15797.836457974947,11529.9002256049
101,11/16/2022,5959.0493154156775,6057.46731441556,4944.671686167755,37419.29102420807,15466.44836356561,11245.080541348332
102,11/17/2022,5839.153620926964,5932.559642849527,4828.375038254025,36705.81756409852,15083.929632088095,10914.006070847563
103,11/18/2022,5719.257926438252,5807.651971283494,4712.078390340294,35992.344103988966,14701.41090061058,10582.931600346794
104,11/19/2022,5599.36223194954,5682.744299717461,4595.781742426565,35278.87064387942,14318.892169133067,10251.857129846025
105,11/20/2022,5479.466537460826,5557.836628151429,4479.485094512835,34565.39718376987,13936.37343765555,9920.782659345254
