,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,24.76978637541687,1208.7235226321807,0.0,5432.345737846573,0.0,520.7808638190771
5,08/12/2022,49.53957275083374,2417.4470452643613,0.0,10864.691475693146,0.0,1041.5617276381543
6,08/13/2022,74.3093591262506,3626.170567896542,0.0,16297.037213539717,0.0,1562.3425914572315
7,08/14/2022,99.07914550166748,4834.894090528723,0.0,21729.38295138629,0.0,2083.1234552763085
8,08/15/2022,123.84893187708435,6043.617613160904,0.0,27161.728689232863,0.0,2603.9043190953857
9,08/16/2022,148.6187182525012,7252.341135793084,0.0,32594.074427079435,0.0,3124.685182914463
10,08/17/2022,173.38850462791808,8461.064658425264,0.0,38026.42016492601,0.0,3645.46604673354
11,08/18/2022,581.7122518200301,7252.341135793083,0.0,32594.074427079435,0.0,3241.1871162102098
12,08/19/2022,990.0359990121423,6043.617613160904,0.0,27161.728689232863,0.0,2836.9081856868793
13,08/20/2022,1398.3597462042542,4834.894090528723,0.0,21729.38295138629,0.0,2432.6292551635484
14,08/21/2022,1806.6834933963662,3626.170567896542,0.0,16297.037213539717,0.0,2028.3503246402179
15,08/22/2022,2215.007240588478,2417.4470452643613,0.0,10864.691475693146,0.0,1624.0713941168872
16,08/23/2022,2623.3309877805905,1208.7235226321807,0.0,5432.345737846573,0.0,1219.7924635935565
17,08/24/2022,3031.654734972702,0.0,0.0,0.0,0.0,815.513533070226
18,08/25/2022,3090.5487941241004,201.14946784082147,115.36935253823385,0.0,728.3353806731492,1234.3118593392371
19,08/26/2022,3149.442853275497,402.29893568164294,230.7387050764677,0.0,1456.6707613462984,1653.110185608248
20,08/27/2022,3208.3369124268943,603.4484035224644,346.1080576147015,0.0,2185.0061420194475,2071.908511877259
21,08/28/2022,3267.2309715782917,804.5978713632859,461.4774101529354,0.0,2913.3415226925968,2490.70683814627
22,08/29/2022,3326.125030729689,1005.7473392041073,576.8467626911693,0.0,3641.676903365746,2909.5051644152813
23,08/30/2022,3385.0190898810856,1206.896807044929,692.216115229403,0.0,4370.012284038895,3328.303490684292
24,08/31/2022,3443.9131490324835,1408.0462748857503,807.585467767637,0.0,5098.347664712044,3747.101816953303
25,09/01/2022,3498.3984883033427,1644.769270515871,1460.178689120516,809.0911275392044,5548.225381642922,4109.1251540995345
26,09/02/2022,3552.8838275742028,1881.4922661459914,2112.7719104733956,1618.1822550784088,5998.1030985738,4471.148491245765
27,09/03/2022,3607.3691668450624,2118.215261776112,2765.3651318262746,2427.273382617613,6447.9808155046785,4833.171828391996
28,09/04/2022,3661.8545061159216,2354.938257406233,3417.9583531791545,3236.3645101568177,6897.858532435556,5195.195165538228
29,09/05/2022,3716.339845386781,2591.661253036353,4070.5515745320336,4045.4556376960218,7347.736249366435,5557.218502684459
30,09/06/2022,3770.8251846576404,2828.384248666474,4723.144795884912,4854.546765235226,7797.613966297312,5919.241839830689
31,09/07/2022,3825.3105239285,3065.1072442965947,5375.738017237792,5663.637892774431,8247.49168322819,6281.265176976921
32,09/08/2022,3875.3871433188106,3261.325303863757,5362.031704044859,6531.9320683117385,8588.873861690943,6586.513525000356
33,09/09/2022,3925.463762709121,3457.5433634309197,5348.325390851926,7400.226243849045,8930.256040153694,6891.76187302379
34,09/10/2022,3975.540382099431,3653.7614229980827,5334.619077658994,8268.520419386352,9271.638218616446,7197.010221047225
35,09/11/2022,4025.6170014897416,3849.9794825652457,5320.912764466061,9136.81459492366,9613.020397079197,7502.25856907066
36,09/12/2022,4075.6936208800525,4046.197542132408,5307.206451273129,10005.108770460967,9954.40257554195,7807.506917094094
37,09/13/2022,4125.7702402703635,4242.415601699571,5293.500138080195,10873.402945998274,10295.7847540047,8112.755265117531
38,09/14/2022,4175.8468596606735,4438.633661266734,5279.793824887262,11741.697121535582,10637.166932467453,8418.003613140965
39,09/15/2022,4221.514759170465,4594.346784770928,5265.550963880153,12384.079424914245,10919.263492269996,8666.476972041644
40,09/16/2022,4267.182658680256,4750.059908275122,5251.308102873043,13026.461728292905,11201.360052072538,8914.950330942325
41,09/17/2022,4312.850558190048,4905.773031779317,5237.065241865934,13668.844031671568,11483.456611875083,9163.423689843006
42,09/18/2022,4358.51845769984,5061.486155283511,5222.822380858824,14311.226335050229,11765.553171677624,9411.897048743685
43,09/19/2022,4404.186357209632,5217.199278787705,5208.579519851714,14953.60863842889,12047.649731480167,9660.370407644366
44,09/20/2022,4449.854256719423,5372.9124022918995,5194.336658844604,15595.990941807553,12329.746291282712,9908.843766545046
45,09/21/2022,4495.5221562292145,5528.625525796094,5180.093797837495,16238.373245186214,12611.842851085255,10157.317125445725
46,09/22/2022,4536.781335858466,5643.83371323732,5165.314389016216,16654.843676406228,12834.65379222754,10349.015495223572
47,09/23/2022,4578.040515487718,5759.041900678547,5150.534980194936,17071.31410762624,13057.464733369827,10540.713865001419
48,09/24/2022,4619.29969511697,5874.250088119775,5135.755571373657,17487.784538846256,13280.275674512115,10732.412234779264
49,09/25/2022,4660.558874746221,5989.458275561002,5120.976162552378,17904.25497006627,13503.086615654402,10924.110604557109
50,09/26/2022,4701.8180543754725,6104.666463002228,5106.196753731098,18320.725401286283,13725.897556796688,11115.808974334956
51,09/27/2022,4743.077234004725,6219.874650443455,5091.417344909819,18737.195832506295,13948.708497938975,11307.507344112804
52,09/28/2022,4784.336413633976,6335.082837884682,5076.63793608854,19153.66626372631,14171.51943908126,11499.20571389065
53,09/29/2022,4842.615531500978,6498.835772505644,5064.295600007491,19762.94017345853,14517.909290687894,11806.478807328234
54,09/30/2022,4900.894649367981,6662.588707126606,5051.953263926442,20372.214083190745,14864.299142294529,12113.751900765816
55,10/01/2022,4959.173767234984,6826.341641747569,5039.610927845391,20981.48799292296,15210.688993901163,12421.024994203399
56,10/02/2022,5017.452885101986,6990.094576368531,5027.268591764343,21590.761902655177,15557.078845507795,12728.298087640984
57,10/03/2022,5075.732002968988,7153.847510989494,5014.926255683294,22200.035812387392,15903.46869711443,13035.571181078567
58,10/04/2022,5134.01112083599,7317.6004456104565,5002.583919602244,22809.30972211961,16249.858548721066,13342.844274516148
59,10/05/2022,5192.290238702993,7481.35338023142,4990.241583521195,23418.583631851827,16596.2484003277,13650.117367953733
60,10/06/2022,5309.981323429333,7910.406040467157,4986.081324046476,25304.72466462229,17467.612036193565,14452.923262721995
61,10/07/2022,5427.672408155673,8339.458700702897,4981.921064571756,27190.865697392754,18338.975672059427,15255.729157490257
62,10/08/2022,5545.363492882013,8768.511360938635,4977.760805097037,29077.006730163215,19210.339307925293,16058.535052258521
63,10/09/2022,5663.054577608354,9197.564021174372,4973.6005456223165,30963.14776293368,20081.702943791162,16861.340947026783
64,10/10/2022,5780.745662334693,9626.616681410113,4969.440286147597,32849.288795704146,20953.06657965703,17664.146841795045
65,10/11/2022,5898.436747061033,10055.66934164585,4965.280026672879,34735.429828474604,21824.43021552289,18466.952736563308
66,10/12/2022,6016.127831787374,10484.722001881588,4961.119767198159,36621.57086124507,22695.793851388757,19269.75863133157
67,10/13/2022,6061.504673943759,10686.681762437856,4946.675555212164,37557.25475546847,23021.74884230058,19561.49025353047
68,10/14/2022,6106.881516100143,10888.641522994123,4932.231343226168,38492.938649691874,23347.703833212403,19853.22187572938
69,10/15/2022,6152.258358256529,11090.601283550392,4917.787131240173,39428.62254391528,23673.658824124228,20144.95349792828
70,10/16/2022,6197.635200412915,11292.561044106658,4903.342919254179,40364.30643813867,23999.61381503605,20436.68512012719
71,10/17/2022,6243.0120425692985,11494.520804662929,4888.898707268183,41299.990332362075,24325.568805947874,20728.416742326088
72,10/18/2022,6288.388884725684,11696.480565219197,4874.454495282188,42235.67422658548,24651.523796859703,21020.148364524997
73,10/19/2022,6333.7657268820685,11898.440325775464,4860.010283296193,43171.35812080888,24977.478787771524,21311.8799867239
74,10/20/2022,6292.249680712258,11815.742684761644,4833.248823565771,42890.73940801203,24636.56433113059,20978.182854590617
75,10/21/2022,6250.733634542448,11733.045043747825,4806.487363835347,42610.120695215184,24295.649874489645,20644.48572245733
76,10/22/2022,6209.217588372637,11650.347402734003,4779.725904104925,42329.50198241834,23954.73541784871,20310.788590324053
77,10/23/2022,6167.701542202826,11567.649761720182,4752.964444374502,42048.88326962149,23613.820961207774,19977.091458190764
78,10/24/2022,6126.185496033016,11484.952120706364,4726.20298464408,41768.26455682464,23272.90650456684,19643.394326057485
79,10/25/2022,6084.669449863204,11402.254479692545,4699.441524913657,41487.64584402779,22931.9920479259,19309.6971939242
80,10/26/2022,6043.153403693394,11319.556838678724,4672.680065183235,41207.02713123094,22591.077591284964,18976.000061790917
81,10/27/2022,5916.976055460435,10958.643677895598,4635.541248647412,39733.420980353716,21597.932164580063,18030.621102621953
82,10/28/2022,5790.7987072274755,10597.730517112472,4598.402432111589,38259.81482947649,20604.78673787515,17085.242143452986
83,10/29/2022,5664.621358994517,10236.817356329344,4561.263615575767,36786.20867859927,19611.641311170246,16139.863184284024
84,10/30/2022,5538.444010761558,9875.904195546218,4524.124799039944,35312.602527722054,18618.495884465345,15194.484225115057
85,10/31/2022,5412.266662528599,9514.991034763092,4486.985982504122,33838.99637684483,17625.35045776044,14249.105265946095
86,11/01/2022,5286.08931429564,9154.077873979968,4449.8471659683,32365.3902259676,16632.20503105553,13303.72630677713
87,11/02/2022,5159.911966062681,8793.16471319684,4412.708349432477,30891.78407509038,15639.059604350628,12358.347347608165
88,11/03/2022,5091.972278705364,8584.33182171803,4458.0834846442685,29875.29215576322,15006.931820662912,11759.169323121518
89,11/04/2022,5024.032591348047,8375.498930239219,4503.458619856059,28858.800236436065,14374.804036975198,11159.991298634875
90,11/05/2022,4956.0929039907305,8166.666038760411,4548.833755067851,27842.308317108906,13742.67625328748,10560.813274148228
91,11/06/2022,4888.153216633415,7957.833147281599,4594.208890279642,26825.816397781746,13110.548469599766,9961.635249661582
92,11/07/2022,4820.213529276097,7749.000255802789,4639.584025491433,25809.32447845459,12478.42068591205,9362.457225174936
93,11/08/2022,4752.273841918781,7540.167364323978,4684.959160703225,24792.83255912743,11846.292902224333,8763.27920068829
94,11/09/2022,4684.334154561464,7331.334472845168,4730.334295915016,23776.34063980027,11214.165118536617,8164.101176201644
95,11/10/2022,4646.13520131816,7246.251663778844,4738.485223912469,23395.508063770383,10986.129805771956,7970.810623377033
96,11/11/2022,4607.936248074856,7161.168854712519,4746.636151909923,23014.675487740496,10758.094493007291,7777.520070552424
97,11/12/2022,4569.737294831552,7076.086045646195,4754.787079907377,22633.84291171061,10530.059180242632,7584.229517727813
98,11/13/2022,4531.538341588248,6991.003236579871,4762.93800790483,22253.01033568072,10302.023867477968,7390.938964903203
99,11/14/2022,4493.339388344944,6905.920427513546,4771.088935902284,21872.177759650836,10073.988554713305,7197.648412078593
100,11/15/2022,4455.14043510164,6820.837618447221,4779.2398638997365,21491.34518362095,9845.953241948642,7004.357859253983
101,11/16/2022,4416.941481858336,6735.754809380896,4787.390791897191,21110.512607591063,9617.917929183981,6811.067306429372
102,11/17/2022,4333.2107875339425,6567.142208481663,4675.261480743526,20667.28853050832,9342.89362735662,6603.625099797473
103,11/18/2022,4249.4800932095495,6398.52960758243,4563.132169589861,20224.064453425573,9067.869325529256,6396.182893165574
104,11/19/2022,4165.7493988851575,6229.917006683198,4451.002858436196,19780.840376342825,8792.845023701895,6188.740686533673
105,11/20/2022,4082.018704560764,6061.304405783965,4338.873547282532,19337.61629926008,8517.820721874536,5981.298479901773
