,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,95.39190928305246,0.0,288.92183468571653,205.18503898106547,0.0,0.0
6,2022-08-12,190.7838185661049,0.0,577.8436693714331,410.37007796213095,0.0,0.0
7,2022-08-13,286.17572784915734,0.0,866.7655040571495,615.5551169431964,0.0,0.0
8,2022-08-14,381.5676371322098,0.0,1155.6873387428661,820.7401559242619,0.0,0.0
9,2022-08-15,476.9595464152622,0.0,1444.6091734285824,1025.925194905327,0.0,0.0
10,2022-08-16,572.3514556983147,0.0,1733.531008114299,1231.1102338863927,0.0,0.0
11,2022-08-17,667.7433649813672,0.0,2022.4528428000156,1436.2952728674584,0.0,0.0
12,2022-08-18,1064.082568247669,201.12541420982345,1817.5830955241804,1577.6860589871205,0.0,0.0
13,2022-08-19,1460.4217715139712,402.2508284196469,1612.7133482483453,1719.076845106783,0.0,0.0
14,2022-08-20,1856.7609747802733,603.3762426294704,1407.8436009725106,1860.4676312264453,0.0,0.0
15,2022-08-21,2253.1001780465754,804.5016568392938,1202.9738536966756,2001.8584173461074,0.0,0.0
16,2022-08-22,2649.4393813128772,1005.6270710491173,998.1041064208403,2143.24920346577,0.0,0.0
17,2022-08-23,3045.778584579179,1206.7524852589406,793.2343591450054,2284.639989585432,0.0,0.0
18,2022-08-24,3442.1177878454805,1407.8778994687639,588.3646118691701,2426.030775705094,0.0,0.0
19,2022-08-25,3503.1943368228344,1945.94878561768,695.3596339813448,2958.879865920448,357.73472455855085,308.8536672420463
20,2022-08-26,3564.270885800186,2484.019671766596,802.3546560935192,3491.728956135802,715.4694491171017,617.7073344840926
21,2022-08-27,3625.3474347775395,3022.0905579155115,909.3496782056936,4024.5780463511564,1073.2041736756526,926.5610017261389
22,2022-08-28,3686.423983754892,3560.1614440644285,1016.3447003178683,4557.427136566512,1430.9388982342034,1235.4146689681852
23,2022-08-29,3747.5005327322456,4098.2323302133445,1123.339722430043,5090.276226781863,1788.6736227927543,1544.2683362102316
24,2022-08-30,3808.5770817095986,4636.30321636226,1230.3347445422175,5623.12531699722,2146.4083473513047,1853.1220034522778
25,2022-08-31,3869.653630686951,5174.374102511176,1337.3297666543922,6155.974407212573,2504.1430719098557,2161.975670694324
26,2022-09-01,3926.3453254342667,5262.677770905387,1430.6859452377196,6619.8160500336935,3650.952253669205,3223.2234126630237
27,2022-09-02,3983.0370201815836,5350.981439299598,1524.0421238210463,7083.657692854813,4797.761435428554,4284.471154631723
28,2022-09-03,4039.728714928899,5439.285107693807,1617.398302404374,7547.499335675933,5944.570617187904,5345.718896600421
29,2022-09-04,4096.420409676215,5527.588776088016,1710.7544809877015,8011.340978497052,7091.379798947253,6406.966638569122
30,2022-09-05,4153.112104423531,5615.892444482227,1804.1106595710282,8475.182621318174,8238.1889807066,7468.214380537822
