,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,200.17560533226626,862.5179148719337,362.86695516958855,646.716288273246,372.7478058515618,0.0
6,2022-08-12,400.3512106645325,1725.0358297438675,725.7339103391771,1293.432576546492,745.4956117031236,0.0
7,2022-08-13,600.5268159967986,2587.5537446158014,1088.6008655087658,1940.1488648197378,1118.2434175546855,0.0
8,2022-08-14,800.702421329065,3450.071659487735,1451.4678206783542,2586.865153092984,1490.9912234062472,0.0
9,2022-08-15,1000.8780266613312,4312.589574359668,1814.3347758479429,3233.58144136623,1863.7390292578093,0.0
10,2022-08-16,1201.0536319935973,5175.107489231603,2177.2017310175315,3880.2977296394756,2236.486835109371,0.0
11,2022-08-17,1401.2292373258633,6037.625404103536,2540.0686861871204,4527.014017912722,2609.2346409609327,0.0
12,2022-08-18,1257.6861452286744,5175.107489231603,2177.2017310175315,3880.297729639476,2236.486835109371,0.0
13,2022-08-19,1114.1430531314854,4312.589574359669,1814.3347758479429,3233.58144136623,1863.7390292578093,0.0
14,2022-08-20,970.5999610342966,3450.071659487735,1451.4678206783542,2586.8651530929847,1490.9912234062472,0.0
15,2022-08-21,827.0568689371077,2587.5537446158014,1088.6008655087658,1940.1488648197385,1118.2434175546855,0.0
16,2022-08-22,683.5137768399185,1725.0358297438677,725.7339103391773,1293.4325765464923,745.4956117031235,0.0
17,2022-08-23,539.9706847427299,862.5179148719336,362.8669551695887,646.7162882732465,372.7478058515621,0.0
18,2022-08-24,396.42759264554076,0.0,0.0,0.0,0.0,0.0
19,2022-08-25,438.9914336861611,0.0,0.0,0.0,161.83254968479113,398.8698177559466
20,2022-08-26,481.5552747267812,0.0,0.0,0.0,323.66509936958175,797.7396355118932
21,2022-08-27,524.1191157674015,0.0,0.0,0.0,485.4976490543729,1196.6094532678399
22,2022-08-28,566.6829568080219,0.0,0.0,0.0,647.3301987391635,1595.4792710237864
23,2022-08-29,609.246797848642,0.0,0.0,0.0,809.1627484239548,1994.3490887797327
24,2022-08-30,651.8106388892621,0.0,0.0,0.0,970.9952981087454,2393.2189065356797
25,2022-08-31,694.3744799298827,0.0,0.0,0.0,1132.8278477935364,2792.088724291626
26,2022-09-01,731.8304162800194,54.60136382566126,33.662461097261485,172.6478325283691,1284.862775305669,2921.2313817441254
27,2022-09-02,769.2863526301571,109.20272765132303,67.32492219452327,345.2956650567377,1436.8977028178017,3050.374039196624
28,2022-09-03,806.7422889802939,163.80409147698376,100.98738329178475,517.9434975851067,1588.932630329935,3179.5166966491233
29,2022-09-04,844.1982253304307,218.40545530264606,134.64984438904622,690.5913301134759,1740.9675578420677,3308.6593541016223
30,2022-09-05,881.6541616805682,273.0068191283073,168.3123054863077,863.2391626418445,1893.0024853541997,3437.8020115541217
31,2022-09-06,919.110098030705,327.6081829539686,201.9747665835695,1035.8869951702134,2045.0374128663327,3566.9446690066206
