,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0,0,0,0,0,0
1,08/08/2022,0,0,0,0,0,0
2,08/09/2022,0,0,0,0,0,0
3,08/10/2022,0,0,0,0,0,0
4,08/11/2022,0,0,0,0,0,0
5,08/12/2022,0,0,0,0,0,0
6,08/13/2022,0,0,0,0,0,0
7,08/14/2022,98826.05926707899,141124.88656690178,56683.89358284451,181805.7611911333,63446.510281226576,0
8,08/15/2022,98826.05926707899,141124.88656690178,56683.89358284451,181805.7611911333,63446.510281226576,0
9,08/16/2022,98826.05926707899,141124.88656690178,56683.89358284451,181805.7611911333,63446.510281226576,0
10,08/17/2022,98826.05926707899,141124.88656690178,56683.89358284451,181805.7611911333,63446.510281226576,0
11,08/18/2022,98826.05926707899,141124.88656690178,56683.89358284451,181805.7611911333,63446.510281226576,0
12,08/19/2022,98826.05926707899,141124.88656690178,56683.89358284451,181805.7611911333,63446.510281226576,0
13,08/20/2022,98826.05926707899,141124.88656690178,56683.89358284451,181805.7611911333,63446.510281226576,0
14,08/21/2022,48191.8728712021,25723.147377351634,11893.886916633375,0,0,5725.218362394182
15,08/22/2022,48191.8728712021,25723.147377351634,11893.886916633375,0,0,5725.218362394182
16,08/23/2022,48191.8728712021,25723.147377351634,11893.886916633375,0,0,5725.218362394182
17,08/24/2022,48191.8728712021,25723.147377351634,11893.886916633375,0,0,5725.218362394182
18,08/25/2022,48191.8728712021,25723.147377351634,11893.886916633375,0,0,5725.218362394182
19,08/26/2022,48191.8728712021,25723.147377351634,11893.886916633375,0,0,5725.218362394182
20,08/27/2022,48191.8728712021,25723.147377351634,11893.886916633375,0,0,5725.218362394182
21,08/28/2022,66964.43580028998,61867.68522626281,30033.08212934166,80285.2035060859,67618.16149339,169523.75373042026
22,08/29/2022,66964.43580028998,61867.68522626281,30033.08212934166,80285.2035060859,67618.16149339,169523.75373042026
