,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/07/2022,0.0,0.0,0.0,0.0,0.0,0.0
1,08/08/2022,0.0,0.0,0.0,0.0,0.0,0.0
2,08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0
3,08/10/2022,0.0,0.0,0.0,0.0,0.0,0.0
4,08/11/2022,0.0,430.18688044802883,0.0,1070.6763293802067,0.0,0.0
5,08/12/2022,0.0,860.3737608960577,0.0,2141.3526587604133,0.0,0.0
6,08/13/2022,0.0,1290.5606413440867,0.0,3212.0289881406197,0.0,0.0
7,08/14/2022,0.0,1720.7475217921153,0.0,4282.705317520827,0.0,0.0
8,08/15/2022,0.0,2150.934402240144,0.0,5353.3816469010335,0.0,0.0
9,08/16/2022,0.0,2581.1212826881733,0.0,6424.0579762812395,0.0,0.0
10,08/17/2022,0.0,3011.308163136202,0.0,7494.734305661446,0.0,0.0
11,08/18/2022,215.34892094341214,2581.121282688174,0.0,6424.0579762812395,0.0,0.0
12,08/19/2022,430.6978418868243,2150.934402240144,0.0,5353.3816469010335,0.0,0.0
13,08/20/2022,646.0467628302364,1720.7475217921153,0.0,4282.705317520827,0.0,0.0
14,08/21/2022,861.3956837736486,1290.5606413440867,0.0,3212.0289881406197,0.0,0.0
15,08/22/2022,1076.7446047170608,860.3737608960577,0.0,2141.3526587604133,0.0,0.0
16,08/23/2022,1292.0935256604728,430.18688044802883,0.0,1070.6763293802067,0.0,0.0
17,08/24/2022,1507.442446603885,0.0,0.0,0.0,0.0,0.0
18,08/25/2022,1589.3987812997257,153.06540749666166,88.05404031452743,457.71006788393044,457.0240021567068,464.89576004627395
19,08/26/2022,1671.3551159955666,306.1308149933233,176.10808062905485,915.4201357678609,914.0480043134136,929.7915200925479
20,08/27/2022,1753.3114506914073,459.19622248998496,264.16212094358224,1373.1302036517914,1371.0720064701202,1394.6872801388217
21,08/28/2022,1835.267785387248,612.2616299866467,352.2161612581097,1830.8402715357217,1828.0960086268271,1859.5830401850958
22,08/29/2022,1917.2241200830888,765.3270374833082,440.2702015726371,2288.550339419652,2285.120010783534,2324.47880023137
23,08/30/2022,1999.18045477893,918.3924449799699,528.3242418871645,2746.2604073035827,2742.1440129402404,2789.3745602776435
24,08/31/2022,2081.1367894747705,1071.4578524766316,616.378282201692,3203.970475187513,3199.1680150969473,3254.2703203239175
25,09/01/2022,2120.645722747357,1227.670786787879,735.4311634512876,3800.468626049966,3480.468009405806,3631.838838508705
26,09/02/2022,2160.1546560199426,1383.883721099126,854.484044700883,4396.96677691242,3761.7680037146642,4009.407356693493
27,09/03/2022,2199.663589292529,1540.0966554103732,973.5369259504787,4993.464927774873,4043.0679980235227,4386.9758748782815
28,09/04/2022,2239.1725225651157,1696.3095897216206,1092.5898072000743,5589.963078637327,4324.367992332382,4764.54439306307
29,09/05/2022,2278.6814558377014,1852.5225240328675,1211.64268844967,6186.461229499779,4605.6679866412405,5142.1129112478575
30,09/06/2022,2318.190389110288,2008.735458344115,1330.6955696992657,6782.959380362233,4886.9679809500985,5519.681429432645
31,09/07/2022,2357.699322382874,2164.948392655362,1449.748450948861,7379.457531224686,5168.267975258957,5897.249947617433
32,09/08/2022,2393.6727262308123,2294.932855088661,1513.807478193019,7872.633817535061,5374.209958312257,6008.960469516384
33,09/09/2022,2429.6461300787496,2424.9173175219607,1577.8665054371772,8365.810103845435,5580.151941365558,6120.670991415335
34,09/10/2022,2465.619533926688,2554.9017799552603,1641.925532681335,8858.986390155811,5786.093924418858,6232.381513314286
35,09/11/2022,2501.592937774625,2684.8862423885594,1705.9845599254932,9352.162676466185,5992.035907472158,6344.092035213239
36,09/12/2022,2537.566341622563,2814.870704821859,1770.0435871696511,9845.33896277656,6197.977890525459,6455.80255711219
37,09/13/2022,2573.539745470501,2944.855167255158,1834.1026144138089,10338.515249086935,6403.919873578759,6567.513079011142
38,09/14/2022,2609.513149318439,3074.839629688457,1898.161641657967,10831.691535397309,6609.861856632059,6679.2236009100925
39,09/15/2022,2641.9510237417335,3178.5956202438174,1950.77258364493,11221.545957155638,6780.647364671334,6778.242004128733
40,09/16/2022,2674.3888981650275,3282.3516107991777,2003.3835256318926,11611.400378913968,6951.4328727106085,6877.260407347373
41,09/17/2022,2706.826772588322,3386.1076013545367,2055.9944676188557,12001.254800672297,7122.218380749882,6976.278810566016
42,09/18/2022,2739.264647011616,3489.863591909897,2108.6054096058183,12391.109222430627,7293.003888789157,7075.297213784656
43,09/19/2022,2771.70252143491,3593.6195824652573,2161.2163515927814,12780.963644188956,7463.789396828432,7174.315617003297
44,09/20/2022,2804.1403958582046,3697.3755730206176,2213.827293579744,13170.818065947286,7634.574904867705,7273.334020221938
45,09/21/2022,2836.5782702814986,3801.1315635759775,2266.4382355667067,13560.672487705615,7805.36041290698,7372.352423440579
46,09/22/2022,2865.4806152801493,3878.65908225337,2307.6010922964765,13847.205044911896,7940.989445932241,7458.678707978867
47,09/23/2022,2894.3829602787996,3956.186600930763,2348.763949026247,14133.737602118179,8076.618478957504,7545.004992517156
48,09/24/2022,2923.2853052774503,4033.7141196081548,2389.926805756017,14420.270159324462,8212.247511982767,7631.331277055443
49,09/25/2022,2952.1876502761006,4111.241638285547,2431.0896624857864,14706.802716530741,8347.876545008028,7717.657561593733
50,09/26/2022,2981.089995274752,4188.76915696294,2472.2525192155567,14993.335273737024,8483.50557803329,7803.9838461320205
51,09/27/2022,3009.992340273402,4266.296675640332,2513.4153759453266,15279.867830943303,8619.134611058553,7890.310130670309
52,09/28/2022,3038.8946852720524,4343.8241943177245,2554.578232675097,15566.400388149586,8754.763644083814,7976.636415208598
53,09/29/2022,3082.2635644165466,4464.694395934346,2611.1053666670937,15997.483944826601,8961.062195904897,8120.116739503457
54,09/30/2022,3125.632443561041,4585.564597550967,2667.6325006590914,16428.567501503618,9167.360747725977,8263.597063798316
55,10/01/2022,3169.0013227055347,4706.434799167589,2724.1596346510883,16859.651058180632,9373.65929954706,8407.077388093176
56,10/02/2022,3212.370201850029,4827.30500078421,2780.6867686430855,17290.734614857647,9579.957851368143,8550.557712388034
57,10/03/2022,3255.739080994523,4948.175202400831,2837.2139026350824,17721.81817153466,9786.256403189223,8694.038036682894
58,10/04/2022,3299.107960139017,5069.045404017453,2893.74103662708,18152.90172821168,9992.554955010306,8837.518360977754
59,10/05/2022,3342.4768392835113,5189.915605634074,2950.268170619077,18583.985284888695,10198.853506831389,8980.998685272612
60,10/06/2022,3435.6177358878454,5513.560564565613,3086.055207725182,19745.720138888133,10709.663812917512,9316.738608790683
61,10/07/2022,3528.7586324921804,5837.205523497153,3221.8422448312863,20907.454992887568,11220.474119003638,9652.478532308756
62,10/08/2022,3621.899529096515,6160.850482428691,3357.629281937392,22069.18984688701,11731.28442508976,9988.218455826825
63,10/09/2022,3715.04042570085,6484.49544136023,3493.4163190434965,23230.92470088644,12242.094731175885,10323.958379344898
64,10/10/2022,3808.181322305184,6808.140400291769,3629.203356149602,24392.65955488588,12752.905037262008,10659.698302862971
65,10/11/2022,3901.3222189095186,7131.785359223307,3764.9903932557063,25554.394408885317,13263.71534334813,10995.43822638104
66,10/12/2022,3994.4631155138536,7455.430318154847,3900.7774303618116,26716.12926288475,13774.525649434256,11331.178149899113
67,10/13/2022,4026.2966482086026,7583.72998534468,3965.713431559899,27214.55063615093,13972.504806723518,11425.658275966078
68,10/14/2022,4058.130180903353,7712.029652534514,4030.649432757987,27712.972009417106,14170.483964012781,11520.138402033042
69,10/15/2022,4089.963713598103,7840.329319724347,4095.5854339560747,28211.39338268328,14368.463121302046,11614.618528100007
70,10/16/2022,4121.797246292853,7968.628986914181,4160.521435154163,28709.814755949454,14566.442278591308,11709.09865416697
71,10/17/2022,4153.630778987602,8096.928654104015,4225.45743635225,29208.23612921563,14764.421435880573,11803.578780233935
72,10/18/2022,4185.464311682352,8225.228321293847,4290.393437550339,29706.657502481805,14962.400593169836,11898.0589063009
73,10/19/2022,4217.297844377102,8353.527988483682,4355.329438748426,30205.078875747986,15160.379750459098,11992.539032367864
74,10/20/2022,4175.553705185627,8240.772254785648,4331.980295240227,29878.671331672904,14975.35215968711,11798.012281824185
75,10/21/2022,4133.809565994153,8128.016521087615,4308.63115173203,29552.263787597818,14790.32456891512,11603.485531280505
76,10/22/2022,4092.0654268026774,8015.260787389582,4285.282008223832,29225.85624352274,14605.296978143131,11408.958780736826
77,10/23/2022,4050.3212876112025,7902.50505369155,4261.932864715634,28899.44869944765,14420.269387371141,11214.43203019315
78,10/24/2022,4008.577148419728,7789.749319993517,4238.583721207436,28573.041155372568,14235.241796599154,11019.905279649469
79,10/25/2022,3966.8330092282536,7676.9935862954835,4215.234577699238,28246.63361129749,14050.214205827166,10825.37852910579
80,10/26/2022,3925.0888700367786,7564.23785259745,4191.88543419104,27920.226067222404,13865.186615055176,10630.851778562112
81,10/27/2022,3811.3558461904063,7215.653215197935,4082.653537826435,26785.067348242577,13305.559550321937,10154.213600116174
82,10/28/2022,3697.6228223440335,6867.06857779842,3973.42164146183,25649.908629262747,12745.932485588699,9677.575421670237
83,10/29/2022,3583.889798497661,6518.483940398905,3864.1897450972247,24514.749910282917,12186.305420855462,9200.9372432243
84,10/30/2022,3470.1567746512883,6169.899302999389,3754.957848732619,23379.59119130309,11626.678356122224,8724.299064778363
85,10/31/2022,3356.423750804916,5821.314665599874,3645.7259523680145,22244.43247232326,11067.051291388983,8247.660886332424
86,11/01/2022,3242.690726958543,5472.730028200361,3536.4940560034092,21109.27375334343,10507.424226655747,7771.022707886487
87,11/02/2022,3128.9577031121707,5124.145390800845,3427.262159638804,19974.1150343636,9947.797161922508,7294.38452944055
88,11/03/2022,3052.425014209049,4902.686431672098,3382.7903960994236,19179.25331429913,9592.353337427345,7004.79573020705
89,11/04/2022,2975.8923253059265,4681.227472543352,3338.3186325600436,18384.391594234658,9236.909512932183,6715.20693097355
90,11/05/2022,2899.359636402805,4459.768513414604,3293.8468690206632,17589.529874170188,8881.465688437022,6425.618131740049
91,11/06/2022,2822.826947499683,4238.309554285856,3249.3751054812833,16794.668154105715,8526.02186394186,6136.0293325065495
92,11/07/2022,2746.2942585965607,4016.8505951571096,3204.903341941903,15999.806434041246,8170.578039446698,5846.4405332730485
93,11/08/2022,2669.7615696934386,3795.391636028363,3160.431578402523,15204.944713976774,7815.134214951536,5556.851734039548
94,11/09/2022,2593.228880790317,3573.9326768996157,3115.9598148631426,14410.082993912303,7459.690390456373,5267.262934806048
95,11/10/2022,2556.1959902600984,3498.573867219359,3095.8896174288698,14112.48758306345,7323.610079166178,5160.37125982157
96,11/11/2022,2519.1630997298807,3423.2150575391024,3075.819419994597,13814.892172214597,7187.52976787598,5053.479584837091
97,11/12/2022,2482.130209199662,3347.856247858846,3055.749222560324,13517.296761365746,7051.449456585785,4946.587909852613
98,11/13/2022,2445.097318669444,3272.4974381785896,3035.679025126051,13219.701350516892,6915.369145295587,4839.6962348681345
99,11/14/2022,2408.064428139226,3197.138628498333,3015.6088276917785,12922.105939668038,6779.288834005392,4732.804559883655
100,11/15/2022,2371.0315376090075,3121.779818818076,2995.538630257506,12624.510528819186,6643.208522715194,4625.912884899178
101,11/16/2022,2333.9986470787894,3046.4210091378195,2975.468432823233,12326.915117970333,6507.128211424999,4519.021209914699
102,11/17/2022,2287.06658156156,2956.776122517668,2896.9695931613496,12051.503079151025,6329.569321597888,4377.772065777385
103,11/18/2022,2240.13451604433,2867.1312358975156,2818.4707534994664,11776.091040331718,6152.010431770778,4236.522921640071
104,11/19/2022,2193.2024505271006,2777.486349277363,2739.971913837583,11500.67900151241,5974.451541943669,4095.2737775027567
